ac,offense,address,date,district
C, RESIDENTIAL BURGLARY, 6400 N ELGIN ST, 4/5/2019, P1
C, THEFT 3D ALL OTHER, 2000 W FRANCIS AVE, 4/4/2019, P1
A, THEFT 3D FROM MOTOR VEHICLE, 6300 N SUTHERLIN ST, 4/1/2019, P1
C, THEFT 3D FROM MOTOR VEHICLE, 7200 N NINE MILE RD, 4/5/2019, P1
C, THEFT 3D FROM BUILDING, 8900 N CANNON ST, 4/2/2019, P1
A, BURGLARY 2D COMMERCIAL, 6200 N DIVISION ST, 4/3/2019, P1
C, BURGLARY 2D GARAGE, 4500 N POST ST, 4/2/2019, P1
A, BURGLARY 2D GARAGE, 4300 N MADISON ST, 4/3/2019, P1
A, BURGLARY 2D GARAGE, 5900 N WHITEHOUSE ST, 4/4/2019, P1
C, THEFT 2D FROM BUILDING, 5400 N LINCOLN ST, 4/3/2019, P1
C, THEFT 3D ALL OTHER, 1200 W KIERNAN AVE, 4/1/2019, P1
C, THEFT 3D FROM BUILDING, 1100 W HEROY AVE, 4/4/2019, P1
A, THEFT 3D FROM MOTOR VEHICLE, 5900 N CALISPEL ST, 4/1/2019, P1
C, ASSAULT 2D, 2100 W FAIRVIEW AVE, 4/4/2019, P2
C, BURGLARY 2D COMMERCIAL, 4500 N ALBERTA ST, 4/1/2019, P1
A, BURGLARY 2D GARAGE, 5500 N CANNON ST, 3/31/2019, P1
A, BURGLARY 2D GARAGE, 4000 N ASH ST, 4/2/2019, P1
A, BURGLARY 2D GARAGE, 5500 N CANNON ST, 4/3/2019, P1
A, RESIDENTIAL BURGLARY, 2300 W SANSON AVE, 4/1/2019, P1
C, RESIDENTIAL BURGLARY, 5900 N ALBERTA ST, 4/4/2019, P1
C, TAKING MOTOR VEHICLE WITHOUT PERMISSION 2D, 3200 W GORDON AVE, 4/2/2019, P1
C, THEFT 2D FROM BUILDING, 3100 W DALKE AVE, 4/4/2019, P1
C, THEFT 2D FROM MOTOR VEHICLE, 5900 N ELM ST, 4/1/2019, P1
C, THEFT 2D FROM MOTOR VEHICLE, 3400 W LONGFELLOW AVE, 4/4/2019, P1
C, THEFT 3D ALL OTHER, 2900 W GARLAND AVE, 4/3/2019, P1
C, THEFT 3D CITY SHOPLIFTING, 2300 W WELLESLEY AVE, 4/4/2019, P1
C, THEFT 3D FROM BUILDING, 2100 W NORTHWEST BLVD, 4/1/2019, P1
C, THEFT 3D FROM BUILDING, 2200 W WELLESLEY AVE, 4/2/2019, P1
C, THEFT 3D FROM BUILDING, 5200 W LYONS AVE, 4/5/2019, P1
C, THEFT 3D VEHICLE PARTS AND ACCESSORIES, 4100 N OAK ST, 4/5/2019, P1
C, THEFT OF MOTOR VEHICLE, 2100 W NORTHWEST BLVD, 4/2/2019, P1
C, ASSAULT 2D, 700 W MAXWELL AVE, 4/5/2019, P2
C, BURGLARY 1D GARAGE, 1700 W CLEVELAND AVE, 4/5/2019, P2
C, HARASSMENT FELONY WEAPON INVOLVED, 1200 N MONROE ST, 4/1/2019, P1
C, MAIL THEFT, 700 W KNOX AVE, 4/6/2019, P2
C, RESIDENTIAL BURGLARY, 3300 N LINCOLN ST, 4/3/2019, P1
C, THEFT 1D POCKET PICKING, 1600 W NORTHWEST BLVD, 4/2/2019, P2
C, THEFT 2D ALL OTHER, 1600 W NORTHWEST BLVD, 4/2/2019, P2
C, THEFT 2D FROM BUILDING, 300 W MISSION AVE, 4/5/2019, P2
C, THEFT 2D FROM MOTOR VEHICLE,N LINCOLN ST / W SHANNON AVE, 4/2/2019, P2
C, THEFT 2D FROM MOTOR VEHICLE, 1200 N POST ST, 4/6/2019, P2
C, THEFT 3D CITY FROM BUILDING, 3300 N LINCOLN ST, 4/5/2019, P2
C, THEFT 3D CITY SHOPLIFTING, 1600 W NORTHWEST BLVD, 3/31/2019, P1
C, THEFT 3D FROM MOTOR VEHICLE, 1400 N POST ST, 3/31/2019, P2
C, THEFT 3D FROM MOTOR VEHICLE, 1100 W JACKSON AVE, 3/31/2019, P2
C, THEFT 3D FROM MOTOR VEHICLE , N LINCOLN ST / W SHANNON AVE, 4/1/2019, P2
C, THEFT 3D FROM MOTOR VEHICLE, 100 W SINTO AVE, 4/2/2019, P2
C, THEFT 3D SHOPLIFTING, 1600 W NORTHWEST BLVD, 3/31/2019, P2
C, THEFT 3D VEHICLE PARTS AND ACCESSORIES, 800 W MANSFIELD AVE, 4/1/2019, P2
C, THEFT 3D VEHICLE PARTS AND ACCESSORIES, 1100 W DALTON AVE, 4/3/2019, P2
C, THEFT 3D VEHICLE PARTS AND ACCESSORIES, 2400 N DIVISION ST, 4/5/2019, P2
A, BURGLARY 2D COMMERCIAL, 300 W BOONE AVE, 4/5/2019, P1
C, THEFT 3D ALL OTHER, 900 N MONROE ST, 4/6/2019, P2
A, THEFT 3D FROM MOTOR VEHICLE, 1000 N HOWARD ST, 4/2/2019, P2
C, THEFT 3D FROM MOTOR VEHICLE, 900 N MONROE ST, 4/5/2019, P2
C, BURGLARY 2D COMMERCIAL, 800 N MONROE ST, 4/1/2019, P2
A, RESIDENTIAL BURGLARY, 2200 W SUMMIT PKWY, 4/1/2019, P1
C, RESIDENTIAL BURGLARY, 2000 W NORA AVE, 4/1/2019, P1
C, RESIDENTIAL BURGLARY, 1800 W GARDNER AVE, 4/1/2019, P1
C, RESIDENTIAL BURGLARY, 1900 W BOONE AVE, 4/5/2019, P2
C, ROBBERY 1D PERSON , W MISSION AVE / N ASH ST, 3/31/2019, P1
C, THEFT 2D ALL OTHER, 2000 W MALLON AVE, 3/31/2019, P2
C, THEFT 2D FROM BUILDING, 2500 W DEAN AVE, 4/2/2019, P2
C, THEFT 3D ALL OTHER, 1100 W BROADWAY AVE, 4/1/2019, P2
C, THEFT 3D ALL OTHER, 1800 W COLLEGE AVE, 4/6/2019, P2
C, THEFT 3D CITY SHOPLIFTING, 1000 W SUMMIT PKWY, 3/31/2019, P1
C, BURGLARY 2D GARAGE, 1500 N MCKENZIE RIVER ST, 3/31/2019, P1
C, THEFT 2D FROM BUILDING, 1500 N MCKENZIE RIVER ST, 3/31/2019, P1
C, THEFT 3D CITY FROM MOTOR VEHICLE, 3400 W FORT GEORGE WRIGHT DR, 4/2/2019, P1
C, THEFT 3D CITY VEHICLE PARTS AND ACCESSORIES, 3400 W FORT GEORGE WRIGHT DR, 4/2/2019, P1
C, THEFT OF MOTOR VEHICLE, 3400 W FORT GEORGE WRIGHT DR, 4/2/2019, P1
C, ASSAULT 2D, 0 E LACROSSE AVE, 3/31/2019, P2
C, ASSAULT 2D, 3900 N NEVADA ST, 4/4/2019, P4
C, ASSAULT 2D, 0 E LACROSSE AVE, 4/6/2019, P2
C, BURGLARY 1D FROM RESIDENCE, 8100 N GENERAL LEE WAY, 4/6/2019, P2
C, BURGLARY 2D COMMERCIAL, 6700 N DIVISION ST, 4/2/2019, P3
C, BURGLARY 2D GARAGE, 800 E DECATUR AVE, 4/1/2019, P3
C, MAIL THEFT, 4500 N DIVISION ST, 4/5/2019, P3
C, ROBBERY 1D COMMERCIAL, 900 E EMPIRE AVE, 3/31/2019, P4
C, THEFT 2D ALL OTHER, 4700 N DIVISION ST, 4/4/2019, P3
C, THEFT 2D ALL OTHER, 4700 N DIVISION ST, 4/6/2019, P3
C, THEFT 2D FROM BUILDING, 3300 N NEVADA ST, 4/1/2019, P3
C, THEFT 2D FROM BUILDING, 4700 N DIVISION ST, 4/1/2019, P3
C, THEFT 2D FROM MOTOR VEHICLE, 600 E HOLLAND AVE, 4/3/2019, P3
C, THEFT 3D ALL OTHER, 5400 N ADDISON ST, 4/2/2019, P3
C, THEFT 3D ALL OTHER, 6100 N STANDARD ST, 4/4/2019, P2
C, THEFT 3D ALL OTHER, 0 E LYONS AVE, 4/4/2019, P3
C, THEFT 3D ALL OTHER, 5600 N DIVISION ST, 4/6/2019, P3
C, THEFT 3D CITY SHOPLIFTING, 9200 N NEVADA ST, 4/2/2019, P4
C, THEFT 3D CITY SHOPLIFTING, 6700 N DIVISION ST, 4/4/2019, P4
C, THEFT 3D CITY SHOPLIFTING, 9200 N COLTON ST, 4/4/2019, P2
C, THEFT 3D CITY SHOPLIFTING, 6700 N DIVISION ST, 4/4/2019, P3
C, THEFT 3D CITY SHOPLIFTING, 9200 N COLTON ST, 4/5/2019, P2
C, THEFT 3D CITY SHOPLIFTING, 6700 N DIVISION ST, 4/6/2019, P4
C, THEFT 3D FROM BUILDING, 600 E HOLLAND AVE, 4/1/2019, P3
C, THEFT 3D FROM BUILDING, 9200 N NEVADA ST, 4/2/2019, P3
C, THEFT 3D FROM BUILDING, 7800 N DIVISION ST, 4/2/2019, P3
C, THEFT 3D FROM BUILDING, 300 E WEDGEWOOD AVE, 4/3/2019, P3
C, THEFT 3D FROM MOTOR VEHICLE, 7100 N DIVISION ST, 4/1/2019, P3
C, THEFT 3D FROM MOTOR VEHICLE, 400 E MAGNESIUM RD, 4/2/2019, P3
C, THEFT 3D FROM MOTOR VEHICLE, 4700 N DIVISION ST, 4/2/2019, P3
A, THEFT 3D FROM MOTOR VEHICLE, 8200 N GENERAL LEE WAY, 4/6/2019, P3
C, THEFT 3D SHOPLIFTING, 4700 N DIVISION ST, 3/31/2019, P3
C, THEFT 3D SHOPLIFTING, 9500 N NEWPORT HWY, 3/31/2019, P3
C, THEFT 3D SHOPLIFTING, 9200 N COLTON ST, 4/1/2019, P3
