ac,offense,address,date,district
C, THEFT 1D FROM BUILDING, 2400 W HOLYOKE AVE, 3/20/2019, P1
C, THEFT 3D CITY SHOPLIFTING, 1700 W FRANCIS AVE, 3/23/2019, P1
C, THEFT 3D ALL OTHER, 2700 W ASHLEY CIR, 3/19/2019, P1
C, BURGLARY 2D GARAGE, 5400 W BARNES RD, 3/18/2019, P1
C, BURGLARY 2D GARAGE, 8900 N PAMELA ST, 3/20/2019, P1
C, THEFT 2D FROM BUILDING, 800 W CORA AVE, 3/18/2019, P1
C, THEFT 3D ALL OTHER, 5000 N HAWTHORNE ST, 3/20/2019, P1
C, THEFT 3D ALL OTHER, 4700 N MONROE ST, 3/20/2019, P2
C, THEFT 3D FROM BUILDING, 4700 N DIVISION ST, 3/22/2019, P1
C, THEFT 3D FROM MOTOR VEHICLE, 5900 N HOWARD ST, 3/21/2019, P1
A, THEFT 3D FROM MOTOR VEHICLE, 4100 N MONROE ST, 3/23/2019, P1
C, THEFT 3D SHOPLIFTING, 4700 N DIVISION ST, 3/21/2019, P1
C, THEFT 3D SHOPLIFTING, 3600 N DIVISION ST, 3/23/2019, P1
C, THEFT 3D VEHICLE PARTS AND ACCESSORIES, 6200 N STEVENS ST, 3/20/2019, P1
C, THEFT OF MOTOR VEHICLE, 4700 N MADISON ST, 3/21/2019, P2
C, THEFT OF MOTOR VEHICLE, 5000 N LINCOLN ST, 3/22/2019, P3
C, BURGLARY 2D GARAGE, 4900 N OAK ST, 3/21/2019, P1
C, MAIL THEFT, 2700 W WELLESLEY AVE, 3/20/2019, P1
C, MAIL THEFT, 5500 N D ST, 3/21/2019, P1
C, RAPE OF A CHILD 1D,NA, 3/21/2019, P1
C, RESIDENTIAL BURGLARY, 2600 W OLYMPIC AVE, 3/22/2019, P1
C, THEFT 2D ALL OTHER, 6000 N HARTLEY ST, 3/22/2019, P1
C, THEFT 2D FROM BUILDING, 1700 W WABASH AVE, 3/17/2019, P1
C, THEFT 2D FROM BUILDING, 2100 W WELLESLEY AVE, 3/18/2019, P1
C, THEFT 2D FROM BUILDING, 2300 W WELLESLEY AVE, 3/23/2019, P1
C, THEFT 2D FROM MOTOR VEHICLE, 2400 W EUCLID AVE, 3/21/2019, P1
C, THEFT 2D FROM MOTOR VEHICLE, 2900 W RIVERVIEW DR, 3/22/2019, P1
C, THEFT 3D ALL OTHER, 2300 W WELLESLEY AVE, 3/19/2019, P1
C, THEFT 3D CITY ALL OTHER, 5500 N D ST, 3/21/2019, P1
C, THEFT 3D FROM BUILDING, 3400 W KIERNAN AVE, 3/20/2019, P1
A, THEFT 3D FROM MOTOR VEHICLE, 2800 W ROCKWELL AVE, 3/18/2019, P1
C, THEFT 3D FROM MOTOR VEHICLE, 3400 W KIERNAN AVE, 3/20/2019, P1
C, THEFT 3D SHOPLIFTING, 2300 W WELLESLEY AVE, 3/21/2019, P1
C, THEFT 3D VEHICLE PARTS AND ACCESSORIES, 2300 W FAIRVIEW AVE, 3/17/2019, P1
C, THEFT OF MOTOR VEHICLE, 3400 W KIERNAN AVE, 3/20/2019, P1
C, THEFT OF MOTOR VEHICLE, 3100 W CIRCLE PL, 3/21/2019, P1
U, THEFT-CITY (Shoplifting), 6000 N HARTLEY ST, 3/19/2019, P1
C, ASSAULT 1D, 700 W MAXWELL AVE, 3/20/2019, P1
C, ASSAULT 2D, 300 W MISSION AVE, 3/17/2019, P2
C, ASSAULT 2D, 1000 W MONTGOMERY AVE, 3/18/2019, P1
C, RESIDENTIAL BURGLARY, 1500 N MONROE ST, 3/21/2019, P1
C, RETAIL THEFT WITH SPECIAL CIRCUMSTANCES 3D, 1600 W NORTHWEST BLVD, 3/23/2019, P1
C, THEFT 3D FROM BUILDING, 1600 N HOWARD ST, 3/19/2019, P2
C, THEFT 3D FROM MOTOR VEHICLE, 1300 W GRACE AVE, 3/17/2019, P2
C, THEFT 3D FROM MOTOR VEHICLE, 1400 W JACKSON AVE, 3/20/2019, P2
C, THEFT 3D FROM MOTOR VEHICLE, 400 W KNOX AVE, 3/23/2019, P2
C, THEFT 3D SHOPLIFTING, 1700 W NORTHWEST BLVD, 3/17/2019, P2
C, THEFT 3D SHOPLIFTING, 1700 W NORTHWEST BLVD, 3/18/2019, P2
C, THEFT 3D SHOPLIFTING, 900 W INDIANA AVE, 3/19/2019, P2
C, THEFT 3D VEHICLE PARTS AND ACCESSORIES, 1300 W GRACE AVE, 3/17/2019, P2
C, THEFT 3D VEHICLE PARTS AND ACCESSORIES, 2400 N DIVISION ST, 3/22/2019, P2
C, THEFT 3D VEHICLE PARTS AND ACCESSORIES, 900 W YORK AVE, 3/23/2019, P2
C, THEFT OF MOTOR VEHICLE, 1400 W CORA CT, 3/23/2019, P1
C, THEFT OF MOTOR VEHICLE, 900 W YORK AVE, 3/23/2019, P2
C, MAIL THEFT, 2200 W MAXWELL AVE, 3/22/2019, P2
C, RETAIL THEFT WITH SPECIAL CIRCUMSTANCES 3D, 1000 W SUMMIT PKWY, 3/21/2019, P2
C, THEFT 2D FROM BUILDING, 1800 W SHARP AVE, 3/21/2019, P2
C, THEFT 2D FROM MOTOR VEHICLE, 2800 W MALLON AVE, 3/17/2019, P2
C, THEFT 3D CITY SHOPLIFTING, 1000 W SUMMIT PKWY, 3/19/2019, P1
C, THEFT 3D CITY SHOPLIFTING, 1000 W SUMMIT PKWY, 3/22/2019, P2
C, THEFT 3D FROM BUILDING, 1700 W MALLON AVE, 3/21/2019, P2
C, THEFT 3D FROM MOTOR VEHICLE, 2300 W GARDNER AVE, 3/17/2019, P2
C, THEFT 3D FROM MOTOR VEHICLE, 1200 N ASH ST, 3/18/2019, P2
C, THEFT 3D FROM MOTOR VEHICLE, 2200 W GARDNER AVE, 3/19/2019, P2
C, THEFT 3D FROM MOTOR VEHICLE, 1800 W BROADWAY AVE, 3/21/2019, P2
C, THEFT 3D FROM MOTOR VEHICLE, 1700 W DEAN AVE, 3/23/2019, P2
C, THEFT 3D VEHICLE PARTS AND ACCESSORIES, 900 N MONROE ST, 3/20/2019, P2
C, THEFT 3D VEHICLE PARTS AND ACCESSORIES, 1400 W SPOFFORD AVE, 3/23/2019, P2
C, THEFT OF A FIREARM FROM MOTOR VEHICLE, 1400 W SPOFFORD AVE, 3/23/2019, P2
C, THEFT 2D FROM MOTOR VEHICLE, 4100 W FORT GEORGE WRIGHT DR, 3/17/2019, P2
C, THEFT 3D FROM BUILDING, 3400 W FORT GEORGE WRIGHT DR, 3/19/2019, P2
C, THEFT 3D FROM MOTOR VEHICLE, 1600 N RIVER RIDGE BLVD, 3/17/2019, P2
C, ASSAULT 2D, 1100 E WELLESLEY AVE, 3/17/2019, P4
C, BURGLARY 1D GARAGE, 7000 N COLTON ST, 3/18/2019, P3
C, BURGLARY 2D COMMERCIAL, 4700 N DIVISION ST, 3/18/2019, P4
C, HARASSMENT FELONY WEAPON INVOLVED, 1100 E WELLESLEY AVE, 3/17/2019, P4
C, HARASSMENT WEAPON INVOLVED, 300 E BROAD AVE, 3/19/2019, P1
C, RESIDENTIAL BURGLARY, 200 E WEDGEWOOD AVE, 3/17/2019, P2
C, RESIDENTIAL BURGLARY, 200 E LINCOLN RD, 3/17/2019, P4
C, RESIDENTIAL BURGLARY, 200 E ROCKWELL AVE, 3/18/2019, P3
C, RETAIL THEFT WITH SPECIAL CIRCUMSTANCES 3D, 4700 N DIVISION ST, 3/18/2019, P4
C, THEFT 1D FROM BUILDING, 4700 N DIVISION ST, 3/18/2019, P3
C, THEFT 2D FROM BUILDING, 9500 N DIVISION ST, 3/18/2019, P3
C, THEFT 2D FROM BUILDING, 600 E HOLLAND AVE, 3/18/2019, P3
C, THEFT 2D FROM BUILDING, 7400 N NEVADA ST, 3/22/2019, P3
C, THEFT 2D FROM BUILDING, 3400 N DIVISION ST, 3/23/2019, P3
C, THEFT 2D FROM MOTOR VEHICLE, 9200 N COLTON ST, 3/17/2019, P3
C, THEFT 2D FROM MOTOR VEHICLE, 500 E CENTRAL AVE, 3/20/2019, P3
C, THEFT 2D SHOPLIFTING, 4700 N DIVISION ST, 3/17/2019, P3
C, THEFT 2D SHOPLIFTING, 9700 N NEWPORT HWY, 3/18/2019, P3
C, THEFT 2D VEHICLE PARTS AND ACCESSORIES, 0 E MAYFAIR CT, 3/18/2019, P2
C, THEFT 3D ALL OTHER, 4700 N DIVISION ST, 3/18/2019, P3
C, THEFT 3D ALL OTHER, 400 E WABASH AVE, 3/21/2019, P3
C, THEFT 3D CITY SHOPLIFTING, 9700 N NEWPORT HWY, 3/21/2019, P2
C, THEFT 3D CITY SHOPLIFTING, 9200 N COLTON ST, 3/23/2019, P4
C, THEFT 3D FROM BUILDING, 9500 N NEWPORT HWY, 3/17/2019, P3
C, THEFT 3D FROM BUILDING, 9600 N NEWPORT HWY, 3/19/2019, P3
C, THEFT 3D FROM BUILDING, 300 E FRANCIS AVE, 3/21/2019, P3
C, THEFT 3D FROM BUILDING, 4700 N DIVISION ST, 3/23/2019, P3
C, THEFT 3D FROM MOTOR VEHICLE, 0 E MAYFAIR CT, 3/18/2019, P2
C, THEFT 3D FROM MOTOR VEHICLE, 0 E WEILE AVE, 3/20/2019, P3
C, THEFT 3D FROM MOTOR VEHICLE, 900 E BEACON AVE, 3/20/2019, P3
C, THEFT 3D FROM MOTOR VEHICLE, 0 E PINE RIDGE CT, 3/22/2019, P3
A, THEFT 3D FROM MOTOR VEHICLE, 300 E WEDGEWOOD AVE, 3/23/2019, P3
C, THEFT 3D SHOPLIFTING, 4700 N DIVISION ST, 3/17/2019, P3
C, THEFT 3D SHOPLIFTING, 4700 N DIVISION ST, 3/17/2019, P3
C, THEFT 3D SHOPLIFTING, 9700 N NEWPORT HWY, 3/18/2019, P3
C, THEFT 3D SHOPLIFTING, 4700 N DIVISION ST, 3/18/2019, P3
C, THEFT 3D SHOPLIFTING, 4700 N DIVISION ST, 3/18/2019, P3
C, THEFT 3D SHOPLIFTING, 6500 N NEVADA ST, 3/19/2019, P3
C, THEFT 3D SHOPLIFTING, 5600 N DIVISION ST, 3/20/2019, P3
C, THEFT 3D SHOPLIFTING, 4700 N DIVISION ST, 3/21/2019, P3
C, THEFT OF MOTOR VEHICLE , N MAYFAIR ST / E LIBERTY AVE, 3/18/2019, P4
C, THEFT OF MOTOR VEHICLE, 0 E MAYFAIR CT, 3/18/2019, P2
C, THEFT OF MOTOR VEHICLE, 6000 N RUBY ST, 3/18/2019, P2
C, THEFT OF MOTOR VEHICLE, 600 E WABASH AVE, 3/18/2019, P3
C, THEFT OF MOTOR VEHICLE, 0 E WEILE AVE, 3/18/2019, P2
C, THEFT OF MOTOR VEHICLE, 300 E HEROY AVE, 3/19/2019, P3
C, THEFT OF MOTOR VEHICLE, 1000 E COZZA DR, 3/21/2019, P4
C, THEFT OF MOTOR VEHICLE, 9900 N NEWPORT HWY, 3/23/2019, P4
A, BURGLARY 2D GARAGE, 1800 E COLUMBIA AVE, 3/20/2019, P3
C, RESIDENTIAL BURGLARY, 1400 E WELLESLEY AVE, 3/18/2019, P1
C, THEFT OF MOTOR VEHICLE , E 30TH AVE / S FREYA ST, 3/21/2019, P4
C, ASSAULT 2D, 1600 E BRIDGEPORT AVE, 3/17/2019, P4
C, THEFT 2D ALL OTHER, 3900 N MARKET ST, 3/22/2019, P4
C, THEFT 2D FROM BUILDING, 3900 N MARKET ST, 3/18/2019, P4
C, THEFT 3D FROM MOTOR VEHICLE, 1400 E COURTLAND AVE, 3/19/2019, P4
C, THEFT 3D FROM MOTOR VEHICLE, 2600 E CLEVELAND AVE, 3/20/2019, P4
C, THEFT 3D SHOPLIFTING, 3900 N MARKET ST, 3/21/2019, P4
C, THEFT 3D SHOPLIFTING, 3700 N MARKET ST, 3/23/2019, P4
C, THEFT 3D VEHICLE PARTS AND ACCESSORIES, 3900 N MARKET ST, 3/19/2019, P4
C, THEFT 3D VEHICLE PARTS AND ACCESSORIES, 2300 E EUCLID AVE, 3/21/2019, P4
C, THEFT OF MOTOR VEHICLE, 2200 E NORTH CRESCENT AVE, 3/17/2019, P4
C, THEFT OF MOTOR VEHICLE, 1700 E COURTLAND AVE, 3/22/2019, P2
C, THEFT 3D ALL OTHER, 4600 N MARKET ST, 3/20/2019, P4
C, THEFT 3D CITY FROM MOTOR VEHICLE, 2600 E CENTRAL AVE, 3/17/2019, P4
C, THEFT 3D SHOPLIFTING, 2100 E WELLESLEY AVE, 3/19/2019, P4
C, THEFT OF MOTOR VEHICLE, 2600 E CENTRAL AVE, 3/17/2019, P4
C, THEFT OF MOTOR VEHICLE, 2500 E EVERETT AVE, 3/18/2019, P4
C, BURGLARY 2D GARAGE, 0 E EUCLID AVE, 3/21/2019, P4
C, THEFT 1D FROM BUILDING, 100 E AUGUSTA AVE, 3/18/2019, P4
C, THEFT 2D FROM BUILDING, 900 E MISSION AVE, 3/22/2019, P4
C, THEFT 2D FROM MOTOR VEHICLE, 1700 E FAIRVIEW AVE, 3/19/2019, P4
C, THEFT 2D FROM MOTOR VEHICLE, 2000 N ASTOR ST, 3/23/2019, P4
C, THEFT 2D SHOPLIFTING, 2400 N DIVISION ST, 3/17/2019, P2
A, THEFT 3D ALL OTHER, 700 N DIVISION ST, 3/19/2019, P4
C, THEFT 3D ALL OTHER, 700 N CINCINNATI ST, 3/22/2019, P4
C, THEFT 3D ALL OTHER, 0 E SINTO AVE, 3/23/2019, P4
C, THEFT 3D FROM BUILDING, 500 E MISSION AVE, 3/18/2019, P4
C, THEFT 3D FROM MOTOR VEHICLE, 700 E BALDWIN AVE, 3/20/2019, P5
C, THEFT 3D FROM MOTOR VEHICLE, 900 N RUBY PL, 3/20/2019, P4
C, THEFT 3D FROM MOTOR VEHICLE, 700 E DESMET AVE, 3/21/2019, P4
C, THEFT 3D FROM MOTOR VEHICLE, 2700 N DIVISION ST, 3/22/2019, P4
C, THEFT 3D VEHICLE PARTS AND ACCESSORIES, 200 E MISSION AVE, 3/23/2019, P4
C, THEFT OF MOTOR VEHICLE, 1700 E FAIRVIEW AVE, 3/19/2019, P4
C, RESIDENTIAL BURGLARY, 4100 E FAIRVIEW AVE, 3/17/2019, P4
C, ROBBERY 1D PERSON, 3700 E FAIRVIEW AVE, 3/23/2019, P4
C, THEFT 2D FROM BUILDING, 2700 E UPRIVER DR, 3/18/2019, P4
C, THEFT 3D FROM MOTOR VEHICLE, 3000 E UPRIVER DR, 3/18/2019, P4
C, THEFT 3D FROM MOTOR VEHICLE, 2400 N REBECCA ST, 3/18/2019, P4
C, THEFT 3D FROM MOTOR VEHICLE, N UPRIVER DR / E FREDERICK AVE, 3/22/2019, P4
C, THEFT OF A FIREARM ALL OTHER LOCATIONS, 3400 E BRIDGEPORT AVE, 3/22/2019, P4
C, THEFT OF MOTOR VEHICLE, 2600 N MARKET ST, 3/18/2019, P4
C, ASSAULT 2D, 700 E 2ND AVE, 3/23/2019, P8
C, BURGLARY 1D GARAGE, 900 E 11TH AVE, 3/20/2019, P5
