ac,offense,address,date,district
C, RAPE OF A CHILD 2D, NA, 9/29/2017, P1
C, THEFT 2D FROM MOTOR VEHICLE, 3900 W OSAGE WAY, 9/25/2017, P1
C, THEFT 3D ALL OTHER, 2000 W FRANCIS AVE, 9/29/2017, P1
C, THEFT 3D FROM MOTOR VEHICLE, 2700 W DELL DR, 9/29/2017, P1
C, THEFT 3D ALL OTHER, 2300 W KINGSFORD AVE, 9/25/2017, P1
A, THEFT 3D FROM MOTOR VEHICLE, 5000 W PROSPERITY LN, 9/25/2017, P2
C, THEFT 3D FROM MOTOR VEHICLE, 10400 N SUNDANCE DR, 9/26/2017, P1
C, THEFT 3D FROM MOTOR VEHICLE, 9500 N LOGANBERRY CT, 9/29/2017, P1
C, THEFT 3D FROM MOTOR VEHICLE, 4500 W ELDERBERRY AVE, 9/29/2017, P1
C, BURGLARY 2D GARAGE, 5300 N WALL ST, 9/26/2017, P1
C, BURGLARY 2D GARAGE, 4700 N NORMANDIE ST, 9/29/2017, P2
C, BURGLARY-RESIDENTIAL, 900 W NEBRASKA AVE, 9/24/2017, P3
C, BURGLARY-RESIDENTIAL, 700 W CORA AVE, 9/24/2017, P1
C, THEFT OF MOTOR VEHICLE, 3900 N WALL ST, 9/26/2017, P1
C, THEFT OF MOTOR VEHICLE, 6000 N NORMANDIE ST, 9/27/2017, P2
A, THEFT OF MOTOR VEHICLE, 6000 N ATLANTIC ST, 9/27/2017, P1
C, THEFT OF MOTOR VEHICLE, 1300 W DALKE AVE, 9/29/2017, P1
C, THEFT 1D ALL OTHER, 3900 N WALL ST, 9/26/2017, P1
C, THEFT 2D FROM MOTOR VEHICLE, 1300 W DALKE AVE, 9/29/2017, P1
C, THEFT 3D FROM MOTOR VEHICLE, 900 W GARLAND AVE, 9/25/2017, P1
C, THEFT 3D FROM MOTOR VEHICLE, 6100 N STEVENS ST, 9/26/2017, P1
A, THEFT 3D FROM MOTOR VEHICLE, 300 W NEBRASKA AVE, 9/29/2017, P1
C, THEFT 3D FROM MOTOR VEHICLE, 5800 N WHITEHOUSE ST, 9/29/2017, P1
C, THEFT 3D SHOPLIFTING, 3400 N DIVISION ST, 9/25/2017, P1
C, ASSAULT 1D, 4300 N BELT ST, 9/29/2017, P1
C, BURGLARY 1D FROM RESIDENCE, 5600 N SUTHERLIN ST, 9/24/2017, P1
C, BURGLARY 2D GARAGE, 4000 W SANSON AVE, 9/27/2017, P1
C, BURGLARY-RESIDENTIAL, 2600 W HEROY AVE, 9/26/2017, P1
C, BURGLARY-RESIDENTIAL, 5700 N BEMIS ST, 9/28/2017, P1
C, MAIL THEFT, 4300 W SANSON AVE, 9/27/2017, P1
C, THEFT OF MOTOR VEHICLE, 2800 W QUEEN AVE, 9/24/2017, P1
C, THEFT OF MOTOR VEHICLE, 3300 N SHERIDAN CT, 9/26/2017, P1
C, THEFT FIREARM FROM BUILDING, 4300 N BELT ST, 9/29/2017, P1
C, THEFT 1D FROM BUILDING, 5600 N SUTHERLIN ST, 9/24/2017, P1
C, THEFT 3D FROM MOTOR VEHICLE, 2300 W WELLESLEY AVE, 9/25/2017, P1
C, THEFT 3D FROM MOTOR VEHICLE, 2400 W CLEVELAND AVE, 9/29/2017, P1
C, RAPE-1ST,NA, 9/28/2017, P2
C, THEFT OF MOTOR VEHICLE N POST, ST / W CORA AVE, 9/25/2017, P2
C, THEFT OF MOTOR VEHICLE, 2400 N NORMANDIE ST, 9/28/2017, P2
C, THEFT 2D FROM MOTOR VEHICLE, 2800 N DIVISION ST, 9/24/2017, P2
C, THEFT 3D FROM BUILDING, 1900 N WASHINGTON ST, 9/26/2017, P2
C, THEFT 3D FROM BUILDING, 1800 N WALL ST, 9/26/2017, P2
C, THEFT 3D FROM BUILDING, 1800 N WALL ST, 9/29/2017, P2
C, THEFT 3D FROM MOTOR VEHICLE , W INDIANA AVE / N WASHINGTON ST, 9/24/2017, P2
A, THEFT 3D FROM MOTOR VEHICLE, 700 W JACKSON AVE, 9/25/2017, P2
C, THEFT 3D FROM MOTOR VEHICLE, 1100 W DALTON AVE, 9/29/2017, P2
C, THEFT 3D VEHICLE PARTS OR ACCESSORIES, 2400 N DIVISION ST, 9/27/2017, P2
C, VEH(THEFT OF FUEL), 2400 N DIVISION ST, 9/29/2017, P2
C, THEFT 2D VEHICLE PARTS OR ACCESSORIES, 900 N WASHINGTON ST, 9/24/2017, P2
