ac,offense,address,date,district
C, THEFT 3D FROM MOTOR VEHICLE, 3600 W INDIAN TRAIL RD, 1/7/2018, P1
C, THEFT 3D FROM MOTOR VEHICLE, 1700 W FRANCIS AVE, 1/9/2018, P1
C, THEFT 3D FROM MOTOR VEHICLE, 8100 N CAMILLA MARIE CT, 1/9/2018, P1
C, THEFT 3D SHOPLIFTING, 9000 N INDIAN TRAIL RD, 1/12/2018, P1
C, THEFT OF MOTOR VEHICLE, 800 W CORA AVE, 1/12/2018, P1
C, THEFT OF MOTOR VEHICLE, 700 W KIERNAN AVE, 1/13/2018, P1
C, THEFT 3D ALL OTHER, 5200 N WASHINGTON ST, 1/13/2018, P1
C, THEFT 3D FROM BUILDING, 3900 N MADISON ST, 1/12/2018, P1
C, THEFT 3D FROM MOTOR VEHICLE, 3800 N DIVISION ST, 1/8/2018, P1
C, THEFT 3D FROM MOTOR VEHICLE, 6200 N BUFFALO ST, 1/11/2018, P1
A, THEFT 3D FROM MOTOR VEHICLE, 800 W CORA AVE, 1/12/2018, P1
C, THEFT 3D VEHICLE PARTS OR ACCESSORIES, 3800 N DIVISION ST, 1/8/2018, P1
C, THEFT 3D VEHICLE PARTS OR ACCESSORIES, 4100 N POST ST, 1/12/2018, P1
C, THEFT 3D VEHICLE PARTS OR ACCESSORIES, 800 W CORA AVE, 1/12/2018, P1
C, THEFT-CITY MOTOR VEHICLE PARTS OR ACCESSORIES, 5400 N WASHINGTON ST, 1/8/2018, P1
C, BURGLARY-RESIDENTIAL, 2700 W HEROY AVE, 1/8/2018, P1
A, BURGLARY-RESIDENTIAL, 2100 W NORTHWEST BLVD, 1/9/2018, P1
C, BURGLARY-RESIDENTIAL, 5300 W WOODSIDE AVE, 1/12/2018, P1
C, ROBBERY 2D COMMERCIAL (NOT PURSE SNATCHING), 2500 W WELLESLEY AVE, 1/11/2018, P1
C, THEFT 2D FROM MOTOR VEHICLE, 2700 W NORTHWEST BLVD, 1/8/2018, P1
C, THEFT 3D ALL OTHER, 4800 W NINE MILE RD, 1/9/2018, P1
C, THEFT 3D ALL OTHER, 2100 W WELLESLEY AVE, 1/9/2018, P1
C, THEFT 3D FROM BUILDING, 4400 W WELLESLEY AVE, 1/13/2018, P1
C, THEFT 3D FROM MOTOR VEHICLE, 3300 N AUDUBON ST, 1/9/2018, P1
C, THEFT 3D FROM MOTOR VEHICLE, 5100 N DRISCOLL BLVD, 1/10/2018, P1
C, THEFT 3D FROM MOTOR VEHICLE, 5700 N ASSEMBLY ST, 1/13/2018, P1
C, THEFT CITY FROM MOTOR VEHICLE, 5500 N DRISCOLL BLVD, 1/8/2018, P1
C, THEFT-CITY MOTOR VEHICLE PARTS OR ACCESSORIES, 5500 N DRISCOLL BLVD, 1/8/2018, P1
