ac,offense,address,date,district
C, RAPE OF A CHILD 3D, NA, 10/22/2017, P1
C, THEFT 3D ALL OTHER, 2000 W FRANCIS AVE, 10/26/2017, P1
C, THEFT 2D FROM BUILDING, 2500 W CASCADE WAY, 10/23/2017, P1
C, THEFT 3D FROM MOTOR VEHICLE, 8100 N KYLE ST, 10/24/2017, P1
C, THEFT 3D FROM MOTOR VEHICLE, 10100 N FLEETWOOD ST, 10/22/2017, P1
C, BURGLARY 2D COMMERCIAL, 3600 N DIVISION ST, 10/27/2017, P1
C, THEFT OF MOTOR VEHICLE, 4700 N ADAMS ST, 10/23/2017, P1
C, THEFT OF MOTOR VEHICLE , W EVERETT AVE / N WALNUT ST, 10/24/2017, P1
C, THEFT OF MOTOR VEHICLE, 4000 N CALISPEL ST, 10/25/2017, P3
A, THEFT OF MOTOR VEHICLE, 6000 N POST ST, 10/26/2017, P1
C, THEFT 2D FROM MOTOR VEHICLE, 6100 N CALISPEL ST, 10/27/2017, P1
C, THEFT 3D ALL OTHER N MAPLE, ST / W WELLESLEY AVE, 10/25/2017, P1
C, THEFT 3D ALL OTHER, 4000 N WASHINGTON ST, 10/25/2017, P2
C, THEFT 3D FROM BUILDING, 5300 N JEFFERSON ST, 10/25/2017, P1
C, THEFT 3D FROM MOTOR VEHICLE, 1300 W DECATUR AVE, 10/22/2017, P1
C, THEFT 3D FROM MOTOR VEHICLE, 300 W QUEEN AVE, 10/27/2017, P2
C, THEFT 3D VEHICLE PARTS OR ACCESSORIES, 4700 N STEVENS ST, 10/26/2017, P1
C, THEFT 3D SHOPLIFTING, 600 W GARLAND AVE, 10/24/2017, P1
C, THEFT 3D SHOPLIFTING, 4700 N DIVISION ST, 10/26/2017, P1
C, BURGLARY 2D GARAGE, 3100 W ROCKWELL AVE, 10/22/2017, P1
C, MAIL THEFT, 4600 N HARTLEY ST, 10/25/2017, P1
C, MAIL THEFT, 2100 W GARLAND AVE, 10/27/2017, P1
C, THEFT 2D ALL OTHER, 2300 W WELLESLEY AVE, 10/26/2017, P1
C, THEFT 2D FROM BUILDING, 6600 N HARTLEY ST, 10/24/2017, P1
C, THEFT 2D FROM MOTOR VEHICLE, 5000 N OAK ST, 10/23/2017, P1
C, THEFT 2D FROM MOTOR VEHICLE, 5700 N ASSEMBLY ST, 10/27/2017, P1
C, THEFT 3D ALL OTHER, 5000 N ELGIN ST, 10/26/2017, P1
C, THEFT 3D FROM BUILDING, 2300 W WELLESLEY AVE, 10/22/2017, P1
C, THEFT 3D FROM BUILDING, 5500 N CANNON ST, 10/27/2017, P1
C, THEFT 3D SHOPLIFTING, 2500 W WELLESLEY AVE, 10/24/2017, P1
C, BURGLARY 2D GARAGE, 1500 W ALICE AVE, 10/22/2017, P2
C, BURGLARY-RESIDENTIAL, 300 W DALTON AVE, 10/26/2017, P2
C, THEFT OF MOTOR VEHICLE, 300 W SHANNON AVE, 10/23/2017, P1
C, THEFT OF MOTOR VEHICLE, 1600 W NORTHWEST BLVD, 10/24/2017, P1
C, THEFT OF MOTOR VEHICLE, 1600 W NORTHWEST BLVD, 10/25/2017, P1
C, THEFT 2D ALL OTHER, 1600 W NORTHWEST BLVD, 10/24/2017, P1
C, THEFT 2D ALL OTHER, 1600 W NORTHWEST BLVD, 10/25/2017, P1
A, THEFT 3D ALL OTHER, 2500 N CALISPEL ST, 10/23/2017, P2
C, THEFT 3D ALL OTHER, 1600 W NORTHWEST BLVD, 10/23/2017, P2
C, THEFT 3D ALL OTHER, 3000 N POST ST, 10/24/2017, P2
C, THEFT 3D FROM BUILDING, 400 W SHANNON AVE, 10/25/2017, P2
C, THEFT 3D FROM MOTOR VEHICLE, 700 W BOONE AVE, 10/23/2017, P2
C, THEFT 3D FROM MOTOR VEHICLE, 2900 N WEST OVAL ST, 10/24/2017, P2
C, THEFT 3D FROM MOTOR VEHICLE, 600 W EUCLID AVE, 10/26/2017, P2
C, THEFT-CITY ALL OTHER THEFTS , W SINTO AVE / N WASHINGTON ST, 10/27/2017, P1
A, THEFT-CITY FROM BUILDING, 1700 N MONROE ST, 10/23/2017, P1
C, THEFT 3D ALL OTHER, 900 N DIVISION ST, 10/26/2017, P2
C, THEFT 3D FROM BUILDING, 700 W MALLON AVE, 10/23/2017, P1
C, THEFT 3D FROM MOTOR VEHICLE, 900 N WASHINGTON ST, 10/24/2017, P2
C, THEFT 3D SHOPLIFTING, 900 N DIVISION ST, 10/23/2017, P2
C, THEFT 3D SHOPLIFTING, 1100 N DIVISION ST, 10/24/2017, P2
C, ASSAULT 2D, 1800 W GARDNER AVE, 10/25/2017, P1
C, ASSAULT 3D (d)or(f) (Weapon/Instrument/Bodily Harm), 1100 W SPOFFORD AVE, 10/23/2017, P2
C, BURGLARY 2D GARAGE, 1900 W SUMMIT PKWY, 10/24/2017, P1
C, BURGLARY-RESIDENTIAL, 1800 N MADISON ST, 10/27/2017, P1
C, THEFT OF MOTOR VEHICLE, 2300 W MALLON AVE, 10/25/2017, P1
C, THEFT 1D FROM BUILDING, 1800 N MADISON ST, 10/27/2017, P1
C, THEFT 3D FROM BUILDING, 1800 W SHARP AVE, 10/25/2017, P2
C, THEFT 3D FROM BUILDING, 2100 W GARDNER AVE, 10/27/2017, P2
C, THEFT 3D FROM MOTOR VEHICLE, 700 N MONROE ST, 10/22/2017, P2
C, THEFT 3D SHOPLIFTING, 2200 W BROADWAY AVE, 10/22/2017, P2
C, THEFT-CITY ALL OTHER THEFTS, 1000 W SINTO AVE, 10/23/2017, P2
C, VEHICLE PROWLING 2D FROM VEHICLE, 1900 W SUMMIT PKWY, 10/24/2017, P1
C, BURGLARY-RESIDENTIAL, 1400 N RIVER VISTA ST, 10/22/2017, P1
C, BURGLARY-RESIDENTIAL, 4100 W HOOD RIVER AVE, 10/24/2017, P1
C, THEFT OF MOTOR VEHICLE, 4100 W HOOD RIVER AVE, 10/24/2017, P1
C, THEFT-CITY FROM BUILDING, 3800 W FORT GEORGE WRIGHT DR, 10/24/2017, P1
C, ASSAULT 1D, 1100 E COZZA DR, 10/23/2017, P4
C, ASSAULT 1D, 6400 N CINCINNATI ST, 10/27/2017, P4
C, ASSAULT 2D, 7700 N HARPERS FERRY ST, 10/24/2017, P4
C, ASSAULT 2D, 1200 E LACROSSE AVE, 10/25/2017, P4
C, BURGLARY 1D GARAGE, 6000 N ADDISON ST, 10/23/2017, P2
C, BURGLARY 1D FROM RESIDENCE, 1100 E COZZA DR, 10/23/2017, P4
C, BURGLARY 2D COMMERCIAL, 9200 N NEVADA ST, 10/22/2017, P4
C, BURGLARY 2D COMMERCIAL, 100 E MAGNESIUM RD, 10/25/2017, P4
C, BURGLARY 2D GARAGE, 1000 E PRINCETON AVE, 10/22/2017, P3
C, BURGLARY 2D GARAGE, 5400 N MORTON ST, 10/25/2017, P4
C, BURGLARY 2D GARAGE, 700 E WELLESLEY AVE, 10/25/2017, P3
C, BURGLARY-RESIDENTIAL, 200 E CROWN AVE, 10/27/2017, P3
C, MAIL THEFT, 1100 E WELLESLEY AVE, 10/25/2017, P2
C, RAPE 3D, NA, 10/27/2017, P3
C, RETAIL THEFT WITH SPECIAL CIRCUMSTANCES, 9500 N NEWPORT HWY, 10/27/2017, P4
C, THEFT OF MOTOR VEHICLE, 6800 N NEVADA ST, 10/22/2017, P3
C, THEFT OF MOTOR VEHICLE, 4700 N DIVISION ST, 10/23/2017, P4
C, THEFT OF MOTOR VEHICLE, 200 E WEDGEWOOD AVE, 10/25/2017, P2
C, THEFT OF MOTOR VEHICLE, 8800 N COLTON ST, 10/26/2017, P4
C, THEFT OF MOTOR VEHICLE, 1000 E CROWN AVE, 10/26/2017, P4
C, THEFT 2D ALL OTHER, 9600 N NEWPORT HWY, 10/24/2017, P3
