ac,offense,address,date,district
C, BURGLARY 1D FROM RESIDENCE, 3400 W TAFT DR, 3/8/2018, P1
C, THEFT 2D FROM MOTOR VEHICLE, 6500 N CEDAR ST, 3/9/2018, P1
A, THEFT 3D FROM MOTOR VEHICLE, 2400 W DELL DR, 3/7/2018, P1
C, ASSAULT 2D, 800 W CORA AVE, 3/7/2018, P1
A, BURGLARY-RESIDENTIAL, 4800 N CEDAR ST, 3/5/2018, P1
C, MAIL THEFT, 5000 N MADISON ST, 3/5/2018, P1
C, ROBBERY 1D PERSON (NOT PURSE SNATCHING) , W WELLESLEY AVE / N ASH ST, 3/7/2018, P1
C, THEFT OF MOTOR VEHICLE, 1600 W GORDON AVE, 3/5/2018, P1
C, THEFT 2D FROM MOTOR VEHICLE , W KIERNAN AVE / N WASHINGTON ST, 3/5/2018, P1
C, THEFT 2D FROM MOTOR VEHICLE , W GARLAND AVE / N LINCOLN ST, 3/6/2018, P1
C, THEFT 3D FROM BUILDING, 5200 N MADISON ST, 3/7/2018, P1
A, THEFT 3D FROM MOTOR VEHICLE, 6100 N DIVISION ST, 3/4/2018, P1
C, THEFT 3D FROM MOTOR VEHICLE, 4400 N MADISON ST, 3/8/2018, P1
C, THEFT 3D FROM MOTOR VEHICLE, 500 W GARLAND AVE, 3/9/2018, P1
C, THEFT 3D SHOPLIFTING, 4800 N DIVISION ST, 3/9/2018, P1
C, THEFT-CITY FROM BUILDING, 1100 W GORDON AVE, 3/5/2018, P1
C, THEFT-CITY (Shoplifting), 4200 N DIVISION ST, 3/10/2018, P3
C, ASSAULT 2D, 5100 W MANOR CREST ST, 3/8/2018, P4
C, BURGLARY-RESIDENTIAL, 5800 N ALBERTA ST, 3/5/2018, P1
C, RAPE OF A CHILD 1D, NA, 3/7/2018, P1
C, THEFT OF MOTOR VEHICLE, 2400 W EVERETT AVE, 3/5/2018, P1
C, THEFT OF MOTOR VEHICLE, 3300 W OLYMPIC PL, 3/10/2018, P1
C, THEFT 2D ALL OTHER, 4100 N ELM ST, 3/5/2018, P1
C, THEFT 3D FROM BUILDING, 4100 N ELM ST, 3/5/2018, P1
C, THEFT 3D FROM BUILDING, 6000 N ASSEMBLY ST, 3/8/2018, P1
C, THEFT 3D FROM MOTOR VEHICLE, 2300 W WELLESLEY AVE, 3/5/2018, P1
C, THEFT 3D FROM MOTOR VEHICLE, 6800 N DOUGLASS ST, 3/6/2018, P1
C, THEFT 3D FROM MOTOR VEHICLE, 5800 W EXCELL AVE, 3/6/2018, P1
C, THEFT 3D FROM MOTOR VEHICLE, 7200 N OLD FORT CT, 3/6/2018, P1
C, THEFT 3D FROM MOTOR VEHICLE, 6200 W METHOW CT, 3/6/2018, P1
C, THEFT 3D FROM MOTOR VEHICLE, 5600 W RIFLE CLUB RD, 3/6/2018, P1
C, THEFT 3D FROM MOTOR VEHICLE, 7700 N TUCANNON ST, 3/6/2018, P1
C, THEFT 3D FROM MOTOR VEHICLE, 5600 W RIFLE CLUB RD, 3/7/2018, P1
C, THEFT 3D FROM MOTOR VEHICLE, 5600 W EXCELL AVE, 3/7/2018, P1
C, THEFT 3D FROM MOTOR VEHICLE, 2000 W LIBERTY AVE, 3/8/2018, P1
A, VEHICLE PROWLING 2D / THEFT OF MOTOR VEHICLE PARTS OR ACCESSORIES, 2400 W EVERETT AVE, 3/5/2018, P1
A, BURGLARY 2D GARAGE, 300 W KNOX AVE, 3/5/2018, P2
A, THEFT OF MOTOR VEHICLE, 1100 W FAIRVIEW AVE, 3/5/2018, P2
C, THEFT OF MOTOR VEHICLE, 1700 W CARLISLE AVE, 3/5/2018, P2
C, THEFT OF MOTOR VEHICLE, 900 W SPOFFORD AVE, 3/5/2018, P1
C, THEFT OF MOTOR VEHICLE, 3100 N POST ST, 3/7/2018, P2
C, THEFT 2D ALL OTHER, 1600 W GRACE AVE, 3/4/2018, P1
C, THEFT 2D FROM BUILDING, 1400 N ATLANTIC ST, 3/9/2018, P2
C, THEFT 3D ALL OTHER, 1800 N WALL ST, 3/4/2018, P2
C, THEFT 3D ALL OTHER, 1200 W MANSFIELD AVE, 3/9/2018, P2
C, THEFT 3D FROM MOTOR VEHICLE N MONROE, ST / W MANSFIELD AVE, 3/4/2018, P2
C, THEFT 3D FROM MOTOR VEHICLE, 1100 W FAIRVIEW AVE, 3/5/2018, P2
C, THEFT 3D FROM MOTOR VEHICLE, 1700 W YORK AVE, 3/6/2018, P2
C, THEFT 3D FROM MOTOR VEHICLE, 800 W ALICE AVE, 3/10/2018, P6
C, THEFT 3D VEHICLE PARTS OR ACCESSORIES, 1300 N ATLANTIC ST, 3/4/2018, P2
C, THEFT 3D VEHICLE PARTS OR ACCESSORIES, 900 W SPOFFORD AVE, 3/5/2018, P1
C, ASSAULT 2D, 300 N MONROE ST, 3/5/2018, P1
C, THEFT 3D VEHICLE PARTS OR ACCESSORIES, 700 W MALLON AVE, 3/4/2018, P2
C, THEFT 3D VEHICLE PARTS OR ACCESSORIES, 1000 N HOWARD ST, 3/4/2018, P2
C, BURGLARY-RESIDENTIAL, 1900 W BROADWAY AVE, 3/7/2018, P2
C, MAIL THEFT, 2100 W GARDNER AVE, 3/4/2018, P2
C, THEFT OF MOTOR VEHICLE, 1900 W INDIANA AVE, 3/10/2018, P1
C, THEFT 2D FROM BUILDING, 2100 W INDIANA AVE, 3/4/2018, P1
C, THEFT 2D FROM BUILDING, 1100 W AUGUSTA AVE, 3/5/2018, P2
C, THEFT 2D FROM BUILDING, 2400 W DEAN AVE, 3/9/2018, P2
C, THEFT 2D SHOPLIFTING, 1100 N MONROE ST, 3/6/2018, P2
C, THEFT 3D FROM MOTOR VEHICLE, 700 N MAPLE ST, 3/4/2018, P2
C, THEFT 3D FROM MOTOR VEHICLE, 2800 W SINTO AVE, 3/7/2018, P2
A, THEFT 3D FROM MOTOR VEHICLE, 2300 W DEAN AVE, 3/9/2018, P2
C, THEFT OF MOTOR VEHICLE, 3900 W RANDOLPH RD, 3/7/2018, P1
C, ASSAULT 2D, 8900 N COLTON ST, 3/5/2018, P4
C, ASSAULT 2D, 1000 E OLYMPIC AVE, 3/6/2018, P3
C, BURGLARY 2D COMMERCIAL, 3500 N DIVISION ST, 3/7/2018, P3
C, BURGLARY 2D FENCED AREA, 3500 N DIVISION ST, 3/7/2018, P3
C, BURGLARY 2D GARAGE, 600 E MAGNESIUM RD, 3/6/2018, P3
C, BURGLARY 2D GARAGE, 600 E ROWAN AVE, 3/8/2018, P3
C, BURGLARY-RESIDENTIAL, 900 E RICH AVE, 3/7/2018, P3
C, HARASSMENT FELONY WEAPON INVOLVED, 0 E ROCKWELL AVE, 3/4/2018, P3
C, MAIL THEFT, 7200 N NEVADA ST, 3/6/2018, P3
C, MURDER-2D, 700 E HOFFMAN AVE, 3/8/2018, P4
C, THEFT OF MOTOR VEHICLE, 6800 N DAKOTA ST, 3/6/2018, P4
C, THEFT OF MOTOR VEHICLE, 3500 N DIVISION ST, 3/7/2018, P3
C, THEFT OF MOTOR VEHICLE, 3500 N DIVISION ST, 3/7/2018, P3
C, THEFT OF MOTOR VEHICLE, 4700 N DIVISION ST, 3/7/2018, P4
C, THEFT OF MOTOR VEHICLE, 800 E ROCKWELL AVE, 3/9/2018, P4
C, THEFT 2D FROM BUILDING, 9200 N COLTON ST, 3/8/2018, P3
C, THEFT 2D FROM BUILDING, 4700 N DIVISION ST, 3/9/2018, P3
C, THEFT 2D FROM BUILDING, 5800 N DIVISION ST, 3/9/2018, P3
C, THEFT 2D FROM BUILDING, 7100 N DIVISION ST, 3/9/2018, P3
C, THEFT 2D FROM MOTOR VEHICLE, 1000 E COZZA DR, 3/5/2018, P3
C, THEFT 2D FROM MOTOR VEHICLE, 9700 N NEWPORT HWY, 3/5/2018, P3
C, THEFT 2D FROM MOTOR VEHICLE, 600 E HOLLAND AVE, 3/8/2018, P3
