ac,offense,address,date,district
C, RAPE 3D, NA, 11/27/2017, P1
C, VEHICULAR ASSAULT , N NORMANDIE ST / W INDIANA AVE, 12/2/2017, P1
C, ASSAULT 4D WEAPON OR NEGLIGENT INJURY, 4200 W INDIAN TRAIL RD, 12/2/2017, P1
C, MAIL THEFT, 2800 W HOLYOKE AVE, 11/29/2017, P1
C, THEFT 3D ALL OTHER, 2000 W FRANCIS AVE, 11/26/2017, P1
C, THEFT 3D ALL OTHER, 2000 W FRANCIS AVE, 11/30/2017, P1
A, THEFT 3D FROM MOTOR VEHICLE, 7000 N SKYLINE DR, 11/30/2017, P1
C, BURGLARY-RESIDENTIAL, 7700 N AUDUBON ST, 11/30/2017, P1
C, THEFT 2D FROM MOTOR VEHICLE, 5700 W BARNES RD, 12/1/2017, P1
C, ASSAULT 2D, 4700 N DIVISION ST, 11/28/2017, P2
A, BURGLARY-RESIDENTIAL, 1600 W PROVIDENCE AVE, 11/27/2017, P1
C, ROBBERY 1D PERSON (NOT PURSE SNATCHING), 4700 N DIVISION ST, 11/28/2017, P2
C, ROBBERY 1D ALL EXCEPT PURSE SNATCHING, 4000 N ASH ST, 11/28/2017, P2
C, ROBBERY 2D ALL EXCEPT PURSE SNATCHING, 4000 N ASH ST, 11/28/2017, P2
C, THEFT OF MOTOR VEHICLE, 4700 N DIVISION ST, 11/28/2017, P2
C, THEFT OF MOTOR VEHICLE, 4100 N WHITEHOUSE ST, 11/30/2017, P4
C, THEFT 2D FROM MOTOR VEHICLE, 500 W GORDON AVE, 12/1/2017, P1
C, THEFT 2D VEHICLE PARTS OR ACCESSORIES, 4100 N WHITEHOUSE ST, 11/30/2017, P4
C, THEFT 3D ALL OTHER, 1000 W WELLESLEY AVE, 11/27/2017, P1
C, THEFT 3D ALL OTHER, 1000 W KIERNAN AVE, 11/28/2017, P1
C, THEFT 3D FROM BUILDING, 3500 N DIVISION ST, 11/27/2017, P1
C, THEFT 3D FROM BUILDING, 4400 N ADAMS ST, 11/27/2017, P1
C, THEFT 3D FROM BUILDING, 700 W GARLAND AVE, 11/28/2017, P1
C, THEFT 3D FROM BUILDING, 1300 W WABASH AVE, 11/29/2017, P1
C, THEFT 3D FROM BUILDING, 1100 W WABASH AVE, 12/1/2017, P1
C, THEFT 3D FROM BUILDING, 4200 N MADISON ST, 12/1/2017, P1
C, THEFT 3D FROM MOTOR VEHICLE, 4400 N WALL ST, 11/28/2017, P1
C, THEFT 3D FROM MOTOR VEHICLE, 5900 N ATLANTIC ST, 11/28/2017, P1
C, THEFT 3D SHOPLIFTING, 4700 N DIVISION ST, 12/1/2017, P1
C, VEHICLE PROWLING 2D FROM VEHICLE, 4200 N NORMANDIE ST, 11/30/2017, P1
C, ASSAULT 2D, 6100 N CANNON ST, 11/26/2017, P4
A, BURGLARY 2D GARAGE, 2100 W JACKSON AVE, 11/29/2017, P2
C, BURGLARY-RESIDENTIAL, 2700 W WALTON AVE, 11/27/2017, P1
C, MAIL THEFT, 3200 W HEROY AVE, 11/27/2017, P1
C, MAIL THEFT, 3100 W BISMARK AVE, 11/30/2017, P1
C, RAPE 3D, NA, 11/30/2017, P1
C, THEFT OF MOTOR VEHICLE, 2800 W ROWAN AVE, 11/30/2017, P1
C, THEFT OF MOTOR VEHICLE, 2500 N NETTLETON ST, 12/2/2017, P1
C, THEFT 2D ALL OTHER, 2300 W WELLESLEY AVE, 11/30/2017, P1
C, THEFT 2D ALL OTHER, 5800 W HOLYOKE AVE, 12/1/2017, P1
C, THEFT 2D FROM BUILDING, 4500 W WELLESLEY AVE, 11/28/2017, P1
C, THEFT 2D FROM BUILDING, 2200 W WELLESLEY AVE, 12/1/2017, P1
C, THEFT 3D ALL OTHER, 2100 W GLASS AVE, 12/2/2017, P1
C, THEFT 3D FROM BUILDING, 2700 W WALTON AVE, 11/27/2017, P1
C, THEFT 3D FROM BUILDING, 6100 N ELM ST, 11/28/2017, P2
C, THEFT 3D FROM BUILDING, 2500 W GLASS AVE, 11/30/2017, P1
C, THEFT 3D FROM MOTOR VEHICLE, 2300 W WELLESLEY AVE, 11/27/2017, P1
C, THEFT 3D FROM MOTOR VEHICLE, 5200 N GREENWOOD BLVD, 11/29/2017, P1
C, THEFT 3D FROM MOTOR VEHICLE, 6100 N OXFORD DR, 11/30/2017, P1
C, THEFT 3D FROM MOTOR VEHICLE, 5400 W NORTHWEST BLVD, 12/1/2017, P1
C, VEHICLE PROWLING 2D FROM VEHICLE, 2500 W WELLESLEY AVE, 11/28/2017, P1
C, BURGLARY 2D GARAGE, 200 W CLEVELAND AVE, 11/26/2017, P2
A, BURGLARY 2D GARAGE, 200 W CLEVELAND AVE, 11/27/2017, P2
C, BURGLARY 2D GARAGE, 600 W CLEVELAND AVE, 11/28/2017, P2
C, BURGLARY-RESIDENTIAL, 2600 N WALL ST, 11/26/2017, P2
C, THEFT OF MOTOR VEHICLE, 500 W SINTO AVE, 11/27/2017, P2
C, THEFT OF MOTOR VEHICLE, 500 W SINTO AVE, 11/29/2017, P1
C, THEFT 2D ALL OTHER, 1000 W MONTGOMERY AVE, 11/26/2017, P2
C, THEFT 2D FROM BUILDING, 700 W KNOX AVE, 11/30/2017, P2
C, THEFT 3D ALL OTHER, 2400 N DIVISION ST, 12/1/2017, P2
C, THEFT 3D FROM BUILDING, 1800 N WALL ST, 11/27/2017, P2
C, THEFT 3D FROM BUILDING, 1400 N LINCOLN ST, 11/30/2017, P2
C, THEFT 3D FROM MOTOR VEHICLE, 1900 W SHANNON AVE, 11/27/2017, P2
C, THEFT 3D FROM MOTOR VEHICLE, 1800 N MONROE ST, 11/29/2017, P2
C, THEFT 3D VEHICLE PARTS OR ACCESSORIES, 2400 N DIVISION ST, 11/27/2017, P2
C, THEFT-CITY ALL OTHER THEFTS, 300 W EUCLID AVE, 11/27/2017, P1
C, THEFT-CITY FROM BUILDING, 2800 N DIVISION ST, 11/29/2017, P2
C, THEFT 2D FROM BUILDING, 800 N DIVISION ST, 11/30/2017, P2
C, THEFT 3D FROM BUILDING, 1100 N MONROE ST, 11/29/2017, P2
C, BURGLARY 2D GARAGE, 2600 W BRIDGE AVE, 12/1/2017, P2
C, BURGLARY-RESIDENTIAL, 1000 W MAXWELL AVE, 12/1/2017, P2
C, MAIL THEFT, 1700 W MALLON AVE, 11/26/2017, P2
C, MAIL THEFT FROM A BUILDING, 1500 W HIGHLINE LN, 12/1/2017, P2
C,RAPE 1D,NA, 12/2/2017, P1
C, RAPE 2D, NA, 12/1/2017, P1
C, RAPE 3D, NA, 11/29/2017, P2
C, THEFT OF MOTOR VEHICLE, 1800 W MALLON AVE, 11/28/2017, P1
C, THEFT OF MOTOR VEHICLE, 2000 W BOONE AVE, 12/1/2017, P2
C, THEFT 2D FROM MOTOR VEHICLE, 1800 W COLLEGE AVE, 11/28/2017, P2
C, THEFT 3D ALL OTHER , N CEDAR ST / W MALLON AVE, 11/29/2017, P2
C, THEFT 3D ALL OTHER, 1000 W SINTO AVE, 12/1/2017, P2
C, THEFT 3D FROM BUILDING, 2000 W SPOFFORD AVE, 12/2/2017, P2
