ac,offense,address,date,district
C, RESIDENTIAL BURGLARY, 6800 N G ST, 4/29/2019, Oth
C, THEFT 3D SHOPLIFTING, 1800 W FRANCIS AVE, 5/4/2019, P1
C, THEFT 2D FROM MOTOR VEHICLE, 2300 W CHADWICK LN, 5/2/2019, P1
C, THEFT 3D VEHICLE PARTS AND ACCESSORIES, 5400 W BARNES RD, 5/1/2019, P1
A, BURGLARY 1D FROM RESIDENCE, 700 W GLASS AVE, 4/29/2019, P1
C, RESIDENTIAL BURGLARY, 5100 N WHITEHOUSE ST, 4/29/2019, P1
C, RESIDENTIAL BURGLARY, 700 W CORA AVE, 4/29/2019, P2
C, THEFT 2D FROM BUILDING, 6200 N WALL ST, 5/4/2019, P2
C, THEFT 2D FROM BUILDING, 6200 N WALL ST, 5/4/2019, P1
C, THEFT 3D ALL OTHER, 5500 N WALL ST, 4/30/2019, P1
C, THEFT 3D ALL OTHER, 700 W CORA AVE, 4/30/2019, P1
C, THEFT 3D ALL OTHER, 5100 N HAWTHORNE ST, 5/1/2019, P1
C, THEFT 3D FROM MOTOR VEHICLE, 4900 N JEFFERSON ST, 4/30/2019, P1
C, THEFT OF MOTOR VEHICLE, 5000 N CALISPEL ST, 5/2/2019, P1
C, ASSAULT 2D, 5700 N ELGIN ST, 5/4/2019, P1
C, BURGLARY 2D GARAGE, 3400 W EUCLID AVE, 5/2/2019, P1
C, MAIL THEFT, 3600 W LONGFELLOW AVE, 5/2/2019, P1
C, RESIDENTIAL BURGLARY, 5800 N BELT ST, 5/2/2019, P1
C, RESIDENTIAL BURGLARY, 3800 W HOFFMAN AVE, 5/2/2019, P1
C, RESIDENTIAL BURGLARY, 4000 W ROWAN AVE, 5/4/2019, P1
C, THEFT 2D ALL OTHER, 2500 W WELLESLEY AVE, 5/4/2019, P1
C, THEFT 2D FROM MOTOR VEHICLE, 7200 N SKYKOMISH ST, 5/3/2019, P1
C, THEFT 3D FROM MOTOR VEHICLE, 2100 W CLEVELAND AVE, 4/29/2019, P1
A, THEFT 3D FROM MOTOR VEHICLE, 6000 N ASSEMBLY ST, 5/1/2019, P1
C, THEFT 3D FROM MOTOR VEHICLE , W QUEEN AVE / N COCHRAN ST, 5/1/2019, P1
A, THEFT 3D FROM MOTOR VEHICLE, 3100 W ALICE AVE, 5/4/2019, P1
C, THEFT 3D SHOPLIFTING, 2500 W WELLESLEY AVE, 5/3/2019, P1
C, THEFT OF MOTOR VEHICLE, 4000 W ROWAN AVE, 5/2/2019, P1
C, THEFT OF MOTOR VEHICLE, 5200 N CANNON ST, 5/3/2019, P7
C, BURGLARY 2D GARAGE, 1000 W CHELAN AVE, 5/4/2019, P2
C, RESIDENTIAL BURGLARY, 1100 W MANSFIELD AVE, 4/30/2019, P2
C, ROBBERY 2D COMMERCIAL, 1600 W NORTHWEST BLVD, 4/28/2019, P1
C, THEFT 2D FROM MOTOR VEHICLE, 1500 W BUCKEYE AVE, 5/2/2019, P2
C, THEFT 3D ALL OTHER, 1400 N DIVISION ST, 4/30/2019, P2
C, THEFT 3D ALL OTHER, 1700 W CLEVELAND AVE, 5/3/2019, P2
A, THEFT 3D ALL OTHER, 100 W INDIANA AVE, 5/3/2019, P2
C, THEFT 3D CITY SHOPLIFTING, 3000 N MONROE ST, 5/4/2019, P2
C, THEFT 3D FROM BUILDING, 1500 W NORTHWEST BLVD, 4/28/2019, P2
C, THEFT 3D FROM BUILDING, 1600 N MONROE ST, 5/1/2019, P2
C, THEFT 3D FROM MOTOR VEHICLE, 1200 W SHANNON AVE, 4/29/2019, P2
C, THEFT 3D FROM MOTOR VEHICLE, 400 W KNOX AVE, 4/29/2019, P2
A, THEFT 3D FROM MOTOR VEHICLE, 2600 N ASH ST, 4/29/2019, P2
C, THEFT 3D FROM MOTOR VEHICLE, 1800 W CLEVELAND AVE, 4/30/2019, P2
C, THEFT 3D FROM MOTOR VEHICLE, 1400 W BUCKEYE AVE, 4/30/2019, P2
C, THEFT 3D FROM MOTOR VEHICLE, 500 W BUCKEYE AVE, 5/3/2019, P2
C, THEFT 3D FROM MOTOR VEHICLE, 1100 W FAIRVIEW AVE, 5/4/2019, P2
C, THEFT 3D SHOPLIFTING, 1700 W NORTHWEST BLVD, 5/2/2019, P2
C, THEFT 3D VEHICLE PARTS AND ACCESSORIES, 1400 N POST ST, 4/30/2019, P2
C, THEFT 3D VEHICLE PARTS AND ACCESSORIES, 1800 W KNOX AVE, 4/30/2019, P2
C, THEFT 3D VEHICLE PARTS AND ACCESSORIES, 100 W INDIANA AVE, 5/3/2019, P2
C, THEFT 2D FROM BUILDING, 1000 N HOWARD ST, 5/4/2019, P2
C, ASSAULT 2D, 300 N MAPLE BRIDGE ST, 5/2/2019, P1
A, BURGLARY 2D GARAGE, 1700 N HOLLISTON RD, 5/2/2019, P2
C, BURGLARY 2D GARAGE, 1200 W COLLEGE AVE, 5/2/2019, P2
C, MAIL THEFT, 2000 W BROADWAY AVE, 4/29/2019, P2
C, THEFT 2D ALL OTHER, 2600 W BRIDGE AVE, 5/3/2019, P2
C, THEFT 2D FROM BUILDING, 900 N MONROE ST, 5/3/2019, P2
C, THEFT 2D FROM MOTOR VEHICLE, 2000 W BOONE AVE, 4/29/2019, P2
C, THEFT 2D FROM MOTOR VEHICLE, 1300 W INDIANA AVE, 5/1/2019, P2
C, THEFT 3D ALL OTHER, 1100 W MALLON AVE, 5/1/2019, P8
C, THEFT 3D ALL OTHER, 2800 W MALLON AVE, 5/1/2019, P2
C, THEFT 3D CITY SHOPLIFTING, 1000 W SUMMIT PKWY, 5/1/2019, P1
C, THEFT 3D FROM BUILDING, 1200 W BOONE AVE, 4/29/2019, P2
A, THEFT 3D FROM MOTOR VEHICLE, 1900 W AUGUSTA AVE, 4/29/2019, P2
C, THEFT 3D FROM MOTOR VEHICLE, 1400 W INDIANA AVE, 5/1/2019, P2
C, THEFT 3D FROM MOTOR VEHICLE, 2600 W MALLON AVE, 5/2/2019, P2
C, THEFT 3D FROM MOTOR VEHICLE, 1800 W DEAN AVE, 5/3/2019, P2
C, THEFT 3D FROM MOTOR VEHICLE, 2800 W MALLON AVE, 5/3/2019, P2
C, THEFT 3D VEHICLE PARTS AND ACCESSORIES, 2200 W MISSION AVE, 5/1/2019, P2
C, THEFT OF A FIREARM FROM MOTOR VEHICLE, 2400 W BROADWAY AVE, 4/30/2019, P2
C, THEFT 3D ALL OTHER, 1900 N HOLY NAMES CT, 5/2/2019, P2
C, THEFT 3D FROM BUILDING, 2800 W ELLIOTT DR, 4/28/2019, P2
C, THEFT OF MOTOR VEHICLE, 3800 W FORT GEORGE WRIGHT DR, 5/3/2019, P4
A, ARSON 2D, 1000 E GARLAND AVE, 5/3/2019, P4
C, BURGLARY 2D COMMERCIAL, 6500 N NEVADA ST, 5/1/2019, P4
C, BURGLARY 2D GARAGE, 500 E JOSEPH AVE, 4/29/2019, P3
A, BURGLARY 2D GARAGE, 500 E GARLAND AVE, 5/1/2019, P3
C, RESIDENTIAL BURGLARY, 300 E PRINCETON AVE, 4/30/2019, P4
C, ROBBERY 1D PERSON, 0 E KIERNAN AVE, 4/28/2019, P3
C, ROBBERY 2D COMMERCIAL, 9200 N NEVADA ST, 5/4/2019, P4
C, TAKING MOTOR VEHICLE WITHOUT PERMISSION 2D, 700 E HOUSTON AVE, 4/28/2019, P4
C, THEFT 2D ALL OTHER, 9200 N COLTON ST, 4/28/2019, P3
C, THEFT 2D ALL OTHER, 6100 N DIVISION ST, 4/29/2019, P3
C, THEFT 2D ALL OTHER , E FRANCIS AVE / N NEVADA ST, 5/4/2019, P3
C, THEFT 2D FROM MOTOR VEHICLE, 900 E QUEEN AVE, 4/28/2019, P3
C, THEFT 3D ALL OTHER, 7100 N HELENA ST, 4/28/2019, P3
C, THEFT 3D ALL OTHER, 900 E BEACON AVE, 4/29/2019, P3
C, THEFT 3D ALL OTHER, 7200 N STANDARD ST, 5/2/2019, P3
