ac,offense,address,date,district
C, RAPE 2D, NA, 12/20/2018, P1
A, BURGLARY 2D GARAGE, 6500 N CEDAR RD, 12/19/2018, P1
C, RAPE 2D, NA, 12/19/2018, P1
C, THEFT OF MOTOR VEHICLE, 6500 N CEDAR RD, 12/19/2018, P1
C, THEFT OF MOTOR VEHICLE, 4300 W EXCELL AVE, 12/22/2018, P1
C, THEFT 3D FROM BUILDING, 1800 W FRANCIS AVE, 12/17/2018, P1
C, THEFT 3D FROM MOTOR VEHICLE, 1700 W FRANCIS AVE, 12/21/2018, P1
C, BURGLARY-RESIDENTIAL, 10700 N PORTSMOUTH CT, 12/18/2018, P1
C, BURGLARY-RESIDENTIAL, 5100 W MILLBURY AVE, 12/21/2018, P1
C, MAIL THEFT, 6000 W COMANCHE AVE, 12/19/2018, P1
C, THEFT 3D ALL OTHER, 5100 W HOWESDALE DR, 12/16/2018, P1
A, BURGLARY 1D FROM RESIDENCE, 6100 N HOWARD ST, 12/22/2018, P1
C, BURGLARY 1D FROM RESIDENCE, 6100 N HOWARD ST, 12/22/2018, P1
A, BURGLARY 1D FROM RESIDENCE, 6100 N HOWARD ST, 12/22/2018, P1
C, BURGLARY 2D COMMERCIAL, 6100 N HOWARD ST, 12/22/2018, P1
C, BURGLARY 2D GARAGE, 1300 W BISMARK AVE, 12/20/2018, P1
C, BURGLARY-RESIDENTIAL, 5400 N WALL ST, 12/21/2018, P1
C, MURDER-1D, 800 W WALTON AVE, 12/16/2018, P2
C, RAPE 3D, NA, 12/18/2018, P2
C, THEFT 3D FROM BUILDING, 6100 N HOWARD ST, 12/22/2018, P1
C, THEFT OF MOTOR VEHICLE, 5800 N MADISON ST, 12/18/2018, P1
C, THEFT OF MOTOR VEHICLE, 3900 N HAWTHORNE ST, 12/20/2018, P3
C, THEFT 2D FROM BUILDING, 5400 N MAPLE ST, 12/19/2018, P1
C, THEFT 2D FROM MOTOR VEHICLE, 5000 N DIVISION ST, 12/21/2018, P1
C, THEFT 2D FROM MOTOR VEHICLE, 4000 N CEDAR ST, 12/21/2018, P1
