ac, offense, address, date, district
C, BURGLARY 1D FROM RESIDENCE, 3000 W BEACON AVE, 5/25/2019, P4
C, THEFT 3D FROM BUILDING, 3000 W BEACON AVE, 5/25/2019, P4
C, THEFT 2D FROM MOTOR VEHICLE, 7600 N ALBERTA ST, 5/24/2019, P1
C, THEFT 3D ALL OTHER, 7300 N FIVE MILE RD, 5/21/2019, P1
C, THEFT 3D FROM BUILDING, 8700 N INDIAN TRAIL RD, 5/21/2019, P1
C, THEFT 3D SHOPLIFTING, 9000 N INDIAN TRAIL RD, 5/21/2019, P1
A, BURGLARY 2D GARAGE, 1100 W BISMARK AVE, 5/19/2019, P1
C, THEFT 2D FROM MOTOR VEHICLE, 400 W KIERNAN AVE, 5/19/2019, P1
C, THEFT 2D FROM MOTOR VEHICLE, 4500 N CALISPEL ST, 5/24/2019, P1
C, THEFT 3D CITY SHOPLIFTING, 3500 N DIVISION ST, 5/25/2019, P1
C, THEFT 3D FROM BUILDING, 3800 N ATLANTIC ST, 5/22/2019, P1
C, THEFT 3D FROM BUILDING, 3500 N DIVISION ST, 5/23/2019, P1
C, THEFT 3D FROM MOTOR VEHICLE, 200 W SUSSEX CT, 5/22/2019, P1
A, THEFT 3D FROM MOTOR VEHICLE, 5300 N MONROE ST, 5/23/2019, P1
A, THEFT 3D FROM MOTOR VEHICLE, 6200 N POST ST, 5/25/2019, P1
C, THEFT 3D SHOPLIFTING, 4700 N DIVISION ST, 5/20/2019, P1
C, THEFT 3D SHOPLIFTING, 4700 N DIVISION ST, 5/21/2019, P2
C, THEFT 3D VEHICLE PARTS AND ACCESSORIES, 4500 N CALISPEL ST, 5/24/2019, P1
C, THEFT OF MOTOR VEHICLE, 200 W SUSSEX CT, 5/20/2019, P3
C, THEFT OF MOTOR VEHICLE, 100 W FRANKLIN CT, 5/23/2019, P1
C, THEFT OF MOTOR VEHICLE, 600 W GARLAND AVE, 5/23/2019, P1
C, BURGLARY 2D FENCED AREA, 2100 W CARLISLE AVE, 5/25/2019, P2
C, RAPE 2D, NA, 5/24/2019, P2
A, RESIDENTIAL BURGLARY, 3700 W WELLESLEY AVE, 5/25/2019, P1
C, THEFT 2D FROM MOTOR VEHICLE, 4400 N AUBREY L WHITE PKWY, 5/19/2019, P1
C, THEFT 2D FROM MOTOR VEHICLE, 4400 N AUBREY L WHITE PKWY, 5/20/2019, P1
C, THEFT 3D ALL OTHER, 5000 W NORTHWEST BLVD, 5/21/2019, P1
C, THEFT 3D ALL OTHER, 5200 N CANNON ST, 5/22/2019, P1
A, THEFT 3D FROM BUILDING, 7300 N PINE ROCK ST, 5/20/2019, P1
C, THEFT 3D FROM BUILDING, 2500 W NORTHWEST BLVD, 5/24/2019, P1
C, THEFT 3D FROM MOTOR VEHICLE, 3200 W ALICE AVE, 5/20/2019, P1
C, THEFT 3D FROM MOTOR VEHICLE, 5400 N ELM ST, 5/21/2019, P1
C, THEFT 3D FROM MOTOR VEHICLE, 3200 N WELLINGTON PL, 5/21/2019, P1
C, THEFT 3D SHOPLIFTING, 2500 W WELLESLEY AVE, 5/19/2019, P1
C, THEFT 3D SHOPLIFTING, 2300 W WELLESLEY AVE, 5/19/2019, P1
C, THEFT OF MOTOR VEHICLE, 2200 W CENTRAL AVE, 5/23/2019, P1
C, ASSAULT 4D WEAPON, 1700 W MANSFIELD AVE, 5/25/2019, P1
C, BURGLARY 1D GARAGE, 400 W SHANNON AVE, 5/24/2019, P2
C, BURGLARY 2D GARAGE, 1000 W CHELAN AVE, 5/23/2019, P2
A, THEFT 1D ALL OTHER, 300 W WAVERLY PL, 5/22/2019, P2
C, THEFT 2D ALL OTHER ,N ASH ST / W SHANNON AVE, 5/24/2019, P2
C, THEFT 2D FROM BUILDING, 1500 N LINCOLN ST, 5/25/2019, P2
C, THEFT 2D FROM BUILDING, 1300 N WALL ST, 5/25/2019, P2
C, THEFT 2D FROM MOTOR VEHICLE, 2900 N LINCOLN ST, 5/24/2019, P2
C, THEFT 3D ALL OTHER, 1500 W CARLISLE AVE, 5/21/2019, P2
C, THEFT 3D CITY FROM MOTOR VEHICLE, 2400 N DIVISION ST, 5/24/2019, P1
C, THEFT 3D FROM MOTOR VEHICLE, 2300 N STEVENS ST, 5/25/2019, P2
C, THEFT 3D VEHICLE PARTS AND ACCESSORIES, 1000 W MANSFIELD AVE, 5/25/2019, P2
C, THEFT OF MOTOR VEHICLE, 3000 N DIVISION ST, 5/24/2019, P1
A, BURGLARY 2D GARAGE, 2200 W DEAN AVE, 5/19/2019, P2
C, THEFT 2D FROM BUILDING, 1400 W HIGHLINE LN, 5/19/2019, P2
C, THEFT 3D ALL OTHER, 1500 W GARDNER AVE, 5/23/2019, P2
C, THEFT 3D FROM MOTOR VEHICLE, 4300 W FORT GEORGE WRIGHT DR, 5/21/2019, P2
C, ASSAULT 2D, 1300 E ROCKWELL AVE, 5/25/2019, P4
C, ASSAULT 4D WEAPON, 7500 N PERRY ST, 5/23/2019, P4
C, ASSAULT OF A CHILD 3D WEAPON OR NEGLIGENT INJURY, 6600 N ADDISON ST, 5/22/2019, P4
A, BURGLARY 2D COMMERCIAL, 3100 N DIVISION ST, 5/19/2019, P3
C, BURGLARY 2D COMMERCIAL, 1500 E LYONS AVE, 5/24/2019, P4
C, BURGLARY 2D COMMERCIAL, 9200 N NEVADA ST, 5/24/2019, P4
C, BURGLARY 2D FENCED AREA, 1100 E FRANCIS AVE, 5/24/2019, P2
C, MAIL THEFT, 800 E NORTH AVE, 5/24/2019, P3
