ac,offense,address,date,district
C, THEFT FIREARM FROM BUILDING, UNKNOWN, 1/28/2018, P1
C, THEFT 2D FROM MOTOR VEHICLE, 4100 W WOODSIDE AVE, 1/30/2018, P1
C, THEFT 3D ALL OTHER, 1800 W FRANCIS AVE, 1/28/2018, P1
C, THEFT 3D ALL OTHER, 3500 W BRUCE AVE, 1/29/2018, P1
A, THEFT 3D FROM MOTOR VEHICLE, 2100 W FRANCIS AVE, 1/28/2018, P1
C, THEFT 3D SHOPLIFTING, 1600 W FRANCIS AVE, 1/31/2018, P1
C, VEHICLE PROWLING 2D FROM VEHICLE, 1900 W FRANCIS AVE, 1/29/2018, P1
C, THEFT 2D FROM MOTOR VEHICLE, 8900 N MADELINE LN, 1/31/2018, P1
C, THEFT 3D SHOPLIFTING, 9000 N INDIAN TRAIL RD, 1/29/2018, P1
C, BURGLARY-RESIDENTIAL, 1000 W PROVIDENCE AVE, 1/30/2018, P1
C, MAIL THEFT, 4600 N WASHINGTON ST, 1/31/2018, P1
C, MAIL THEFT, 4200 N NORMANDIE ST, 1/31/2018, P1
A, THEFT OF MOTOR VEHICLE, 4500 N HAWTHORNE ST, 1/28/2018, P1
C, THEFT OF MOTOR VEHICLE, 5300 N WASHINGTON ST, 1/28/2018, P1
C, THEFT OF MOTOR VEHICLE, 4400 N WALL ST, 1/29/2018, P1
C, THEFT 2D SHOPLIFTING, 6200 N DIVISION ST, 1/31/2018, P1
C, THEFT 3D ALL OTHER, 4700 N NORMANDIE ST, 2/2/2018, P3
A, THEFT 3D FROM MOTOR VEHICLE, 4100 N ADAMS ST, 1/29/2018, P1
C, THEFT 3D FROM MOTOR VEHICLE, 4200 N NORMANDIE ST, 1/30/2018, P1
C, THEFT 3D FROM MOTOR VEHICLE, 900 W GARLAND AVE, 1/30/2018, P1
C, THEFT 3D FROM MOTOR VEHICLE, 900 W GARLAND AVE, 2/3/2018, P1
C, THEFT 3D VEHICLE PARTS OR ACCESSORIES, 4100 N MAPLE ST, 1/28/2018, P1
C, THEFT 3D VEHICLE PARTS OR ACCESSORIES, 300 W NEBRASKA AVE, 1/29/2018, P1
C, THEFT 3D VEHICLE PARTS OR ACCESSORIES, 4800 N POST ST, 2/2/2018, P1
C, THEFT 3D SHOPLIFTING, 4700 N DIVISION ST, 1/28/2018, P1
C, THEFT 3D SHOPLIFTING, 4700 N DIVISION ST, 1/29/2018, P1
C, THEFT 3D SHOPLIFTING, 4700 N DIVISION ST, 2/1/2018, P1
C, THEFT CITY FROM MOTOR VEHICLE, 4400 N WALL ST, 1/29/2018, P1
A, VEHICLE PROWLING 2D, 6000 N STEVENS ST, 1/30/2018, P1
C, BURGLARY 2D GARAGE, 5200 N ELM ST, 1/30/2018, P1
C, BURGLARY-RESIDENTIAL, 3000 W GLASS AVE, 1/29/2018, P1
C, BURGLARY-RESIDENTIAL, 2200 W DALTON AVE, 2/3/2018, P2
C, BURGLARY-RESIDENTIAL, 3200 W FAIRVIEW AVE, 2/3/2018, P1
C, THEFT OF MOTOR VEHICLE, 5500 N ASH ST, 2/1/2018, P1
C, THEFT OF MOTOR VEHICLE, 4900 W NORTHWEST BLVD, 2/1/2018, P1
C, THEFT OF MOTOR VEHICLE, 3200 W FAIRVIEW AVE, 2/3/2018, P1
C, THEFT 1D FROM BUILDING, 2200 W DALTON AVE, 2/3/2018, P2
C, THEFT 2D FROM BUILDING, 3000 W GLASS AVE, 1/29/2018, P1
C, THEFT 2D FROM MOTOR VEHICLE, 1700 W GARLAND AVE, 1/31/2018, P1
C, THEFT 2D FROM MOTOR VEHICLE, 2200 W WELLESLEY AVE, 1/31/2018, P1
C, THEFT 3D ALL OTHER, 3300 W NORTHWEST BLVD, 2/1/2018, P1
C, THEFT 3D FROM MOTOR VEHICLE, 3100 W ALICE AVE, 1/29/2018, P1
C, THEFT 3D FROM MOTOR VEHICLE, 2600 W ROWAN AVE, 1/30/2018, P1
C, THEFT 3D FROM MOTOR VEHICLE, 2500 W WELLESLEY AVE, 1/30/2018, P1
C, THEFT 3D FROM MOTOR VEHICLE, 4200 N BELT ST, 1/30/2018, P1
C, THEFT 3D FROM MOTOR VEHICLE, 4400 W WELLESLEY AVE, 1/31/2018, P1
C, THEFT 3D FROM MOTOR VEHICLE, 3100 W PROVIDENCE AVE, 2/1/2018, P1
C, THEFT 3D FROM MOTOR VEHICLE, 2900 W DECATUR AVE, 2/2/2018, P1
C, THEFT 3D FROM MOTOR VEHICLE, 3000 W DECATUR AVE, 2/2/2018, P1
C, THEFT 3D VEHICLE PARTS OR ACCESSORIES, 3000 W KIERNAN AVE, 1/29/2018, P1
C, THEFT 3D VEHICLE PARTS OR ACCESSORIES, 6100 N FOREST BLVD, 2/1/2018, P2
C, THEFT 3D SHOPLIFTING, 2400 W WELLESLEY AVE, 1/29/2018, P1
C, VEHICLE PROWLING 2D FROM VEHICLE, 2200 W WELLESLEY AVE, 1/31/2018, P1
A, VEHICLE PROWLING 2D, 3400 W CORA AVE, 1/28/2018, P1
C, ASSAULT 1D, 2400 N CALISPEL ST, 1/31/2018, P2
C, BURGLARY 2D GARAGE, 1500 W SHANNON AVE, 1/29/2018, P2
C, MAIL THEFT, 1900 W MANSFIELD AVE, 1/29/2018, P2
C, MAIL THEFT, 1600 W GRACE AVE, 2/2/2018, P2
A, THEFT OF MOTOR VEHICLE, 1600 W SHANNON AVE, 1/29/2018, P2
C, THEFT OF MOTOR VEHICLE, 200 W WAVERLY PL, 1/31/2018, P1
C, THEFT OF MOTOR VEHICLE , W SINTO AVE / N WASHINGTON ST, 2/3/2018, P2
C, THEFT 2D FROM MOTOR VEHICLE, 2400 N DIVISION ST, 1/31/2018, P2
C, THEFT 2D VEHICLE PARTS OR ACCESSORIES, 2400 N DIVISION ST, 1/29/2018, P2
C, THEFT 3D ALL OTHER, 1100 W NORTHWEST BLVD, 2/3/2018, P2
C, THEFT 3D FROM BUILDING, 900 W MANSFIELD AVE, 1/28/2018, P2
C, THEFT 3D FROM BUILDING, 1500 N MONROE ST, 1/28/2018, P2
C, THEFT 3D FROM BUILDING, 1600 W NORTHWEST BLVD, 1/30/2018, P2
C, THEFT 3D FROM BUILDING, 300 W INDIANA AVE, 1/30/2018, P2
C, THEFT 3D FROM BUILDING, 900 W FREDERICK AVE, 1/30/2018, P2
C, THEFT 3D FROM BUILDING, 900 W FREDERICK AVE, 1/30/2018, P2
C, THEFT 3D FROM BUILDING, 2300 N MONROE ST, 1/31/2018, P2
C, THEFT 3D FROM MOTOR VEHICLE, 700 W BOONE AVE, 1/29/2018, P2
C, THEFT 3D FROM MOTOR VEHICLE, 1400 W EUCLID AVE, 1/30/2018, P2
C, THEFT 3D FROM MOTOR VEHICLE, 900 W INDIANA AVE, 1/31/2018, P1
C, THEFT 3D VEHICLE PARTS OR ACCESSORIES, 1400 W DALTON AVE, 1/28/2018, P2
C, THEFT 3D VEHICLE PARTS OR ACCESSORIES, 1600 W SHANNON AVE, 1/29/2018, P2
C, THEFT 3D VEHICLE PARTS OR ACCESSORIES, 300 W MISSION AVE, 1/30/2018, P2
C, THEFT-CITY (Shoplifting), 1600 W NORTHWEST BLVD, 1/28/2018, P1
