ac,offense,address,date,district
C, THEFT 3D FROM BUILDING, 4400 W SKYLINE DR, 2/8/2019, P1
C, RESIDENTIAL BURGLARY, 8800 N MAPLE ST, 2/6/2019, P1
C, TAKING MOTOR VEHICLE WITHOUT PERMISSION 1D, 7500 N FIVE MILE RD, 2/8/2019, P1
C, MAIL THEFT, 4700 N JEFFERSON ST, 2/5/2019, P1
C, MAIL THEFT, 4200 N MONROE ST, 2/7/2019, P1
C,RAPE OF A CHILD 1D,NA, 2/6/2019, P7
C, RESIDENTIAL BURGLARY, 4700 N MONROE ST, 2/6/2019, P1
C, THEFT 3D ALL OTHER, 4400 N WALNUT ST, 2/4/2019, P2
C, THEFT 3D FROM MOTOR VEHICLE, 700 W GORDON AVE, 2/4/2019, P1
C, THEFT 3D FROM MOTOR VEHICLE, 5000 N WALNUT ST, 2/4/2019, P1
C, THEFT 3D FROM MOTOR VEHICLE, 700 W GORDON AVE, 2/6/2019, P1
C, THEFT 3D SHOPLIFTING, 3600 N DIVISION ST, 2/8/2019, P1
C, ASSAULT 2D, 5600 N SUTHERLIN ST, 2/3/2019, P1
C, ASSAULT OF A CHILD 2D, 2900 W HOFFMAN AVE, 2/5/2019, P1
C, BURGLARY 2D COMMERCIAL, 4000 W CROWN AVE, 2/6/2019, P1
C, DRIVE BY SHOOTING, 3200 W LACROSSE AVE, 2/4/2019, P1
C, THEFT 3D ALL OTHER, 6000 N HARTLEY ST, 2/4/2019, P1
C, THEFT 3D FROM MOTOR VEHICLE, 3600 W PRINCETON AVE, 2/4/2019, P1
C, THEFT 3D FROM MOTOR VEHICLE, 2900 W PROVIDENCE AVE, 2/4/2019, P1
C, THEFT 3D FROM MOTOR VEHICLE, 2800 W HOFFMAN AVE, 2/4/2019, P1
C, THEFT 3D FROM MOTOR VEHICLE, 3200 W LACROSSE AVE, 2/4/2019, P1
C, THEFT 3D FROM MOTOR VEHICLE, 2000 W PROVIDENCE AVE, 2/4/2019, P1
C, THEFT 3D FROM MOTOR VEHICLE, 3200 W LACROSSE AVE, 2/4/2019, P1
A, THEFT 3D FROM MOTOR VEHICLE, 2800 W HOFFMAN AVE, 2/5/2019, P1
C, THEFT 3D FROM MOTOR VEHICLE, 1900 W KIERNAN AVE, 2/5/2019, P1
C, THEFT 3D FROM MOTOR VEHICLE, 2200 W YORK AVE, 2/6/2019, P1
A, THEFT 3D FROM MOTOR VEHICLE, 5400 N GREENWOOD BLVD, 2/6/2019, P1
C, THEFT 3D FROM MOTOR VEHICLE, 2200 W WELLESLEY AVE, 2/7/2019, P1
C, THEFT 3D SHOPLIFTING, 2300 W WELLESLEY AVE, 2/5/2019, P1
C, THEFT OF A FIREARM FROM MOTOR VEHICLE, 2900 W EUCLID AVE, 2/4/2019, P1
C, THEFT OF MOTOR VEHICLE, 3800 W HOFFMAN AVE, 2/4/2019, P1
C, THEFT OF MOTOR VEHICLE, 2200 W WELLESLEY AVE, 2/7/2019, P1
C, BURGLARY 2D GARAGE, 2000 W JACKSON AVE, 2/6/2019, P1
A, RESIDENTIAL BURGLARY, 500 W SINTO AVE, 2/7/2019, P1
A, RESIDENTIAL BURGLARY, 500 W SINTO AVE, 2/8/2019, P2
C, RESIDENTIAL BURGLARY, 600 W CLEVELAND AVE, 2/8/2019, P1
C, THEFT 2D ALL OTHER, 1400 N POST ST, 2/4/2019, P2
C, THEFT 2D ALL OTHER, 800 W CARLISLE AVE, 2/6/2019, P2
C, THEFT 3D CITY SHOPLIFTING, 1700 W NORTHWEST BLVD, 2/5/2019, P1
C, THEFT 3D FROM BUILDING, 3000 N DIVISION ST, 2/8/2019, P2
C, THEFT 3D FROM MOTOR VEHICLE, 400 W CLEVELAND AVE, 2/4/2019, P2
A, THEFT 3D FROM MOTOR VEHICLE, 700 W EUCLID AVE, 2/5/2019, P2
C, THEFT 3D FROM MOTOR VEHICLE, 1600 W NORTHWEST BLVD, 2/7/2019, P2
C, THEFT 3D VEHICLE PARTS AND ACCESSORIES, 2400 N DIVISION ST, 2/6/2019, P2
C, THEFT OF MOTOR VEHICLE, 2400 N DIVISION ST, 2/7/2019, P2
C, THEFT 3D FROM MOTOR VEHICLE, 700 W MALLON AVE, 2/5/2019, P2
C, RESIDENTIAL BURGLARY, 1700 W BOONE AVE, 2/7/2019, P1
C, THEFT 2D ALL OTHER, 2000 W NORA AVE, 2/5/2019, P2
C, THEFT 3D CITY SHOPLIFTING, 1000 W SUMMIT PKWY, 2/5/2019, P1
C, THEFT 3D CITY SHOPLIFTING, 1000 W SUMMIT PKWY, 2/5/2019, P1
C, THEFT 3D CITY SHOPLIFTING, 1000 W SUMMIT PKWY, 2/9/2019, P2
C, THEFT 3D FROM MOTOR VEHICLE, 2300 W MALLON AVE, 2/3/2019, P2
A, THEFT 3D FROM MOTOR VEHICLE, 1800 W BRIDGE AVE, 2/4/2019, P2
C, THEFT 3D FROM MOTOR VEHICLE, 1500 W HIGHLINE LN, 2/5/2019, P2
C, THEFT 3D FROM MOTOR VEHICLE, 1800 W SUMMIT PKWY, 2/9/2019, P2
C, THEFT 3D FROM MOTOR VEHICLE, 2100 W SUMMIT PKWY, 2/9/2019, P2
C, THEFT 3D SHOPLIFTING, 2200 W BROADWAY AVE, 2/7/2019, P2
C, THEFT 3D VEHICLE PARTS AND ACCESSORIES, 2200 W BROADWAY AVE, 2/5/2019, P2
C, THEFT 2D FROM MOTOR VEHICLE, 3400 W FORT GEORGE WRIGHT DR, 2/8/2019, P2
C, ASSAULT 2D, 6500 N NEVADA ST, 2/6/2019, P4
C, ASSAULT 2D, 600 E LACROSSE AVE, 2/7/2019, P3
C, ASSAULT 2D, 4700 N MORTON ST, 2/8/2019, P4
C, BURGLARY 2D COMMERCIAL, 4700 N DIVISION ST, 2/7/2019, P3
C, BURGLARY 2D GARAGE, 600 E MAGNESIUM RD, 2/9/2019, P3
C, MAIL THEFT, 1100 E COZZA DR, 2/8/2019, P3
C, MAIL THEFT, 400 E MAGNESIUM RD, 2/8/2019, P3
C, RETAIL THEFT WITH SPECIAL CIRCUMSTANCES 2D, 5800 N DIVISION ST, 2/5/2019, P3
C, RETAIL THEFT WITH SPECIAL CIRCUMSTANCES 3D, 9200 N COLTON ST, 2/4/2019, P3
C, THEFT 2D FROM BUILDING, 9200 N NEVADA ST, 2/3/2019, P3
C, THEFT 2D FROM BUILDING, 4700 N DIVISION ST, 2/5/2019, P3
C, THEFT 2D FROM MOTOR VEHICLE, 4700 N DIVISION ST, 2/9/2019, P3
C, THEFT 3D ALL OTHER, 10100 N NEWPORT HWY, 2/7/2019, P2
C, THEFT 3D ALL OTHER, 1000 E PRINCETON AVE, 2/7/2019, P3
C, THEFT 3D ALL OTHER, 9200 N COLTON ST, 2/8/2019, P3
C, THEFT 3D CITY SHOPLIFTING, 6700 N DIVISION ST, 2/6/2019, P4
C, THEFT 3D CITY SHOPLIFTING, 8700 N DIVISION ST, 2/7/2019, P2
C, THEFT 3D CITY SHOPLIFTING, 9100 N NEWPORT HWY, 2/7/2019, P3
C, THEFT 3D FROM BUILDING, 10000 N NEVADA ST, 2/3/2019, P3
C, THEFT 3D FROM BUILDING, 6100 N COLTON ST, 2/9/2019, P3
C, THEFT 3D FROM MOTOR VEHICLE, 1200 E ROWAN AVE, 2/3/2019, P3
C, THEFT 3D FROM MOTOR VEHICLE, 6600 N STANDARD ST, 2/8/2019, P3
C, THEFT 3D FROM MOTOR VEHICLE, 300 E OLYMPIC AVE, 2/8/2019, P3
C, THEFT 3D FROM MOTOR VEHICLE, 400 E MAGNESIUM RD, 2/8/2019, P3
C, THEFT 3D SHOPLIFTING, 10100 N NEWPORT HWY, 2/3/2019, P3
C, THEFT 3D SHOPLIFTING, 6500 N DIVISION ST, 2/4/2019, P3
C, THEFT 3D SHOPLIFTING, 9900 N NEWPORT HWY, 2/4/2019, P3
C, THEFT 3D SHOPLIFTING, 6700 N DIVISION ST, 2/5/2019, P3
C, THEFT 3D SHOPLIFTING, 7400 N DIVISION ST, 2/7/2019, P3
C, THEFT 3D SHOPLIFTING, 10100 N NEWPORT HWY, 2/7/2019, P3
C, THEFT 3D SHOPLIFTING, 4700 N DIVISION ST, 2/8/2019, P3
A, THEFT 3D SHOPLIFTING, 9100 N NEWPORT HWY, 2/8/2019, P2
C, THEFT 3D SHOPLIFTING, 6500 N NEVADA ST, 2/8/2019, P3
C, THEFT 3D SHOPLIFTING, 4700 N DIVISION ST, 2/9/2019, P3
C, THEFT OF MOTOR VEHICLE, 0 E PINE RIDGE CT, 2/3/2019, P4
C, THEFT OF MOTOR VEHICLE, 600 E KIERNAN AVE, 2/7/2019, P4
C, THEFT OF MOTOR VEHICLE , E EMPIRE AVE / N CINCINNATI ST, 2/9/2019, P4
C, THEFT 3D FROM MOTOR VEHICLE, 1500 E SANSON AVE, 2/5/2019, P3
C, BURGLARY 1D COMMERCIAL, 3900 N MARKET ST, 2/5/2019, P4
C, RESIDENTIAL BURGLARY, 2600 N LEE ST, 2/3/2019, P4
C, RESIDENTIAL BURGLARY, 1600 E LONGFELLOW AVE, 2/6/2019, P4
C, THEFT 3D ALL OTHER, 1600 E WELLESLEY AVE, 2/6/2019, P4
C, THEFT 3D FROM MOTOR VEHICLE, 2300 E RICH AVE, 2/7/2019, P4
C, THEFT 3D FROM MOTOR VEHICLE, 2000 E EMPIRE AVE, 2/8/2019, P4
C, THEFT OF MOTOR VEHICLE, 2300 E EUCLID AVE, 2/7/2019, P4
C, THEFT OF MOTOR VEHICLE, 2100 E NORTH CRESCENT AVE, 2/8/2019, P4
C, BURGLARY 2D COMMERCIAL, 4300 E DALKE AVE, 2/7/2019, P4
C, MAIL THEFT, 6000 N MYRTLE ST, 2/8/2019, P4
C, THEFT 1D FROM BUILDING, 3000 E HOFFMAN AVE, 2/5/2019, P4
C, THEFT 3D CITY FROM BUILDING, 4300 E DALKE AVE, 2/7/2019, P4
C, THEFT 3D FROM MOTOR VEHICLE, 4700 N LEE ST, 2/8/2019, P4
C, THEFT 3D FROM MOTOR VEHICLE, 3000 E EVERETT AVE, 2/9/2019, P4
C, THEFT OF MOTOR VEHICLE, 3100 E EVERETT AVE, 2/6/2019, P4
C, ASSAULT OF A CHILD 2D, 2400 N CINCINNATI ST, 2/5/2019, P4
C, RESIDENTIAL BURGLARY, 1100 E NORA AVE, 2/4/2019, P4
A, RESIDENTIAL BURGLARY, 1700 N CINCINNATI ST, 2/9/2019, P4
C, THEFT 2D FROM MOTOR VEHICLE, 600 E SHARP AVE, 2/8/2019, P4
C, THEFT 3D ALL OTHER, 200 E INDIANA AVE, 2/4/2019, P4
C, THEFT 3D ALL OTHER,  E EUCLID AVE / N DIVISION ST, 2/4/2019, P2
C, THEFT 3D ALL OTHER, 800 E SINTO AVE, 2/4/2019, P4
C, THEFT 3D CITY SHOPLIFTING, 2400 N DIVISION ST, 2/5/2019, P4
C, THEFT 3D CITY SHOPLIFTING, 200 E NORTH FOOTHILLS DR, 2/6/2019, P4
C, THEFT 3D CITY SHOPLIFTING, 200 E NORTH FOOTHILLS DR, 2/6/2019, P4
C, THEFT 3D CITY SHOPLIFTING, 200 E NORTH FOOTHILLS DR, 2/6/2019, P4
C, THEFT 3D CITY SHOPLIFTING, 2400 N DIVISION ST, 2/8/2019, P2
C, THEFT 3D CITY SHOPLIFTING, 200 E NORTH FOOTHILLS DR, 2/8/2019, P3
C, THEFT 3D CITY SHOPLIFTING, 2400 N DIVISION ST, 2/9/2019, P4
C, THEFT 3D FROM BUILDING, 2000 N DIVISION ST, 2/4/2019, P4
C, THEFT 3D FROM MOTOR VEHICLE, 900 E MISSION AVE, 2/7/2019, P4
C, THEFT 3D SHOPLIFTING, 900 E MISSION AVE, 2/4/2019, P4
C, THEFT 3D SHOPLIFTING, 900 E MISSION AVE, 2/4/2019, P4
C, THEFT 3D SHOPLIFTING, 2000 N HAMILTON ST, 2/6/2019, P4
C, THEFT 3D SHOPLIFTING, 2000 N HAMILTON ST, 2/9/2019, P4
C, THEFT OF A FIREARM FROM A BUILDING, 2200 N PERRY ST, 2/3/2019, P4
C, THEFT OF MOTOR VEHICLE, 800 E INDIANA AVE, 2/7/2019, P4
C, ASSAULT 2D, 1800 E 3RD AVE, 2/4/2019, P6
