ac,offense,address,date,district
C, THEFT 3D FROM MOTOR VEHICLE, 1800 W NORTHRIDGE CT, 9/19/2017, P1
A, THEFT 3D FROM MOTOR VEHICLE, 2300 W HOUSTON AVE, 9/22/2017, P1
C, THEFT 2D FROM MOTOR VEHICLE, 9900 N FARMDALE ST, 9/21/2017, P1
C, BURGLARY-RESIDENTIAL, 6100 N CALISPEL ST, 9/19/2017, P3
C, MAIL THEFT, 5400 N MADISON ST, 9/22/2017, P1
C, THEFT 2D FROM BUILDING, 5000 N MONROE ST, 9/20/2017, P1
C, THEFT 2D FROM MOTOR VEHICLE, 5200 N HAWTHORNE ST, 9/22/2017, P1
C, THEFT 2D SHOPLIFTING, 6000 N DIVISION ST, 9/22/2017, P1
C, THEFT 3D ALL OTHER, 6100 N CALISPEL ST, 9/19/2017, P3
C, THEFT 3D FROM BUILDING, 800 W CORA AVE, 9/20/2017, P1
C, THEFT 3D FROM MOTOR VEHICLE, 6200 N WASHINGTON ST, 9/18/2017, P1
A, THEFT 3D FROM MOTOR VEHICLE , W GARLAND AVE / N NORMANDIE ST, 9/18/2017, P1
C, THEFT 3D FROM MOTOR VEHICLE, 5100 N HOWARD ST, 9/20/2017, P1
C, THEFT 3D FROM MOTOR VEHICLE, 4900 N WHITEHOUSE ST, 9/22/2017, P1
C, THEFT 3D SHOPLIFTING, 3400 N DIVISION ST, 9/17/2017, P1
A, BURGLARY-RESIDENTIAL, 4900 N A ST, 9/18/2017, P1
C, BURGLARY-RESIDENTIAL, 4300 W NORTHWEST BLVD, 9/20/2017, P1
C, RAPE 2D, NA, 9/21/2017, P1
C, THEFT 1D FROM BUILDING, 5200 N ELGIN ST, 9/20/2017, P1
C, THEFT 2D FROM MOTOR VEHICLE, 3400 N COLUMBIA CIR, 9/17/2017, P1
C, THEFT 3D ALL OTHER, 2300 W WELLESLEY AVE, 9/17/2017, P1
C, THEFT 3D ALL OTHER, 5800 N ALBERTA ST, 9/17/2017, P1
C, THEFT 3D ALL OTHER, 5700 N ASSEMBLY ST, 9/17/2017, P1
C, THEFT 3D ALL OTHER, 3100 W GLASS AVE, 9/18/2017, P1
C, THEFT 3D ALL OTHER, 4500 W WELLESLEY AVE, 9/19/2017, P1
C, THEFT 3D FROM BUILDING, 4500 N ROYAL CT, 9/18/2017, P1
C, THEFT 3D FROM BUILDING, 2300 W WELLESLEY AVE, 9/22/2017, P3
C, THEFT 3D FROM MOTOR VEHICLE, 2900 W RIVERVIEW DR, 9/17/2017, P1
C, THEFT 3D FROM MOTOR VEHICLE, 3400 W FAIRVIEW AVE, 9/17/2017, P1
A, THEFT 3D FROM MOTOR VEHICLE, 3300 W PROVIDENCE AVE, 9/17/2017, P1
C, THEFT 3D FROM MOTOR VEHICLE, 2300 W WELLESLEY AVE, 9/18/2017, P1
C, THEFT 3D FROM MOTOR VEHICLE, 6000 N SUTHERLIN ST, 9/19/2017, P1
U, THEFT 3D SHOPLIFTING, 3700 N MILTON ST, 9/19/2017, P1
C, THEFT 3D FROM MOTOR VEHICLE , N WASHINGTON ST / W CATALDO AVE, 9/22/2017, P2
C, MAIL THEFT, 1900 W SHANNON AVE, 9/20/2017, P2
C, THEFT OF MOTOR VEHICLE, 500 W DALTON AVE, 9/17/2017, P2
C, THEFT OF MOTOR VEHICLE, 1900 W SHANNON AVE, 9/18/2017, P1
C, THEFT OF MOTOR VEHICLE, 3000 N DIVISION ST, 9/19/2017, P2
C, THEFT 2D ALL OTHER, 200 W SHANNON AVE, 9/22/2017, P2
C, THEFT 2D ALL OTHER, 1000 W FREDERICK AVE, 9/22/2017, P2
C, THEFT 3D ALL OTHER, 1600 W NORTHWEST BLVD, 9/17/2017, P2
C, THEFT 3D FROM MOTOR VEHICLE, 2400 N DIVISION ST, 9/18/2017, P2
C, THEFT 3D FROM MOTOR VEHICLE, 700 W BOONE AVE, 9/20/2017, P2
C, THEFT 3D VEHICLE PARTS OR ACCESSORIES, 2400 N DIVISION ST, 9/17/2017, P2
C, THEFT 3D VEHICLE PARTS OR ACCESSORIES, 2400 N STEVENS ST, 9/19/2017, P2
C, THEFT 3D VEHICLE PARTS OR ACCESSORIES, 2400 N DIVISION ST, 9/22/2017, P2
C, THEFT 3D VEHICLE PARTS OR ACCESSORIES, 2500 N STEVENS ST, 9/22/2017, P2
C, THEFT 3D SHOPLIFTING, 300 W INDIANA AVE, 9/19/2017, P2
A, THEFT 3D SHOPLIFTING, 2100 N DIVISION ST, 9/22/2017, P2
C, THEFT-CITY (Shoplifting), 700 W BOONE AVE, 9/21/2017, P2
C, TMVWOP-2D, 1900 W INDIANA AVE, 9/20/2017, P2
C, THEFT 3D ALL OTHER, 300 W BOONE AVE, 9/21/2017, P2
C, ASSAULT 1D, 700 N CHESTNUT ST, 9/22/2017, P1
C, ASSAULT 2D, 1200 N MADISON ST, 9/20/2017, P2
C, BURGLARY 1D FROM RESIDENCE, 1200 N MADISON ST, 9/18/2017, P2
C, BURGLARY 1D FROM RESIDENCE, 1200 N MADISON ST, 9/21/2017, P2
C, BURGLARY 2D COMMERCIAL, 1300 N CANNON ST, 9/20/2017, P2
C, BURGLARY 2D GARAGE, 1200 W COLLEGE AVE, 9/20/2017, P2
C, BURGLARY-RESIDENTIAL, 1100 N CANNON ST, 9/17/2017, P1
C, BURGLARY-RESIDENTIAL, 2200 W MISSION AVE, 9/18/2017, P2
C, BURGLARY-RESIDENTIAL, 1700 W NORA AVE, 9/19/2017, P2
C, BURGLARY-RESIDENTIAL, 1900 W BOONE AVE, 9/21/2017, P1
C, BURGLARY-RESIDENTIAL, 1900 W NORA AVE, 9/21/2017, P1
C, BURGLARY-RESIDENTIAL, 1500 W SHARP AVE, 9/22/2017, P2
C, THEFT OF MOTOR VEHICLE , W BROADWAY AVE / N JEFFERSON ST, 9/20/2017, P2
C, THEFT OF MOTOR VEHICLE, 500 N CEDAR ST, 9/22/2017, P7
C, THEFT OF MOTOR VEHICLE, 2200 W SINTO AVE, 9/22/2017, P1
C, THEFT 2D ALL OTHER, 1700 N ASH ST, 9/17/2017, P1
C, THEFT 2D FROM BUILDING, 1300 W SINTO AVE, 9/19/2017, P2
C, THEFT 3D ALL OTHER, 1500 N ELM ST, 9/17/2017, P2
C, THEFT 3D ALL OTHER, 1700 W BOONE AVE, 9/18/2017, P2
C, THEFT 3D FROM BUILDING, 1300 W BROADWAY AVE, 9/18/2017, P2
C, THEFT 3D FROM MOTOR VEHICLE, 1400 W DEAN AVE, 9/19/2017, P2
C, THEFT 3D FROM MOTOR VEHICLE, 1800 W MAXWELL AVE, 9/22/2017, P2
C, THEFT 3D FROM MOTOR VEHICLE, 500 N CEDAR ST, 9/22/2017, P7
C, THEFT 3D SHOPLIFTING, 2200 W BROADWAY AVE, 9/19/2017, P2
C, THEFT 3D SHOPLIFTING, 1200 N MONROE ST, 9/21/2017, P2
C, THEFT OF MOTOR VEHICLE, 1200 N GOVERNMENT WAY, 9/17/2017, P2
C, ASSAULT 2D, 700 E HOUSTON AVE, 9/17/2017, P3
C, ASSAULT 2D, 7400 N DIVISION ST, 9/19/2017, P3
C, BURGLARY 1D GARAGE, 1000 E SHARPSBURG AVE, 9/22/2017, P3
A, BURGLARY 1D FROM RESIDENCE, 700 E HOUSTON AVE, 9/17/2017, P3
C, BURGLARY 2D GARAGE, 200 E RICH AVE, 9/17/2017, P3
C, BURGLARY-RESIDENTIAL, 200 E LINCOLN RD, 9/20/2017, P4
C, MAIL THEFT, 1300 E WALTON AVE, 9/21/2017, P3
C, RAPE OF A CHILD 3D, NA, 9/20/2017, P3
C, RAPE OF A CHILD 3D, NA, 9/22/2017, P4
C, ROBBERY 2D COMMERCIAL (NOT PURSE SNATCHING), 6600 N DIVISION ST, 9/18/2017, P4
C, THEFT OF MOTOR VEHICLE, 8800 N HILL N DALE ST, 9/18/2017, P3
C, THEFT OF MOTOR VEHICLE, 8100 N DAKOTA ST, 9/18/2017, P4
C, THEFT OF MOTOR VEHICLE, 500 E QUEEN AVE, 9/18/2017, P3
A, THEFT OF MOTOR VEHICLE, 500 E NORTH AVE, 9/20/2017, P3
C, THEFT OF MOTOR VEHICLE , N NEVADA ST / E SHARPSBURG AVE, 9/20/2017, P4
C, THEFT OF MOTOR VEHICLE, 200 E LINCOLN RD, 9/21/2017, P4
C, THEFT OF MOTOR VEHICLE, 1200 E JOSEPH AVE, 9/21/2017, P4
C, THEFT OF MOTOR VEHICLE, 800 E LONGFELLOW AVE, 9/22/2017, P4
C, THEFT OF MOTOR VEHICLE, 8400 N NEVADA ST, 9/22/2017, P3
C, THEFT 1D FROM BUILDING, 0 E GLASS AVE, 9/19/2017, P3
C, THEFT 1D FROM MOTOR VEHICLE, 400 E ST THOMAS MOORE WAY, 9/18/2017, P3
C, THEFT 2D FROM BUILDING, 500 E QUEEN AVE, 9/18/2017, P3
C, THEFT 2D FROM BUILDING, 800 E NORTH AVE, 9/22/2017, P3
C, THEFT 2D FROM MOTOR VEHICLE, 9600 N NEWPORT HWY, 9/17/2017, P3
C, THEFT 2D FROM MOTOR VEHICLE, 6500 N PERRY ST, 9/20/2017, P3
C, THEFT 2D FROM MOTOR VEHICLE, 100 E FRANCIS AVE, 9/21/2017, P3
C, THEFT 2D VEHICLE PARTS OR ACCESSORIES, 9300 N NEWPORT HWY, 9/17/2017, P3
C, THEFT 2D SHOPLIFTING, 9500 N NEWPORT HWY, 9/22/2017, P3
C, THEFT 2D SHOPLIFTING, 4700 N DIVISION ST, 9/22/2017, P3
C, THEFT 3D ALL OTHER, 9700 N NEWPORT HWY, 9/17/2017, P3
C, THEFT 3D ALL OTHER, 700 E KIERNAN AVE, 9/18/2017, P3
C, THEFT 3D ALL OTHER, 9600 N DIVISION ST, 9/19/2017, P3
C, THEFT 3D ALL OTHER, 900 E WABASH AVE, 9/22/2017, P3
C, THEFT 3D ALL OTHER, 5600 N DIVISION ST, 9/22/2017, P3
C, THEFT 3D FROM BUILDING, 4700 N DIVISION ST, 9/19/2017, P3
