ac,offense,address,date,district
C, THEFT 3D FROM BUILDING, 3500 W FRANCIS AVE, 12/27/2018, P1
C, THEFT 3D SHOPLIFTING, 1800 W FRANCIS AVE, 12/23/2018, P1
C, MAIL THEFT, 2300 W WALKER CT, 12/28/2018, P1
C, MAIL THEFT, 2400 W WALKER CT, 12/29/2018, P1
A, BURGLARY 2D GARAGE, 10200 N NAVAHO DR, 12/24/2018, P1
A, MAIL THEFT, 10400 N IROQUOIS DR, 12/26/2018, P1
C, THEFT 1D ALL OTHER, 8000 N HAYLEY CT, 12/23/2018, P1
C, THEFT OF MOTOR VEHICLE, 10100 N COMANCHE DR, 12/26/2018, P4
C, THEFT 3D FROM MOTOR VEHICLE, 10100 N COMANCHE DR, 12/26/2018, P4
C, ASSAULT 2D, 6100 N BUFFALO ST, 12/24/2018, P1
C, BURGLARY 2D GARAGE, 6100 N HOWARD ST, 12/25/2018, P1
C, THEFT 2D ALL OTHER, 5700 N DIVISION ST, 12/26/2018, P1
C, THEFT 3D FROM BUILDING, 100 W COURTLAND AVE, 12/26/2018, P1
C, THEFT 2D FROM BUILDING, 5200 N MONROE ST, 12/27/2018, P4
C, THEFT 2D FROM MOTOR VEHICLE, 5300 N WALNUT ST, 12/29/2018, P1
C, THEFT 3D ALL OTHER, 200 W HEROY AVE, 12/28/2018, P1
C, THEFT 3D FROM MOTOR VEHICLE, 4400 N ADAMS ST, 12/23/2018, P1
C, THEFT 3D SHOPLIFTING, 6100 N DIVISION ST, 12/26/2018, P2
C, BURGLARY 2D COMMERCIAL, 2200 W WELLESLEY AVE, 12/27/2018, P1
C, BURGLARY-RESIDENTIAL, 5700 N ELGIN ST, 12/28/2018, P1
C, MAIL THEFT, 5800 N SUTHERLIN ST, 12/28/2018, P1
C, RETAIL THEFT WITH SPECIAL CIRCUMSTANCES 3D, 2300 W WELLESLEY AVE, 12/26/2018, P1
C, THEFT 3D FROM BUILDING, 2500 W WELLESLEY AVE, 12/27/2018, P1
C, THEFT 3D SHOPLIFTING, 2300 W WELLESLEY AVE, 12/23/2018, P1
C, THEFT OF MOTOR VEHICLE, 4500 N HARTLEY ST, 12/24/2018, P1
C, THEFT 2D FROM BUILDING, 4500 N ALBERTA ST, 12/25/2018, P1
C, THEFT 3D ALL OTHER, 2200 N BUELL CT, 12/28/2018, P1
C, THEFT 3D FROM MOTOR VEHICLE, 3100 W BISMARK AVE, 12/28/2018, P1
C, THEFT 3D SHOPLIFTING, 2300 W WELLESLEY AVE, 12/26/2018, P1
C, BURGLARY 2D GARAGE, 2100 N MAPLE ST, 12/23/2018, P2
C, MAIL THEFT, 1000 W EUCLID AVE, 12/29/2018, P2
C, MAIL THEFT, 1400 W INDIANA AVE, 12/29/2018, P2
C, THEFT 3D FROM MOTOR VEHICLE, 2100 N MAPLE ST, 12/25/2018, P2
C, THEFT 3D SHOPLIFTING, 1600 W NORTHWEST BLVD, 12/24/2018, P2
C, THEFT OF MOTOR VEHICLE, 700 W BOONE AVE, 12/23/2018, P2
C, THEFT OF MOTOR VEHICLE, 500 W SINTO AVE, 12/24/2018, P2
C, THEFT OF MOTOR VEHICLE, 1300 W YORK AVE, 12/25/2018, P2
C, THEFT OF MOTOR VEHICLE, 2700 N CEDAR ST, 12/25/2018, P1
C, THEFT OF MOTOR VEHICLE, 1500 W CHELAN AVE, 12/26/2018, P2
C, THEFT 3D ALL OTHER, 2800 N MONROE ST, 12/29/2018, P2
C, THEFT 3D FROM BUILDING, 800 W EUCLID AVE, 12/24/2018, P2
C, THEFT 3D FROM MOTOR VEHICLE, 2700 N DIVISION ST, 12/24/2018, P2
C, THEFT 3D FROM MOTOR VEHICLE, 400 W MANSFIELD AVE, 12/28/2018, P2
C, THEFT 3D FROM MOTOR VEHICLE, 0 W MISSION AVE, 12/28/2018, P2
C, THEFT 3D FROM MOTOR VEHICLE, 1400 W MANSFIELD AVE, 12/29/2018, P2
C, THEFT 3D VEHICLE PARTS OR ACCESSORIES, 100 W PARK PL, 12/25/2018, P2
C, THEFT 3D VEHICLE PARTS OR ACCESSORIES, 200 W EUCLID AVE, 12/29/2018, P2
C, THEFT 3D SHOPLIFTING, 1700 W NORTHWEST BLVD, 12/24/2018, P2
A, BURGLARY 2D COMMERCIAL, 200 W BOONE AVE, 12/26/2018, P1
A, VEHICLE PROWLING 2D, 900 N HOWARD ST, 12/26/2018, P1
C, BURGLARY 2D GARAGE, 1500 W HIGHLINE LN, 12/28/2018, P2
C, BURGLARY-RESIDENTIAL, 1900 W BROADWAY AVE, 12/24/2018, P1
C, BURGLARY-RESIDENTIAL, 1500 N JEFFERSON ST, 12/26/2018, P2
C, ROBBERY 1D ALL EXCEPT PURSE SNATCHING, 1300 W BOONE AVE, 12/26/2018, P2
C, THEFT OF MOTOR VEHICLE, 2500 W COLLEGE AVE, 12/25/2018, P1
A, THEFT OF MOTOR VEHICLE, 2000 W DEAN AVE, 12/25/2018, P2
C, THEFT 2D VEHICLE PARTS OR ACCESSORIES, 2800 W SHARP AVE, 12/29/2018, P2
C, THEFT 3D FROM BUILDING, 1900 W BROADWAY AVE, 12/24/2018, P1
C, THEFT 3D FROM BUILDING, 1500 N JEFFERSON ST, 12/26/2018, P2
C, THEFT 3D FROM BUILDING, 1700 W DEAN AVE, 12/28/2018, P2
C, THEFT 3D FROM MOTOR VEHICLE, 1200 N MADISON ST, 12/23/2018, P2
C, THEFT 3D FROM MOTOR VEHICLE, 2000 W DEAN AVE, 12/25/2018, P2
C, THEFT 3D SHOPLIFTING, 1000 W SUMMIT PKWY, 12/29/2018, P2
C, VEHICLE PROWLING 2D / THEFT OF MOTOR VEHICLE PARTS OR ACCESSORIES, 1200 W BOONE AVE, 12/29/2018, P2
C, THEFT OF MOTOR VEHICLE, 1600 N RIVER RIDGE BLVD, 12/25/2018, P2
C, THEFT 2D FROM MOTOR VEHICLE, 1600 N RIVER RIDGE BLVD, 12/25/2018, P2
C, ASSAULT 2D, 1300 E GORDON AVE, 12/28/2018, P3
