ac,offense,address,date,district
C, RAPE 2D, NA, 8/21/2018, P1
C,THEFT FROM A VULNERABLE ADULT 1D, 6800 N OXFORD LN, 8/21/2018,OTH
C, THEFT 2D FROM MOTOR VEHICLE, 7500 N DRUMHELLER ST, 8/19/2018, P1
C, THEFT 3D VEHICLE PARTS OR ACCESSORIES, 2100 W WOODSIDE AVE, 8/19/2018, P1
C, BURGLARY-RESIDENTIAL, 7500 N BIRCH CT, 8/19/2018, P1
C, MAIL THEFT, 7600 N WALNUT ST, 8/20/2018, P1
C, THEFT 1D FROM MOTOR VEHICLE, 3400 W HORIZON AVE, 8/20/2018, P1
C, THEFT 2D FROM BUILDING, 7500 N BIRCH CT, 8/19/2018, P1
A, THEFT 3D FROM MOTOR VEHICLE, 9300 N ELM LN, 8/19/2018, P1
C, THEFT FIREARM FROM MOTOR VEHICLE, 9000 N JAMES DR, 8/24/2018, P1
C, THEFT 2D FROM BUILDING, 8600 N PAMELA ST, 8/22/2018, P1
C, THEFT 2D FROM MOTOR VEHICLE, 9000 N SUNDANCE DR, 8/19/2018, P1
C, THEFT 2D FROM MOTOR VEHICLE, 9000 N JAMES DR, 8/24/2018, P1
C, THEFT 3D FROM MOTOR VEHICLE, 5600 W COMANCHE DR, 8/19/2018, P1
C, THEFT 3D FROM MOTOR VEHICLE, 9100 N SUNDANCE DR, 8/19/2018, P1
C, THEFT 3D FROM MOTOR VEHICLE, 9100 N SUNDANCE DR, 8/19/2018, P1
C, THEFT 3D FROM MOTOR VEHICLE, 5400 W RIDGECREST DR, 8/21/2018, P1
C, THEFT 3D FROM MOTOR VEHICLE, 9400 N SEMINOLE ST, 8/24/2018, P1
C, THEFT 3D VEHICLE PARTS OR ACCESSORIES, 9400 N SEMINOLE ST, 8/24/2018, P1
C, THEFT 3D SHOPLIFTING, 9000 N INDIAN TRAIL RD, 8/20/2018, P1
A, ARSON-1D, 3600 N MADISON ST, 8/23/2018, P1
C, BURGLARY 2D GARAGE, 5500 N CEDAR ST, 8/19/2018, P1
C, BURGLARY 2D GARAGE, 4600 N POST ST, 8/21/2018, P1
C, RAPE OF A CHILD 1D, NA, 8/23/2018, P1
C, THEFT OF MOTOR VEHICLE, 4700 N WALL ST, 8/22/2018, P1
C, THEFT 2D FROM BUILDING, 700 W GARLAND AVE, 8/20/2018, P1
C, THEFT 3D VEHICLE PARTS OR ACCESSORIES, 4400 N DIVISION ST, 8/19/2018, P1
C, VEHICULAR ASSAULT, N ASH ST / W WELLESLEY AVE, 8/23/2018, P1
C, BURGLARY 1D FROM RESIDENCE, 5600 N HEMLOCK ST, 8/23/2018, P1
C, BURGLARY 2D GARAGE, 3700 W LONGFELLOW AVE, 8/21/2018, P1
A, BURGLARY 2D GARAGE, 2600 N HEMLOCK ST, 8/22/2018, P1
C, BURGLARY-RESIDENTIAL, 5500 N BELT ST, 8/21/2018, P1
C, MAIL THEFT, 2600 W SANSON AVE, 8/22/2018, P1
C, THEFT OF MOTOR VEHICLE, 2200 W CLEVELAND AVE, 8/19/2018, P1
C, THEFT OF MOTOR VEHICLE, 4300 N ASH ST, 8/20/2018, P1
C, THEFT OF MOTOR VEHICLE, 2300 W WELLESLEY AVE, 8/25/2018, P1
C, THEFT 3D ALL OTHER, 4000 N CANNON ST, 8/21/2018, P1
C, THEFT 3D FROM BUILDING, 2400 W OLYMPIC AVE, 8/22/2018, P1
C, THEFT 3D FROM MOTOR VEHICLE, 4000 N ELM ST, 8/22/2018, P1
C, THEFT 3D FROM MOTOR VEHICLE, 2600 W GLASS AVE, 8/22/2018, P1
C, THEFT 3D VEHICLE PARTS OR ACCESSORIES, 2800 W EUCLID AVE, 8/19/2018, P1
C, THEFT 3D VEHICLE PARTS OR ACCESSORIES, 3300 W HOFFMAN AVE, 8/24/2018, P1
C, THEFT 3D VEHICLE PARTS OR ACCESSORIES, 6200 N OXFORD DR, 8/25/2018, P1
C, THEFT 3D SHOPLIFTING, 2300 W WELLESLEY AVE, 8/24/2018, P1
C, THEFT-CITY (Shoplifting), 2300 W WELLESLEY AVE, 8/21/2018, P1
