ac,offense,address,date,district
C, ASSAULT 2D, 3700 W INDIAN TRAIL RD, 11/21/2017, P1
C, THEFT 2D FROM BUILDING, 6700 N DRUMHELLER ST, 11/22/2017, P2
C, THEFT 3D ALL OTHER, 2000 W FRANCIS AVE, 11/24/2017, P1
C, MAIL THEFT, 7800 N DEBBY LYNN CT, 11/21/2017, P1
A, THEFT 3D ALL OTHER, 8700 N CHERRY LN, 11/19/2017, P1
C, BURGLARY 2D GARAGE, 4900 W HOWESDALE DR, 11/22/2017, P1
C, MAIL THEFT, 4900 W BARNES RD, 11/19/2017, P1
A, BURGLARY 2D GARAGE, 800 W CORA AVE, 11/24/2017, P2
C, BURGLARY-RESIDENTIAL, 200 W JOSEPH AVE, 11/23/2017, P1
C, THEFT OF MOTOR VEHICLE, 300 W COLUMBIA AVE, 11/23/2017, P1
C, THEFT 3D ALL OTHER, 1000 W WELLESLEY AVE, 11/23/2017, P1
C, THEFT 3D FROM MOTOR VEHICLE, 4400 N DIVISION ST, 11/20/2017, P1
C, THEFT 3D FROM MOTOR VEHICLE, 6100 N STEVENS ST, 11/23/2017, P1
C, THEFT 3D FROM MOTOR VEHICLE, 6000 N STEVENS ST, 11/23/2017, P1
C, THEFT 3D VEHICLE PARTS OR ACCESSORIES, 6000 N STEVENS ST, 11/23/2017, P1
C, THEFT-CITY (Shoplifting), 3200 N DIVISION ST, 11/21/2017, P2
C, ASSAULT 2D, 2100 W WELLESLEY AVE, 11/21/2017, P1
A, BURGLARY-RESIDENTIAL, 3800 W QUEEN AVE, 11/19/2017, P1
C, BURGLARY-RESIDENTIAL, 3200 W CLEVELAND AVE, 11/23/2017, P2
A, THEFT OF MOTOR VEHICLE, 4000 W ROWAN AVE, 11/21/2017, P2
A, THEFT OF MOTOR VEHICLE, 4000 W ROWAN AVE, 11/21/2017, P1
C, THEFT 2D FROM BUILDING, 5500 W HOFFMAN PL, 11/20/2017, P1
C, THEFT 2D FROM BUILDING, 3200 W CLEVELAND AVE, 11/23/2017, P2
C, THEFT 3D ALL OTHER, 6100 N CANNON ST, 11/21/2017, P1
C, THEFT 3D FROM BUILDING, 6000 N ASSEMBLY ST, 11/22/2017, P1
C, THEFT 3D FROM MOTOR VEHICLE, 4000 W ROWAN AVE, 11/21/2017, P1
C, THEFT 3D FROM MOTOR VEHICLE, 4000 W ROWAN AVE, 11/21/2017, P2
C, THEFT 3D FROM MOTOR VEHICLE, 4000 W ROWAN AVE, 11/21/2017, P1
C, THEFT 3D FROM MOTOR VEHICLE, 2800 W OLYMPIC AVE, 11/22/2017, P1
A, THEFT 3D FROM MOTOR VEHICLE, 2300 W WELLESLEY AVE, 11/23/2017, P1
C, THEFT 3D FROM MOTOR VEHICLE, 3500 N MILTON ST, 11/24/2017, P1
C, ASSAULT 2D, 400 W KNOX AVE, 11/23/2017, P2
A, BURGLARY 1D FROM RESIDENCE, 1500 N LINCOLN ST, 11/24/2017, P1
A, BURGLARY 2D COMMERCIAL, 1900 W YORK AVE, 11/21/2017, P2
C, MAIL THEFT, 700 W AUGUSTA AVE, 11/20/2017, P2
C, MAIL THEFT, 1500 W YORK AVE, 11/22/2017, P2
C, THEFT OF MOTOR VEHICLE, 2500 N DIVISION ST, 11/19/2017, P1
C, THEFT OF MOTOR VEHICLE, 2100 N MONROE ST, 11/21/2017, P1
C, THEFT OF MOTOR VEHICLE, 3200 N MADISON ST, 11/24/2017, P2
C, THEFT 3D FROM BUILDING, 2400 N MONROE ST, 11/24/2017, P2
C, THEFT 3D FROM MOTOR VEHICLE, 1600 W NORTHWEST BLVD, 11/19/2017, P2
C, THEFT 3D FROM MOTOR VEHICLE, 200 W MISSION AVE, 11/22/2017, P2
C, THEFT 3D VEHICLE PARTS OR ACCESSORIES, 1900 N OAK ST, 11/19/2017, P2
C, THEFT 3D SHOPLIFTING, 1600 W NORTHWEST BLVD, 11/21/2017, P2
C, THEFT-CITY (Shoplifting), 700 W BOONE AVE, 11/22/2017, P1
C, VEHICLE PROWLING 2D FROM VEHICLE, 900 N HOWARD ST, 11/24/2017, P2
C, BURGLARY-RESIDENTIAL, 2100 W SINTO AVE, 11/20/2017, P1
C, THEFT OF MOTOR VEHICLE, 2800 W DEAN AVE, 11/23/2017, P1
C, THEFT 3D ALL OTHER, 1300 N MADISON ST, 11/20/2017, P2
C, THEFT 3D FROM BUILDING, 1900 W SHARP AVE, 11/24/2017, P2
A, THEFT 3D FROM MOTOR VEHICLE, 1700 N PETTET DR, 11/21/2017, P2
C, THEFT 3D FROM MOTOR VEHICLE, 2800 W DEAN AVE, 11/23/2017, P2
A, THEFT 3D FROM MOTOR VEHICLE, 1500 W HIGHLINE LN, 11/24/2017, P2
C, THEFT-CITY ALL OTHER THEFTS, 2100 W MAXWELL AVE, 11/22/2017, P2
A, BURGLARY-RESIDENTIAL, 1600 N RIVER RIDGE BLVD, 11/19/2017, P1
C, THEFT 2D ALL OTHER, 3400 W FORT GEORGE WRIGHT DR, 11/22/2017, P2
C, THEFT 3D VEHICLE PARTS OR ACCESSORIES, 1600 N RIVER RIDGE BLVD, 11/24/2017, P2
C, ASSAULT 2D, 1000 E SHARPSBURG AVE, 11/20/2017, P4
C, ASSAULT 2D, 900 E BROAD AVE, 11/20/2017, P3
C, ASSAULT 2D, 0 E EUCLID AVE, 11/24/2017, P3
C, ASSAULT 2D, 0 E EUCLID AVE, 11/24/2017, P3
C, ASSAULT 3D (d)or(f) (Weapon/Instrument/Bodily Harm), 1000 E SHARPSBURG AVE, 11/19/2017, P4
C, BURGLARY 1D FROM RESIDENCE, 1000 E SHARPSBURG AVE, 11/20/2017, P4
C, BURGLARY 2D COMMERCIAL, 1200 E WESTVIEW CT, 11/20/2017, P3
A, BURGLARY-RESIDENTIAL, 200 E WEDGEWOOD AVE, 11/20/2017, P4
