ac,offense,address,date,district
C, THEFT-CITY ALL OTHER THEFTS, 12/11/2017, P1,
C, MAIL THEFT, 2100 W HOUSTON AVE, 12/11/2017, P1
C, THEFT 2D FROM BUILDING, 6500 N CEDAR RD, 12/10/2017, P1
C, THEFT 3D FROM MOTOR VEHICLE, 2800 W LYONS AVE, 12/14/2017, P1
C, THEFT 3D FROM MOTOR VEHICLE, 6500 N CEDAR RD, 12/15/2017, P1
C, BURGLARY-RESIDENTIAL, 7900 N PANORAMA DR, 12/14/2017, P1
A, THEFT 3D FROM MOTOR VEHICLE, 2300 W STRATTON AVE, 12/14/2017, P1
C, MAIL THEFT, 6100 W CHIPPEWA CT, 12/12/2017, P1
C, THEFT 3D ALL OTHER, 8100 N VALERIE ST, 12/14/2017, P1
C, BURGLARY 2D GARAGE, 6200 N CALISPEL ST, 12/13/2017, P1
C, BURGLARY-RESIDENTIAL, 4300 N POST ST, 12/12/2017, P1
C, RAPE 3D, NA, 12/15/2017, P1
C, THEFT 2D FROM BUILDING, 4200 N WASHINGTON ST, 12/10/2017, P1
C, THEFT 3D ALL OTHER, 5400 N CEDAR ST, 12/11/2017, P1
C, THEFT 3D ALL OTHER, 500 W LONGFELLOW AVE, 12/13/2017, P1
C, THEFT 3D ALL OTHER, 4100 N MONROE ST, 12/15/2017, P1
A, THEFT 3D FROM MOTOR VEHICLE, 1400 W GORDON AVE, 12/12/2017, P1
C, THEFT 3D FROM MOTOR VEHICLE, 1400 W GORDON AVE, 12/12/2017, P1
C, THEFT 3D FROM MOTOR VEHICLE, 900 W GARLAND AVE, 12/12/2017, P1
C, THEFT 3D FROM MOTOR VEHICLE, 300 W HEROY AVE, 12/14/2017, P1
C, THEFT 3D VEHICLE PARTS OR ACCESSORIES, 0 W COLUMBIA AVE, 12/10/2017, P1
C, THEFT 3D VEHICLE PARTS OR ACCESSORIES, 300 W HEROY AVE, 12/14/2017, P1
C, THEFT 3D SHOPLIFTING, 6100 N DIVISION ST, 12/10/2017, P1
C, THEFT 3D SHOPLIFTING, 3400 N DIVISION ST, 12/10/2017, P1
C, THEFT 3D SHOPLIFTING, 4700 N DIVISION ST, 12/10/2017, P1
C, THEFT 3D SHOPLIFTING, 6100 N DIVISION ST, 12/12/2017, P2
C, MAIL THEFT, 4700 N ELGIN ST, 12/13/2017, P1
C, THEFT 2D FROM BUILDING, 2800 W GARLAND AVE, 12/16/2017, P1
C, THEFT 2D FROM MOTOR VEHICLE, 2900 W BROAD AVE, 12/11/2017, P1
C, THEFT 2D FROM MOTOR VEHICLE , N TJ MEENACH DR / W PETTET-TJ MEENACH DR, 12/13/2017, P1
C, THEFT 2D FROM MOTOR VEHICLE ,W ROWAN AVE / N ALBERTA ST, 12/13/2017, P1
C, THEFT 3D ALL OTHER, 3100 W DALTON AVE, 12/15/2017, P2
C, THEFT 3D ALL OTHER, 1900 W KIERNAN AVE, 12/16/2017, P1
C, THEFT 3D FROM BUILDING, 3400 W NORTHWEST BLVD, 12/11/2017, P1
C, THEFT 3D FROM BUILDING, 7300 N PINE ROCK ST, 12/13/2017, P1
C, THEFT 3D FROM BUILDING, 3000 W WALTON AVE, 12/13/2017, P1
C, THEFT-CITY (Shoplifting), 2300 W WELLESLEY AVE, 12/10/2017, P1
C, TMVWOP-2D, 3800 N ALBERTA ST, 12/16/2017, P1
C, ASSAULT 2D, 800 W SINTO AVE, 12/12/2017, P2
A, BURGLARY 1D FROM RESIDENCE, 600 W EUCLID AVE, 12/14/2017, P2
C, BURGLARY 2D COMMERCIAL, 1400 N LINCOLN ST, 12/15/2017, P2
C, BURGLARY-RESIDENTIAL, 1800 N POST ST, 12/11/2017, P1
C, MAIL THEFT, 800 W AUGUSTA AVE, 12/14/2017, P2
C, MAIL THEFT FROM A BUILDING , N POST ST / W KNOX AVE, 12/16/2017, P1
C, THEFT OF MOTOR VEHICLE, 1000 W KNOX AVE, 12/12/2017, P1
C, THEFT 2D FROM MOTOR VEHICLE, 2400 N DIVISION ST, 12/13/2017, P2
C, THEFT 3D ALL OTHER, 1100 W CHELAN AVE, 12/15/2017, P2
C, THEFT 3D FROM BUILDING, 1400 N LINCOLN ST, 12/10/2017, P2
C, THEFT 3D FROM BUILDING, 500 W INDIANA AVE, 12/11/2017, P2
C, THEFT 3D FROM BUILDING, 1900 N MONROE ST, 12/11/2017, P2
C, THEFT 3D FROM BUILDING, 2400 N ATLANTIC ST, 12/14/2017, P2
C, THEFT 3D FROM BUILDING, 1600 W GRACE AVE, 12/16/2017, P2
C, THEFT 3D FROM BUILDING , N POST ST / W KNOX AVE, 12/16/2017, P1
C, THEFT 3D FROM MOTOR VEHICLE, 2000 W YORK AVE, 12/13/2017, P2
C, THEFT 3D FROM MOTOR VEHICLE, 700 W EUCLID AVE, 12/13/2017, P2
C, THEFT 3D VEHICLE PARTS OR ACCESSORIES, 200 W KNOX AVE, 12/11/2017, P2
A, VEHICLE PROWLING 2D, 2000 W YORK AVE, 12/13/2017, P2
C, ASSAULT 3D (d)or(f) (Weapon/Instrument/Bodily Harm) , N HOWARD ST / W MALLON AVE, 12/14/2017, P2
C, THEFT OF MOTOR VEHICLE, 0 W BOONE AVE, 12/13/2017, P1
C, THEFT 3D FROM MOTOR VEHICLE, 600 W MALLON AVE, 12/16/2017, P2
C, ASSAULT 1D, 2000 W BOONE AVE, 12/13/2017, P2
C, ASSAULT 2D, 1500 W GARDNER AVE, 12/12/2017, P2
C, ASSAULT 2D, 2000 W BOONE AVE, 12/13/2017, P2
C, BURGLARY 2D GARAGE, 1300 N NETTLETON ST, 12/14/2017, P2
C, MAIL THEFT, 2700 W GARDNER AVE, 12/12/2017, P2
A, ROBBERY 1D PERSON (NOT PURSE SNATCHING), 1700 W BOONE AVE, 12/14/2017, P1
C, ROBBERY 1D ALL EXCEPT PURSE SNATCHING , W SPOFFORD AVE / N CANNON ST, 12/12/2017, P2
C, ROBBERY 1D ALL EXCEPT PURSE SNATCHING, 2000 W BOONE AVE, 12/13/2017, P2
C, THEFT OF MOTOR VEHICLE, 2100 W DEAN AVE, 12/11/2017, P1
C, THEFT OF MOTOR VEHICLE, 2000 W BOONE AVE, 12/13/2017, P2
C, THEFT 2D ALL OTHER, 2000 W BOONE AVE, 12/15/2017, P2
C, THEFT 2D FROM MOTOR VEHICLE, 1400 N MONROE ST, 12/13/2017, P2
C, THEFT 3D FROM BUILDING, 2200 W SHARP AVE, 12/14/2017, P1
C, THEFT-CITY ALL OTHER THEFTS , W BOONE AVE / N ASH ST, 12/11/2017, P2
C, THEFT-CITY ALL OTHER THEFTS, 1300 W NORA AVE, 12/14/2017, P1
C, THEFT CITY FROM MOTOR VEHICLE, 2100 W DEAN AVE, 12/11/2017, P1
C, ASSAULT 2D, 2000 E MAGNESIUM RD, 12/15/2017, P3
C, BURGLARY-RESIDENTIAL,NA, 12/11/2017, P3
C, THEFT 3D SHOPLIFTING, 4750 N DIVISION ST, 12/12/2017, P3
C, THEFT 3D SHOPLIFTING,NA, 12/13/2017, P3
C, THEFT 3D SHOPLIFTING,NA, 12/13/2017, P3
C, ASSAULT 4D WEAPON OR NEGLIGENT INJURY, 0 E ROCKWELL AVE, 12/12/2017, P4
C, ASSAULT 3D (d)or(f) (Weapon/Instrument/Bodily Harm), 400 E BRIDGEPORT AVE, 12/13/2017, P4
C, BURGLARY 2D GARAGE, 600 E MAGNESIUM RD, 12/10/2017, P3
C, BURGLARY 2D GARAGE, 1700 E LINCOLN RD, 12/11/2017, P3
C,CHILD ASSAULT 3D (CRIM NEG) DVCA, 0 E LACROSSE AVE, 12/12/2017, P3
C, RAPE OF A CHILD 2D, NA, 12/12/2017, P4
C, ROBBERY 1D COMMERCIAL (NOT PURSE SNATCHING), 9200 N COLTON ST, 12/15/2017, P4
C, ROBBERY 1D PERSON (NOT PURSE SNATCHING), 200 E LINCOLN RD, 12/11/2017, P2
C, THEFT OF MOTOR VEHICLE, 6600 N ADDISON ST, 12/11/2017, P4
C, THEFT OF MOTOR VEHICLE, 6700 N DIVISION ST, 12/12/2017, P3
C, THEFT OF MOTOR VEHICLE, 4700 N DIVISION ST, 12/12/2017, P3
C, THEFT OF MOTOR VEHICLE, 5600 N DIVISION ST, 12/12/2017, P3
C, THEFT OF MOTOR VEHICLE, 600 E FRANCIS AVE, 12/13/2017, P3
C, THEFT OF MOTOR VEHICLE, 9700 N NEWPORT HWY, 12/15/2017, P3
C, THEFT OF MOTOR VEHICLE, 7200 N NEVADA ST, 12/16/2017, P4
C, THEFT 2D ALL OTHER, 9200 N NEVADA ST, 12/13/2017, P3
C, THEFT 2D FROM MOTOR VEHICLE, 200 E FRANCIS AVE, 12/11/2017, P3
