"","V1","ac","district","date","address","offense","year","num.month","num.week"
"809","A BURGLARY 2D FENCED AREA 2200 E SPRAGUE AVE 7/5/2019 P6","A","P6",2019-07-05,"2200 E SPRAGUE AVE","BURGLARY 2D FENCED AREA","2019","07","26"
"810","A BURGLARY 2D GARAGE 1800 E 3RD AVE 6/30/2019 P5","A","P5",2019-06-30,"1800 E 3RD AVE","BURGLARY 2D GARAGE","2019","06","26"
"811","C THEFT 2D ALL OTHER 0 E 3RD AVE 6/30/2019 P5","C","P5",2019-06-30,"0 E 3RD AVE","THEFT 2D ALL OTHER","2019","06","26"
"812","C THEFT 2D ALL OTHER 1100 E NEWARK AVE 7/5/2019 P5","C","P5",2019-07-05,"1100 E NEWARK AVE","THEFT 2D ALL OTHER","2019","07","26"
"813","C THEFT 2D FROM MOTOR VEHICLE 400 E 5TH AVE 7/3/2019 P5","C","P5",2019-07-03,"400 E 5TH AVE","THEFT 2D FROM MOTOR VEHICLE","2019","07","26"
"814","C THEFT 2D FROM MOTOR VEHICLE 400 S THOR ST 7/4/2019 P5","C","P5",2019-07-04,"400 S THOR ST","THEFT 2D FROM MOTOR VEHICLE","2019","07","26"
"815","C THEFT 3D ALL OTHER 2500 E 4TH AVE 6/30/2019 P5","C","P5",2019-06-30,"2500 E 4TH AVE","THEFT 3D ALL OTHER","2019","06","26"
"816","C THEFT 3D ALL OTHER 1100 E 10TH AVE 7/1/2019 P5","C","P5",2019-07-01,"1100 E 10TH AVE","THEFT 3D ALL OTHER","2019","07","26"
"817","C THEFT 3D ALL OTHER 800 E HARTSON AVE 7/1/2019 P5","C","P5",2019-07-01,"800 E HARTSON AVE","THEFT 3D ALL OTHER","2019","07","26"
"818","C THEFT 3D ALL OTHER 4000 E 6TH AVE 7/6/2019 P5","C","P5",2019-07-06,"4000 E 6TH AVE","THEFT 3D ALL OTHER","2019","07","26"
"819","C THEFT 3D ALL OTHER 2000 E 6TH AVE 7/6/2019 P5","C","P5",2019-07-06,"2000 E 6TH AVE","THEFT 3D ALL OTHER","2019","07","26"
"820","C THEFT 3D FROM BUILDING 400 S THOR ST 7/3/2019 P5","C","P5",2019-07-03,"400 S THOR ST","THEFT 3D FROM BUILDING","2019","07","26"
"821","C THEFT 3D FROM BUILDING 100 S DIVISION ST 7/4/2019 P5","C","P5",2019-07-04,"100 S DIVISION ST","THEFT 3D FROM BUILDING","2019","07","26"
