X,Y,OBJECTID,Offense,OffGen,BeginDate,EndDate,Location,Day
-117.368098730144936,47.697055047464488,12850,ASSAULT-WEAPON,Assault,2015-07-28T02:40:00.000Z,2015-07-28T02:40:00.000Z,N Regal St,Wednesday
-117.474496682219041,47.708468558656598,12851,ASSAULT-SIMPLE,Assault,2015-07-28T01:24:00.000Z,2015-07-28T01:24:00.000Z,4300 Block Of W Rowan Av,Wednesday
-117.424939506640925,47.62675172456207,12852,THEFT-OPEN AREA,Theft,2015-07-27T21:30:00.000Z,2015-07-28T06:23:00.000Z,900 Block Of W 31St Av,Tuesday
-117.424939506640925,47.62675172456207,12853,MALICIOUS MISCHIEF,Malicious Mischief,2015-07-27T21:30:00.000Z,2015-07-28T06:23:00.000Z,900 Block Of W 31St Av,Tuesday
-117.469106879479114,47.704122052319192,12854,VEH-PROWL,Vehicle Prowling,2015-07-27T17:30:00.000Z,2015-07-28T05:30:00.000Z,3900 Block Of W Queen Av,Tuesday
-117.427038151410088,47.674025355105542,12855,VEH-THEFT AUTO PARTS,Vehicle Theft,2015-07-27T23:00:00.000Z,2015-07-28T07:30:00.000Z,1000 Block Of W Nora Av,Tuesday
-117.427038151410088,47.674025355105542,12856,MALICIOUS MISCHIEF,Malicious Mischief,2015-07-27T23:00:00.000Z,2015-07-28T07:30:00.000Z,1000 Block Of W Nora Av,Tuesday
-117.440131818497719,47.673112820773177,12857,VEH-PROWL,Vehicle Prowling,2015-07-27T20:00:00.000Z,2015-07-28T07:30:00.000Z,1900 Block Of W Augusta Av,Tuesday
-117.421903157242951,47.6797688692874,12858,MALICIOUS MISCHIEF,Malicious Mischief,2015-07-28T05:00:00.000Z,2015-07-28T07:45:00.000Z,2400 Block Of N Wall St,Wednesday
-117.421903157242951,47.6797688692874,12859,VEH-THEFT AUTO PARTS,Vehicle Theft,2015-07-28T05:00:00.000Z,2015-07-28T07:45:00.000Z,2400 Block Of N Wall St,Wednesday
-117.394255003211782,47.675904892164475,12860,VEH-PROWL,Vehicle Prowling,2015-07-28T07:55:00.000Z,2015-07-28T07:55:00.000Z,2000 Block Of N Columbus St,Wednesday
-117.417913258814039,47.698608846456203,12861,VEH-PROWL,Vehicle Prowling,2015-07-27T22:00:00.000Z,2015-07-28T08:00:00.000Z,4400 Block Of N Washington St,Tuesday
-117.417913258814039,47.698608846456203,12862,MALICIOUS MISCHIEF,Malicious Mischief,2015-07-27T22:00:00.000Z,2015-07-28T08:00:00.000Z,4400 Block Of N Washington St,Tuesday
-117.429918989962076,47.651203178748666,12863,VEH-PROWL,Vehicle Prowling,2015-07-27T18:30:00.000Z,2015-07-28T08:30:00.000Z,1200 Block Of W 5Th Av,Tuesday
-117.429918989962076,47.651203178748666,12864,MALICIOUS MISCHIEF,Malicious Mischief,2015-07-27T18:30:00.000Z,2015-07-28T08:30:00.000Z,1200 Block Of W 5Th Av,Tuesday
-117.475542140655193,47.71329878732498,12865,VEH-PROWL,Vehicle Prowling,2015-07-28T00:00:00.000Z,2015-07-28T04:30:00.000Z,4400 Block Of W Winston Ct,Wednesday
-117.405859916833549,47.741352723100775,12866,THEFT-OPEN AREA,Theft,2015-07-28T09:30:00.000Z,2015-07-28T09:30:00.000Z,9200 Block Of N Colton St,Wednesday
-117.411384492014577,47.670800826869623,12867,THEFT-OPEN AREA,Theft,2015-07-28T08:30:00.000Z,2015-07-28T09:50:00.000Z,1400 Block Of N Division St,Wednesday
-117.440585114506348,47.665239637502232,12868,VEH-THEFT,Vehicle Theft,2015-07-28T07:00:00.000Z,2015-07-28T07:00:00.000Z,1900 Block Of W Mallon Av,Wednesday
-117.417995195483897,47.65509674825396,12869,DRUGS-POSSESS,Drugs,2015-07-28T08:23:00.000Z,2015-07-28T08:23:00.000Z,200 Block Of S Washington St,Wednesday
-117.411465141550039,47.741798250487861,12870,ASSAULT-SIMPLE,Assault,2015-07-28T08:56:00.000Z,2015-07-28T08:56:00.000Z,9300 Block Of N Division St,Wednesday
-117.370248382297731,47.651724832595477,12871,BURGLARY-RESIDNTL,Burglary,2015-07-26T00:00:00.000Z,2015-07-26T07:00:00.000Z,2700 Block Of E 5Th Av,Monday
-117.370248382297731,47.651724832595477,12872,MALICIOUS MISCHIEF,Malicious Mischief,2015-07-26T00:00:00.000Z,2015-07-26T07:00:00.000Z,2700 Block Of E 5Th Av,Monday
-117.428453086269371,47.65839022737871,12873,THEFT-OPEN AREA,Theft,2015-07-21T12:00:00.000Z,2015-07-21T12:00:00.000Z,1100 Block Of W Riverside Av,Wednesday
-117.428453086269371,47.65839022737871,12874,MALICIOUS MISCHIEF,Malicious Mischief,2015-07-21T12:00:00.000Z,2015-07-21T12:00:00.000Z,1100 Block Of W Riverside Av,Wednesday
-117.420398591262156,47.683557408861162,12875,BURGLARY-GARAGE,Burglary,2015-07-27T20:00:00.000Z,2015-07-28T09:45:00.000Z,600 Block Of W Cleveland Av,Tuesday
-117.420398591262156,47.683557408861162,12876,VEH-PROWL,Vehicle Prowling,2015-07-27T20:00:00.000Z,2015-07-28T09:45:00.000Z,600 Block Of W Cleveland Av,Tuesday
-117.378544399304033,47.612160586783055,12877,MALICIOUS MISCHIEF,Malicious Mischief,2015-07-22T11:12:00.000Z,2015-07-25T11:12:00.000Z,2200 Block Of E 45Th Av,Thursday
-117.373470635025811,47.703488951196562,12878,ASSAULT-SIMPLE,Assault,2015-07-28T08:55:00.000Z,2015-07-28T08:55:00.000Z,5000 Block Of N Cook St,Wednesday
-117.507782640960443,47.757756403892486,12879,BURGLARY-RESIDNTL,Burglary,2015-07-28T09:01:00.000Z,2015-07-28T09:01:00.000Z,6900 Block Of W Iroquois Dr,Wednesday
