ac,offense,address,date,district
C, THEFT 2D FROM BUILDING, 1700 W FRANCIS AVE, 3/27/2019, P1
C, THEFT 2D FROM MOTOR VEHICLE, 5300 W RIFLE, CLUB CT, 3/30/2019, P1
C, THEFT 3D FROM MOTOR VEHICLE, 8800 N INDIAN TRAIL RD, 3/30/2019, P1
C, ASSAULT 2D, 800 W CORA AVE, 3/26/2019, P1
A, BURGLARY 2D GARAGE, 5400 N POST ST, 3/29/2019, P1
C, MAIL THEFT, 4100 N MADISON ST, 3/27/2019, P1
C, THEFT 3D ALL OTHER, 4500 N STEVENS ST, 3/25/2019, P1
C, THEFT 3D FROM BUILDING, 4400 N DIVISION ST, 3/26/2019, P1
C, THEFT 3D FROM BUILDING, 4200 N MONROE ST, 3/28/2019, P1
C, THEFT 3D FROM BUILDING, 800 W PROVIDENCE AVE, 3/28/2019, P1
C, THEFT 3D FROM BUILDING, 4100 N MAPLE ST, 3/30/2019, P1
C, THEFT 3D FROM MOTOR VEHICLE, 1200 W FRANCIS AVE, 3/29/2019, P1
C, THEFT 3D SHOPLIFTING, 4700 N DIVISION ST, 3/27/2019, P2
C, THEFT 3D SHOPLIFTING, 4700 N DIVISION ST, 3/27/2019, P1
C, THEFT OF MOTOR VEHICLE, 4400 N DIVISION ST, 3/24/2019, P1
C, BURGLARY 2D GARAGE, 5400 N GREENWOOD BLVD, 3/24/2019, P1
C, RESIDENTIAL BURGLARY, 2300 W SANSON AVE, 3/28/2019, P1
A, RESIDENTIAL BURGLARY, 5500 N NETTLETON ST, 3/29/2019, P1
C, THEFT 2D ALL OTHER, 2300 W NORTHWEST BLVD, 3/25/2019, P1
C, THEFT 2D FROM BUILDING, 2300 W WELLESLEY AVE, 3/25/2019, P1
C, THEFT 3D CITY ALL OTHER, 6000 N DOUGLAS DR, 3/26/2019, P1
C, THEFT 3D CITY ALL OTHER, 2300 W SANSON AVE, 3/28/2019, P1
C, THEFT 3D FROM BUILDING, 5300 N DRISCOLL BLVD, 3/24/2019, P1
C, THEFT 3D FROM BUILDING, 2100 W WELLESLEY AVE, 3/27/2019, P1
C, THEFT 3D FROM MOTOR VEHICLE, 5300 N DRISCOLL BLVD, 3/24/2019, P1
C, THEFT 3D FROM MOTOR VEHICLE, 2300 W EVERETT AVE, 3/25/2019, P1
C, THEFT 3D FROM MOTOR VEHICLE, 4400 N AUBREY, L, WHITE PKWY, 3/30/2019, P1
C, THEFT 3D SHOPLIFTING, 2300 W WELLESLEY AVE, 3/25/2019, P1
C, THEFT 3D SHOPLIFTING, 2300 W WELLESLEY AVE, 3/30/2019, P1
C, THEFT 3D VEHICLE PARTS AND ACCESSORIES, 2900 W HOFFMAN AVE, 3/27/2019, P1
A, BURGLARY 1D FROM RESIDENCE, 700 W SPOFFORD AVE, 3/25/2019, P1
C, BURGLARY 2D COMMERCIAL, 1600 W NORTHWEST BLVD, 3/24/2019, P1
C, BURGLARY 2D COMMERCIAL, 1300 W MONTGOMERY AVE, 3/25/2019, P2
C, RAPE 1D, NA, 3/25/2019, P1
C, RAPE 2D, NA, 3/28/2019, P2
C, THEFT 2D FROM BUILDING, 1000 W CHELAN AVE, 3/24/2019, P1
C, THEFT 2D FROM MOTOR VEHICLE, 2200 N ASH ST, 3/25/2019, P2
C, THEFT 3D FROM BUILDING, 600 W SHARP AVE, 3/27/2019, P2
C, THEFT 3D FROM MOTOR VEHICLE, 1000 W JACKSON AVE, 3/27/2019, P2
C, THEFT 3D FROM MOTOR VEHICLE, 900 W SPOFFORD AVE, 3/30/2019, P2
C, THEFT 3D SHOPLIFTING, 1600 W NORTHWEST BLVD, 3/24/2019, P1
C, THEFT 3D SHOPLIFTING, 1600 W NORTHWEST BLVD, 3/24/2019, P2
C, THEFT 3D SHOPLIFTING, 1900 N MONROE ST, 3/28/2019, P2
C, THEFT 3D VEHICLE PARTS AND ACCESSORIES, 800 W CLEVELAND AVE, 3/25/2019, P2
C, THEFT 3D VEHICLE PARTS AND ACCESSORIES, 2400 N DIVISION ST, 3/29/2019, P2
C, THEFT 3D VEHICLE PARTS AND ACCESSORIES, 900 W SPOFFORD AVE, 3/30/2019, P2
C, THEFT 3D VEHICLE PARTS AND ACCESSORIES, 1900 W MONTGOMERY AVE, 3/30/2019, P2
C, THEFT OF MOTOR VEHICLE, 2900 N WEST, OVAL ST, 3/30/2019, P1
C, THEFT 2D FROM MOTOR VEHICLE, 800 N DIVISION ST, 3/30/2019, P2
C, MAIL THEFT, 900 N A ST, 3/26/2019, P2
A, RESIDENTIAL BURGLARY, 800 N SUMMIT BLVD, 3/26/2019, P2
C, THEFT 2D ALL OTHER, 1100 W MALLON AVE, 3/25/2019, P2
C, THEFT 2D FROM MOTOR VEHICLE N MADISON, ST / W COLLEGE AVE, 3/25/2019, P2
C, THEFT 3D ALL OTHER, 800 N SUMMIT BLVD, 3/27/2019, P2
C, THEFT 3D ALL OTHER, 2200 W BROADWAY AVE, 3/28/2019, P2
C, THEFT 3D FROM BUILDING, 1600 N OAK ST, 3/27/2019, P2
C, THEFT 3D FROM MOTOR VEHICLE, 1300 N SHERWOOD ST, 3/28/2019, P1
