ac,offense,address,date,district
C, THEFT 2D FROM MOTOR VEHICLE                        , 5400 S RAVENCREST CIR   , 4/12/2019 , P7,
C, THEFT 3D CITY FROM MOTOR VEHICLE                   , 800 W LINCOLN BLVD      , 4/11/2019 , P7,
A, THEFT 3D FROM MOTOR VEHICLE                        , 800 W LINCOLN BLVD      , 4/11/2019 , P7,
C, THEFT 3D FROM MOTOR VEHICLE                        , 5700 S RAVENCREST DR    , 4/12/2019 , P7,
A, THEFT 3D FROM MOTOR VEHICLE                        , 1100 W TAPESTRY DR      , 4/13/2019 , P7,
C, THEFT 3D FROM MOTOR VEHICLE                        , 600 W PERSIMMON LN      , 4/13/2019 , P7,
C, THEFT 3D FROM MOTOR VEHICLE                        , 6500 S SANDSTONE ST     , 4/13/2019 , P7,
A, THEFT 3D FROM MOTOR VEHICLE                        , 5500 S COPPER           , RIDGE BLVD, 4/13/2019, P7
C, ASSAULT 4D WEAPON                                  , 1500 S RUSTLE ST        , 4/9/2019  , P7,
C, MAIL THEFT                                         , 800 S AZALEA DR         , 4/7/2019  , P7,
C, THEFT 2D FROM BUILDING                             , 4300 W SUNSET BLVD      , 4/7/2019  , P7,
C, THEFT 2D FROM MOTOR VEHICLE                        , 3200 W 4TH AVE          , 4/9/2019  , P7,
C, THEFT 3D FROM MOTOR VEHICLE                        , 2000 S ASSEMBLY RD      , 4/8/2019  , P7,
C, THEFT 3D FROM MOTOR VEHICLE                        , 3200 W TRINITY CIR      , 4/9/2019  , P7,
C, THEFT 3D FROM MOTOR VEHICLE                        , 1300 S WESTCLIFF PL     , 4/13/2019 , P7,
C, ASSAULT 2D                                         , 5400 W SUNSET HWY       , 4/9/2019  , P7,
A, BURGLARY 2D FENCED AREA                            , 7700 W US               , 2 HWY     , 4/8/2019 , P7
C, ASSAULT 4D WEAPON                          , N MONROE ST / W MAIN AVE         , 4/7/2019  , P8,
C, RAPE 2D                                            , NA                      , 4/12/2019 , P8,
C, THEFT 3D FROM MOTOR VEHICLE             , S MCCLELLAN ST / W PACIFIC AVE      , 4/7/2019  , P8,
A, THEFT 3D FROM MOTOR VEHICLE               , S MADISON ST / W 1ST AVE          , 4/7/2019  , P8,
C, THEFT 3D FROM MOTOR VEHICLE                   , W 1ST AVE / S STEVENS ST      , 4/8/2019  , P8,
C, ASSAULT 2D                                         , 200 W SPRAGUE AVE       , 4/7/2019  , P8,
C, ASSAULT 2D                                         , 300 W SPOKANE FALLS BLVD, 4/8/2019  , P8,
C, ASSAULT 2D                                         , 700 W RIVERSIDE AVE     , 4/13/2019 , P8,
C, BURGLARY 2D COMMERCIAL                             , 100 N WASHINGTON ST     , 4/10/2019 , P8,
C, BURGLARY 2D COMMERCIAL                             , 1100 W SPRAGUE AVE      , 4/12/2019 , P8,
C, BURGLARY 2D COMMERCIAL                             , 100 S POST ST           , 4/12/2019 , P8,
C, BURGLARY 2D COMMERCIAL                             , 0 W PACIFIC AVE         , 4/13/2019 , P8,
A, RESIDENTIAL BURGLARY                               , 200 W MAIN AVE          , 4/7/2019  , P8,
C, THEFT 2D FROM BUILDING                             , 400 W SPRAGUE AVE       , 4/10/2019 , P8,
C, THEFT 2D FROM BUILDING                             , 800 W MAIN AVE          , 4/12/2019 , P8,
C, THEFT 2D FROM BUILDING                             , 100 S POST ST           , 4/12/2019 , P8,
C, THEFT 3D ALL OTHER                                 , 0 W PACIFIC AVE         , 4/7/2019  , P8,
C, THEFT 3D ALL OTHER                                 , 100 W PACIFIC AVE       , 4/9/2019  , P8,
C, THEFT 3D CITY ALL OTHER                            , 400 W SPRAGUE AVE       , 4/11/2019 , P8,
C, THEFT 3D CITY FROM BUILDING                        , 800 W 2ND AVE           , 4/10/2019 , P8,
C, THEFT 3D CITY SHOPLIFTING                          , 0 N POST ST             , 4/8/2019  , P8,
C, THEFT 3D FROM BUILDING                             , 1100 W SPRAGUE AVE      , 4/12/2019 , P8,
C, THEFT 3D FROM BUILDING                             , 700 W RIVERSIDE AVE     , 4/13/2019 , P8,
C, THEFT 3D FROM MOTOR VEHICLE                        , 200 W RIVERSIDE AVE     , 4/10/2019 , P8,
C, THEFT 3D FROM MOTOR VEHICLE                , S BROWNE ST / W PACIFIC AVE      , 4/11/2019 , P8,
A, THEFT 3D FROM MOTOR VEHICLE                        , 1200 W RIVERSIDE AVE    , 4/11/2019 , P8,
C, THEFT 3D SHOPLIFTING                               , 0 W MAIN AVE            , 4/11/2019 , P8,
C, THEFT 3D SHOPLIFTING                               , 700 W MAIN AVE          , 4/11/2019 , P8,
C, THEFT OF MOTOR VEHICLE                             , 100 N HOWARD ST         , 4/10/2019 , P8,
C, THEFT OF MOTOR VEHICLE                             , 0 W MAIN AVE            , 4/12/2019 , P8,
U, THEFT-CITY (Shoplifting)                           , 100 S JEFFERSON ST      , 4/8/2019  , P8,
C, RAPE 2D                                            , NA                      , 4/10/2019 , P5,
C, ASSAULT OF A CHILD 2D                              , 3000 S PINES RD         , 4/9/2019  , Oth,
