ac,offense,address,date,district
C, ASSAULT 2D, 3000 W FRANCIS AVE, 1/15/2019, P1
C, THEFT 3D FROM BUILDING, 2000 W FRANCIS AVE, 1/16/2019, P1
C, THEFT 3D FROM BUILDING, 1800 W FRANCIS AVE, 1/19/2019, P1
C, THEFT 3D FROM MOTOR VEHICLE, 3300 W ELMHURST AVE, 1/18/2019, P1
C, THEFT 3D FROM MOTOR VEHICLE, 3300 W EXCELL AVE, 1/18/2019, P1
C, THEFT OF MOTOR VEHICLE, 3300 W HOLYOKE AVE, 1/18/2019, P1
C, MAIL THEFT, 1700 W TREE LN, 1/18/2019, P1
C, RAPE 2D, NA, 1/13/2019, P1
C, THEFT 2D FROM BUILDING, 8200 N MARJORIE ST, 1/15/2019, P1
C, THEFT 3D ALL OTHER, 6800 W IROQUOIS DR, 1/18/2019, P1
C, THEFT 3D CITY SHOPLIFTING, 9000 N INDIAN TRAIL RD, 1/16/2019, P1
A, THEFT 3D FROM MOTOR VEHICLE, 8800 N INDIAN TRAIL RD, 1/18/2019, P1
C, THEFT 3D FROM MOTOR VEHICLE, 5000 W ALCOTT CT, 1/19/2019, P1
C, BURGLARY 2D GARAGE, 5200 N WASHINGTON ST, 1/14/2019, P1
C, MAIL THEFT, 5000 N MONROE ST, 1/16/2019, P1
C, THEFT 2D FROM MOTOR VEHICLE, 5800 N STEVENS ST, 1/17/2019, P1
C, THEFT 2D FROM MOTOR VEHICLE, 100 W FRANCIS AVE, 1/17/2019, P1
C, THEFT 3D FROM MOTOR VEHICLE, 5200 N STEVENS ST, 1/14/2019, P1
C, THEFT 3D FROM MOTOR VEHICLE, 800 W GARLAND AVE, 1/17/2019, P1
C, THEFT 3D FROM MOTOR VEHICLE, 1100 W CENTRAL AVE, 1/17/2019, P1
C, THEFT 3D FROM MOTOR VEHICLE, 5700 N WALL ST, 1/18/2019, P1
C, THEFT 3D FROM MOTOR VEHICLE, 5700 N WALL ST, 1/18/2019, P1
C, THEFT 3D SHOPLIFTING, 4500 N DIVISION ST, 1/17/2019, P1
C, THEFT OF MOTOR VEHICLE, 5900 N HOWARD ST, 1/17/2019, P1
C, THEFT OF MOTOR VEHICLE, 5000 N STEVENS ST, 1/18/2019, P2
C, THEFT OF MOTOR VEHICLE, 4500 N CALISPEL ST, 1/18/2019, P2
C, THEFT 3D VEHICLE PARTS OR ACCESSORIES W GARLAND, AVE / N LINCOLN ST, 1/13/2019, P2
C, BURGLARY 2D COMMERCIAL, 3300 W NORTHWEST BLVD, 1/17/2019, P1
A, BURGLARY 2D GARAGE, 3000 N HEMLOCK ST, 1/14/2019, P1
C, HARASSMENT FELONY WEAPON INVOLVED, 4300 N ASH ST, 1/17/2019, P1
C, THEFT 1D FROM BUILDING, 4100 N ASH ST, 1/16/2019, P1
C, THEFT 2D FROM MOTOR VEHICLE, 6000 N SUTHERLIN ST, 1/16/2019, P1
C, THEFT 3D ALL OTHER, 3000 N HEMLOCK ST, 1/14/2019, P1
C, THEFT 3D ALL OTHER, 2100 W NORTHWEST BLVD, 1/19/2019, P1
C, THEFT 3D CITY SHOPLIFTING, 2300 W WELLESLEY AVE, 1/13/2019, P1
C, THEFT 3D FROM MOTOR VEHICLE, 3300 W KIERNAN AVE, 1/16/2019, P1
C, THEFT 3D FROM MOTOR VEHICLE, 2700 W KIERNAN AVE, 1/17/2019, P1
C, THEFT 3D FROM MOTOR VEHICLE, 5900 N LOMA DR, 1/18/2019, P2
C, THEFT 3D SHOPLIFTING, 2300 W WELLESLEY AVE, 1/15/2019, P1
C, THEFT 3D VEHICLE PARTS AND ACCESSORIES, 3200 W RIVERVIEW DR, 1/14/2019, P2
C, THEFT, OF, A, FIREARM, ALL, OTHER, LOCATIONS, 4900 N ASH ST, 1/17/2019, P1
C, THEFT 3D FROM MOTOR VEHICLE, 3100 W CIRCLE PL, 1/13/2019, P1
C, BURGLARY 2D COMMERCIAL, 2800 N MONROE ST, 1/17/2019, P2
C, BURGLARY 2D GARAGE, 1700 W KNOX AVE, 1/17/2019, P2
C, BURGLARY 2D GARAGE, 600 W CORA AVE, 1/19/2019, P2
C, RESIDENTIAL BURGLARY, 1500 W GRACE AVE, 1/14/2019, P1
C, THEFT 3D FROM BUILDING, 1000 W JACKSON AVE, 1/16/2019, P2
