ac,offense,address,date,district
C, MAIL THEFT, 4100 W OSAGE WAY, 5/17/2018, P1
C, MAIL THEFT, 2800 W BEACON AVE, 5/17/2018, P1
C, THEFT 2D FROM MOTOR VEHICLE, 6900 N COCHRAN ST, 5/16/2018, P1
C, THEFT 3D FROM MOTOR VEHICLE, 3500 W LYONS AVE, 5/19/2018, P1
C, BURGLARY 2D GARAGE, 2400 W RAINIER CT, 5/19/2018, P1
C, THEFT 2D FROM MOTOR VEHICLE, 2400 W RAINIER CT, 5/19/2018, P1
C, THEFT-CITY FROM BUILDING, 2400 W RAINIER CT, 5/19/2018, P1
C, THEFT 2D FROM MOTOR VEHICLE, 8000 N HAYLEY CT, 5/14/2018, P1
C, BURGLARY 1D FROM RESIDENCE, 4000 N HOWARD ST, 5/19/2018, P2
C, RAPE-1ST, DEG, (RAPE), 5/19/2018, P2
C, THEFT 2D ALL OTHER, 800 W CORA AVE, 5/18/2018, P1
C, THEFT 3D FROM MOTOR VEHICLE, 4100 N CALISPEL ST, 5/14/2018, P1
A, THEFT 3D FROM MOTOR VEHICLE, 5600 N WHITEHOUSE ST, 5/17/2018, P1
C, THEFT 3D FROM MOTOR VEHICLE, 4000 N MAPLE ST, 5/17/2018, P2
C, THEFT 3D SHOPLIFTING, 6100 N DIVISION ST, 5/13/2018, P1
C, THEFT 3D SHOPLIFTING, 4700 N DIVISION ST, 5/16/2018, P1
C, VEHICLE PROWLING 2D FROM VEHICLE, 4100 N WALNUT ST, 5/17/2018, P1
A, VEHICLE PROWLING 2D, 5900 N ATLANTIC ST, 5/17/2018, P1
C, ASSAULT 2D, 5800 N CANNON ST, 5/14/2018, P4
C, BURGLARY 2D GARAGE, 7000 N TUCANNON CT, 5/17/2018, P1
C, BURGLARY-RESIDENTIAL, 2300 W CLEVELAND AVE, 5/15/2018, P1
A, BURGLARY-RESIDENTIAL, 3300 W KIERNAN AVE, 5/17/2018, P1
C, HARASSMENT FELONY WEAPON INVOLVED, 6100 N OAK ST, 5/19/2018, P1
C, MURDER-1D, 2400 W CLEVELAND AVE, 5/17/2018, P2
C, THEFT 2D FROM BUILDING, 2300 W CLEVELAND AVE, 5/15/2018, P1
C, THEFT 2D FROM MOTOR VEHICLE, 2400 W WALTON AVE, 5/14/2018, P1
C, THEFT 2D FROM MOTOR VEHICLE, 5600 W RIFLE, CLUB RD, 5/17/2018, P2
C, THEFT 3D ALL OTHER, 4100 N ELM ST, 5/13/2018, P1
C, THEFT 3D ALL OTHER, 3200 N COLUMBIA CIR, 5/15/2018, P1
C, THEFT 3D ALL OTHER, 1700 W GLASS AVE, 5/17/2018, P1
C, THEFT 3D ALL OTHER, 2300 W WELLESLEY AVE, 5/17/2018, P1
C, THEFT 3D FROM BUILDING, 3500 W BISMARK AVE, 5/15/2018, P1
C, THEFT 3D FROM BUILDING, 7300 N PINE, ROCK ST, 5/16/2018, P1
C, THEFT 3D FROM BUILDING, 5200 N A ST, 5/17/2018, P1
C, THEFT 3D FROM MOTOR VEHICLE, 2700 W ROWAN AVE, 5/15/2018, P1
C, THEFT 3D VEHICLE PARTS OR ACCESSORIES, 2700 W ROWAN AVE, 5/15/2018, P1
C, THEFT 3D VEHICLE PARTS OR ACCESSORIES, 2300 W COURTLAND AVE, 5/15/2018, P1
C, THEFT 3D SHOPLIFTING, 2200 W WELLESLEY AVE, 5/16/2018, P1
C, THEFT 3D SHOPLIFTING, 2300 W WELLESLEY AVE, 5/16/2018, P1
C, THEFT 3D SHOPLIFTING, 2200 W WELLESLEY AVE, 5/16/2018, P1
C, VEHICLE PROWLING 2D FROM VEHICLE, 7000 N TUCANNON CT, 5/17/2018, P1
C, ASSAULT 4D WEAPON OR NEGLIGENT INJURY, 600 W KNOX AVE, 5/13/2018, P2
C, ASSAULT 2D, 300 W DALTON AVE, 5/19/2018, P2
C, ASSAULT 2D, 3000 N MONROE ST, 5/19/2018, P1
C, ASSAULT 3D (d)or(f) (Weapon/Instrument/Bodily Harm), 1600 W NORTHWEST BLVD, 5/18/2018, P1
C, BURGLARY 2D COMMERCIAL, 200 W MISSION AVE, 5/15/2018, P1
A, BURGLARY 2D COMMERCIAL, 2400 N MONROE ST, 5/16/2018, P2
C, BURGLARY 2D COMMERCIAL, 2400 N MONROE ST, 5/16/2018, P2
C, BURGLARY 2D GARAGE, 1800 W CARLISLE AVE, 5/15/2018, P2
A, BURGLARY-RESIDENTIAL, 2400 N STEVENS ST, 5/15/2018, P2
C, MAIL THEFT, 1700 W CHELAN AVE, 5/14/2018, P2
C, THEFT OF MOTOR VEHICLE, 1000 W YORK AVE, 5/14/2018, P2
C, THEFT OF MOTOR VEHICLE, 500 W SINTO AVE, 5/15/2018, P1
C, THEFT OF MOTOR VEHICLE, 500 W KNOX AVE, 5/16/2018, P2
C, THEFT OF MOTOR VEHICLE W INDIANA, AVE / N MONROE ST, 5/17/2018, P1
A, THEFT 1D FROM BUILDING, 1200 N DIVISION ST, 5/15/2018, P2
C, THEFT 2D FROM BUILDING, 1800 W KNOX AVE, 5/15/2018, P2
C, THEFT 2D FROM MOTOR VEHICLE, 600 W INDIANA AVE, 5/18/2018, P2
C, THEFT 3D FROM BUILDING, 2100 N MONROE ST, 5/13/2018, P2
C, THEFT 3D FROM MOTOR VEHICLE, 700 W EUCLID AVE, 5/13/2018, P2
C, THEFT 3D FROM MOTOR VEHICLE, 1100 W KNOX AVE, 5/14/2018, P2
C, THEFT 3D FROM MOTOR VEHICLE, 1400 W CHELAN AVE, 5/18/2018, P2
C, THEFT 3D FROM MOTOR VEHICLE, 1600 W CLEVELAND AVE, 5/19/2018, P2
C, THEFT 3D FROM MOTOR VEHICLE, 1300 W GRACE AVE, 5/19/2018, P1
C, THEFT 3D SHOPLIFTING, 1600 W NORTHWEST BLVD, 5/14/2018, P2
C, THEFT 3D SHOPLIFTING, 1600 W NORTHWEST BLVD, 5/14/2018, P2
C, THEFT 3D SHOPLIFTING, 1600 W NORTHWEST BLVD, 5/14/2018, P2
C, THEFT 3D SHOPLIFTING, 1600 W NORTHWEST BLVD, 5/14/2018, P2
C, THEFT 3D FROM BUILDING, 300 W NORTH RIVER DR, 5/15/2018, P2
C, THEFT 3D FROM MOTOR VEHICLE, 300 W NORTH RIVER DR, 5/16/2018, P2
C, THEFT 3D FROM MOTOR VEHICLE, 300 W NORTH RIVER DR, 5/19/2018, P2
C, ASSAULT 4D WEAPON OR NEGLIGENT INJURY, 1900 W GARDNER AVE, 5/19/2018, P4
C, ASSAULT 1D, 2000 W BROADWAY AVE, 5/17/2018, P1
C, ASSAULT 2D, 900 N ASH ST, 5/14/2018, P1
C, BURGLARY 2D GARAGE, 2300 W MAXWELL AVE, 5/14/2018, P2
A, BURGLARY-RESIDENTIAL, 1000 W BOONE AVE, 5/15/2018, P2
C, HARASSMENT FELONY WEAPON INVOLVED, 2200 W MALLON AVE, 5/13/2018, P1
C, MAIL THEFT FROM A BUILDING, 800 N SUMMIT BLVD, 5/17/2018, P2
