ac,offense,address,date,district
C, ROBBERY 1D PERSON (NOT PURSE SNATCHING), CEDAR, ST /, NORTHWEST, BLVD / W CARLIS, 10/28/2018, P1
C, THEFT 3D ALL OTHER, 4000 W FRANCIS AVE, 10/28/2018, P1
C, THEFT 3D ALL OTHER, 6800 N COUNTRY HOMES BLVD, 10/29/2018, P1
C, THEFT 3D SHOPLIFTING, 1800 W FRANCIS AVE, 11/3/2018, P1
C, THEFT 3D FROM MOTOR VEHICLE, 8100 N CAMILLA, MARIE CT, 10/31/2018, P1
C, ASSAULT 2D, 500 W JOSEPH AVE, 11/3/2018, P1
C, THEFT OF MOTOR VEHICLE, 800 W CORA AVE, 11/2/2018, P1
C, THEFT 2D FROM MOTOR VEHICLE, 4600 N POST ST, 10/29/2018, P1
C, THEFT 2D FROM MOTOR VEHICLE, 5200 N LINCOLN ST, 11/1/2018, P1
C, THEFT 2D FROM MOTOR VEHICLE, 4700 N WASHINGTON ST, 11/2/2018, P1
C, THEFT 3D ALL OTHER, 500 W GORDON AVE, 10/31/2018, P1
C, THEFT 3D FROM BUILDING, 4300 N POST ST, 10/28/2018, P1
C, THEFT 3D SHOPLIFTING, 3400 N DIVISION ST, 10/28/2018, P1
C, THEFT 3D SHOPLIFTING, 1000 W GARLAND AVE, 10/28/2018, P1
C, BURGLARY 2D GARAGE, 3300 N COLUMBIA CIR, 10/30/2018, P1
C, BURGLARY-RESIDENTIAL, 2200 W CLEVELAND AVE, 10/28/2018, P1
C, MAIL THEFT, 2800 W HEROY AVE, 11/3/2018, P1
C, THEFT OF MOTOR VEHICLE, 5300 N ELGIN ST, 10/29/2018, P1
C, THEFT 2D ALL OTHER, 2500 W WELLESLEY AVE, 10/30/2018, P1
C, THEFT 2D FROM BUILDING, 4800 N OAK ST, 11/1/2018, P1
C, THEFT 2D FROM MOTOR VEHICLE, 2200 W GARLAND AVE, 10/29/2018, P1
C, THEFT 2D FROM MOTOR VEHICLE, 3500 W WALTON AVE, 11/1/2018, P1
C, THEFT 2D FROM MOTOR VEHICLE, 5800 N CANNON ST, 11/1/2018, P2
C, THEFT 2D FROM MOTOR VEHICLE, 4200 N OAK ST, 11/3/2018, P1
C, THEFT 3D ALL OTHER, 6000 N ASSEMBLY ST, 10/29/2018, P1
C, THEFT 3D FROM BUILDING, 3600 N C ST, 10/29/2018, P1
C, THEFT 3D FROM BUILDING, 2300 W WELLESLEY AVE, 11/2/2018, P1
C, THEFT 3D FROM MOTOR VEHICLE, 3400 W HOFFMAN AVE, 10/29/2018, P1
C, THEFT 3D FROM MOTOR VEHICLE, 2400 W LONGFELLOW AVE, 10/29/2018, P1
C, THEFT 3D FROM MOTOR VEHICLE, 4500 N ALBERTA ST, 10/30/2018, P1
C, THEFT 3D FROM MOTOR VEHICLE, 2400 W LACROSSE AVE, 11/1/2018, P1
C, THEFT 3D FROM MOTOR VEHICLE, 5600 N ELGIN ST, 11/1/2018, P2
C, THEFT 3D FROM MOTOR VEHICLE, 3800 W NORTHWEST BLVD, 11/3/2018, P1
A, THEFT 3D FROM MOTOR VEHICLE, 3800 W NORTHWEST BLVD, 11/3/2018, P1
C, THEFT 3D FROM MOTOR VEHICLE, 2400 W BROAD AVE, 11/3/2018, P1
C, THEFT 3D FROM MOTOR VEHICLE, 3100 N WELLINGTON PL, 11/3/2018, P1
A, THEFT 3D FROM MOTOR VEHICLE, 3100 W FAIRVIEW AVE, 11/3/2018, P1
C, THEFT 3D VEHICLE PARTS OR ACCESSORIES, 3200 W WALTON AVE, 11/3/2018, P1
C, THEFT 3D SHOPLIFTING, 1700 W WELLESLEY AVE, 11/1/2018, P1
C, THEFT-CITY (Shoplifting), 2300 W WELLESLEY AVE, 10/28/2018, P3
C, ASSAULT 1D, 1600 N HOWARD ST, 10/31/2018, P2
C, IBR PURPOSES ONLY - THEFT OF MOTOR VEHICLE PARTS OR ACCESSORIES, 2400 N DIVISION ST, 10/30/2018, P2
C, MAIL THEFT, 1000 W MANSFIELD AVE, 10/30/2018, P2
C, MAIL THEFT, 1900 W MANSFIELD AVE, 11/1/2018, P2
C, RAPE 2D, NA, 10/31/2018, P2
C, THEFT OF MOTOR VEHICLE, 2000 N ASH ST, 10/30/2018, P1
C, THEFT 2D ALL OTHER, 1300 W SHANNON AVE, 10/30/2018, P2
C, THEFT 2D FROM MOTOR VEHICLE, 2400 N HOWARD ST, 11/2/2018, P2
C, THEFT 3D ALL OTHER, 1900 W GRACE AVE, 10/28/2018, P2
C, THEFT 3D ALL OTHER, 2000 W SHANNON AVE, 11/2/2018, P2
A, THEFT 3D FROM MOTOR VEHICLE, 1400 W MANSFIELD AVE, 10/30/2018, P2
C, THEFT 3D FROM MOTOR VEHICLE, 2000 N ASH ST, 10/30/2018, P1
C, THEFT 3D FROM MOTOR VEHICLE, 700 W BOONE AVE, 10/31/2018, P2
C, THEFT 3D FROM MOTOR VEHICLE, 2400 N WALNUT ST, 11/2/2018, P2
C, THEFT 3D VEHICLE PARTS OR ACCESSORIES, 2400 N DIVISION ST, 10/30/2018, P2
C, THEFT 3D VEHICLE PARTS OR ACCESSORIES, 2400 N DIVISION ST, 11/2/2018, P2
A, BURGLARY 2D FENCED AREA, 1000 N NORMANDIE ST, 10/28/2018, P2
C, THEFT 3D FROM BUILDING, 900 N MONROE ST, 10/31/2018, P2
C, THEFT 3D FROM MOTOR VEHICLE, 900 N WASHINGTON ST, 11/2/2018, P2
A, VEHICLE PROWLING 2D, 1000 N NORMANDIE ST, 10/28/2018, P2
C, BURGLARY 2D GARAGE, 900 N ASH ST, 11/1/2018, P2
A, BURGLARY-RESIDENTIAL, 1800 W BROADWAY AVE, 10/28/2018, P1
C, RAPE OF A CHILD 3D, NA, 10/28/2018, P2
C, RAPE 2D, NA, 10/29/2018, P2
C, RAPE 3D, NA, 11/2/2018, P6
C, THEFT OF MOTOR VEHICLE, 1100 W AUGUSTA AVE, 10/28/2018, P2
C, THEFT OF MOTOR VEHICLE, 1800 W SHARP AVE, 10/29/2018, P2
C, THEFT OF MOTOR VEHICLE, 1800 W SHARP AVE, 10/30/2018, P1
C, THEFT 2D ALL OTHER, 1100 N MONROE ST, 11/3/2018, P2
C, THEFT 2D FROM MOTOR VEHICLE, 1100 W MALLON AVE, 10/30/2018, P2
C, THEFT 2D FROM MOTOR VEHICLE, 1200 W BOONE AVE, 11/1/2018, P2
C, THEFT 3D FROM BUILDING, 1100 W AUGUSTA AVE, 10/28/2018, P2
C, THEFT 3D FROM BUILDING, 1800 W BOONE AVE, 10/29/2018, P2
C, THEFT 3D FROM BUILDING, 1100 W SPOFFORD AVE, 10/30/2018, P2
C, BURGLARY 2D GARAGE, 4100 W FORT GEORGE WRIGHT DR, 10/30/2018, P2
