C, THEFT OF MOTOR VEHICLE, 2300 W SHARP AVE, 1/7/2019, P2
A, THEFT OF MOTOR VEHICLE, 1300 W AUGUSTA AVE, 1/8/2019, P2
C, THEFT OF MOTOR VEHICLE, 2000 W SHARP AVE, 1/9/2019, P1
C, THEFT 3D ALL OTHER, 1000 W BOONE AVE, 1/7/2019, P2
C, THEFT 3D FROM BUILDING, 1300 N MAPLE ST, 1/9/2019, P2
C, THEFT 3D FROM MOTOR VEHICLE, 1200 N MONROE ST, 1/8/2019, P2
C, THEFT 3D FROM MOTOR VEHICLE, 2000 W COLLEGE AVE, 1/11/2019, P2
C, THEFT 3D VEHICLE PARTS OR ACCESSORIES, 1100 W BROADWAY AVE, 1/10/2019, P2
C, THEFT CITY FROM MOTOR VEHICLE, 2000 W SHARP AVE, 1/9/2019, P1
C, THEFT-CITY (Shoplifting), 1000 W SUMMIT PKWY, 1/9/2019, P1
C, THEFT-CITY (Shoplifting), 1000 W SUMMIT PKWY, 1/9/2019, P1
C, THEFT-CITY (Shoplifting), 1000 W SUMMIT PKWY, 1/11/2019, P2
C, BURGLARY 2D GARAGE, 2800 W ELLIOTT DR, 1/10/2019, P2
C, BURGLARY-RESIDENTIAL, 4100 W HOOD, RIVER AVE, 1/12/2019, P4
A, THEFT 3D FROM MOTOR VEHICLE, 2800 W ELLIOTT DR, 1/9/2019, P2
C, ASSAULT 2D, 1100 E BROAD AVE, 1/9/2019, P4
C, ASSAULT 2D, 600 E EMPIRE AVE, 1/7/2019, P3
C, ASSAULT 2D, 1200 E PROVIDENCE AVE, 1/12/2019, P4
C, BURGLARY 1D GARAGE, 600 E MAGNESIUM RD, 1/8/2019, P3
C, BURGLARY 1D FROM RESIDENCE, 1200 E PROVIDENCE AVE, 1/12/2019, P4
C, BURGLARY 2D COMMERCIAL, 6700 N DIVISION ST, 1/8/2019, P4
C, BURGLARY 2D GARAGE, 600 E LIBERTY AVE, 1/7/2019, P3
C, BURGLARY 2D GARAGE, 600 E DECATUR AVE, 1/9/2019, P3
C, BURGLARY 2D GARAGE, 8600 N MAYFAIR ST, 1/11/2019, P3
C, BURGLARY 2D GARAGE, 600 E MAGNESIUM RD, 1/11/2019, P3
C, BURGLARY 2D GARAGE, 1400 E GRASSLAND CT, 1/12/2019, P1
C, IBR, Purposes, Only, -, Motor, Vehicle, Theft E NEBRASKA, AVE / N MORTON ST, 1/8/2019, P4
C, MAIL THEFT, 100 E WEILE AVE, 1/7/2019, P3
C, MAIL THEFT, 7300 N CRESTLINE ST, 1/11/2019, P3
C, RAPE 3D, NA, 1/11/2019, Oth
C, RAPE 3D, NA, 1/6/2019, P4
C, RAPE 3D, NA, 1/8/2019, P4
C, RESIDENTIAL BURGLARY, 6800 N DAKOTA ST, 1/12/2019, P4
C, ROBBERY 1D COMMERCIAL (NOT PURSE SNATCHING), 6500 N NEVADA ST, 1/7/2019, P4
C, THEFT 2D VEHICLE PARTS AND ACCESSORIES, 1700 E LINCOLN RD, 1/11/2019, P3
C, THEFT 3D ALL OTHER, 7100 N HAMILTON ST, 1/7/2019, P8
C, THEFT 3D ALL OTHER, 1000 E SHARPSBURG AVE, 1/9/2019, P3
C, THEFT 3D CITY SHOPLIFTING, 9200 N NEVADA ST, 1/9/2019, P3
C, THEFT 3D FROM BUILDING, 4700 N DIVISION ST, 1/7/2019, P3
C, THEFT 3D FROM MOTOR VEHICLE, 8300 N ANTIETAM DR, 1/7/2019, P3
C, THEFT 3D SHOPLIFTING, 4700 N DIVISION ST, 1/6/2019, P3
C, THEFT 3D SHOPLIFTING, 4700 N DIVISION ST, 1/9/2019, P3
C, THEFT 3D SHOPLIFTING, 9100 N NEWPORT HWY, 1/10/2019, P3
C, THEFT OF MOTOR VEHICLE, 200 E WEDGEWOOD AVE, 1/6/2019, P3
C, THEFT 2D ALL OTHER, 4700 N DIVISION ST, 1/6/2019, P3
C, THEFT 2D ALL OTHER, 6500 N NEVADA ST, 1/6/2019, P3
C, THEFT 2D ALL OTHER, 9200 N COLTON ST, 1/8/2019, P3
C, THEFT 2D ALL OTHER, 1000 E FRANCIS AVE, 1/11/2019, P3
C, THEFT 2D FROM BUILDING, 4700 N DIVISION ST, 1/9/2019, P2
C, THEFT 2D FROM BUILDING, 1400 E GRASSLAND CT, 1/12/2019, P1
C, THEFT 2D VEHICLE PARTS OR ACCESSORIES, 7000 N COLTON ST, 1/8/2019, P3
C, THEFT 2D VEHICLE PARTS OR ACCESSORIES, 9300 N NEWPORT HWY, 1/10/2019, P3
C, THEFT 2D SHOPLIFTING, 9100 N NEWPORT HWY, 1/10/2019, P3
C, THEFT 3D ALL OTHER, 600 E FRANCIS AVE, 1/11/2019, P3
C, THEFT 3D ALL OTHER, 600 E HOLLAND AVE, 1/11/2019, P2
C, THEFT 3D FROM BUILDING, 9400 N NEWPORT HWY, 1/6/2019, P3
C, THEFT 3D FROM BUILDING, 9200 N COLTON ST, 1/8/2019, P3
C, THEFT 3D FROM BUILDING, 7400 N NEVADA ST, 1/10/2019, P3
C, THEFT 3D FROM MOTOR VEHICLE, 200 E WEDGEWOOD AVE, 1/6/2019, P3
C, THEFT 3D FROM MOTOR VEHICLE, 800 E OLYMPIC AVE, 1/6/2019, P3
C, THEFT 3D FROM MOTOR VEHICLE, 1200 E FRANCIS AVE, 1/6/2019, P3
C, THEFT 3D FROM MOTOR VEHICLE, 5800 N DIVISION ST, 1/6/2019, P3
C, THEFT 3D FROM MOTOR VEHICLE, 8800 N COLTON ST, 1/7/2019, P3
C, THEFT 3D FROM MOTOR VEHICLE, 6500 N NEVADA ST, 1/7/2019, P3
C, THEFT 3D FROM MOTOR VEHICLE, 6000 N RUBY ST, 1/8/2019, P3
C, THEFT 3D FROM MOTOR VEHICLE, 9700 N NEWPORT HWY, 1/10/2019, P3
C, THEFT 3D FROM MOTOR VEHICLE, 1700 E LINCOLN RD, 1/11/2019, P3
C, THEFT 3D VEHICLE PARTS OR ACCESSORIES, 600 E FRANCIS AVE, 1/7/2019, P3
C, THEFT 3D VEHICLE PARTS OR ACCESSORIES, 8400 N NEVADA ST, 1/8/2019, P3
C, THEFT 3D VEHICLE PARTS OR ACCESSORIES, 6000 N RUBY ST, 1/8/2019, P3
C, THEFT 3D VEHICLE PARTS OR ACCESSORIES, 6600 N CINCINNATI ST, 1/11/2019, P3
C, THEFT 3D SHOPLIFTING, 4700 N DIVISION ST, 1/6/2019, P3
C, THEFT 3D SHOPLIFTING, 5800 N DIVISION ST, 1/7/2019, P3
C, THEFT 3D SHOPLIFTING, 9200 N COLTON ST, 1/8/2019, P3
C, THEFT 3D SHOPLIFTING, 4700 N DIVISION ST, 1/8/2019, P3
C, THEFT 3D SHOPLIFTING, 4700 N DIVISION ST, 1/8/2019, P3
C, THEFT 3D SHOPLIFTING, 5800 N DIVISION ST, 1/9/2019, P3
C, THEFT 3D SHOPLIFTING, 10100 N NEWPORT HWY, 1/9/2019, P3
C, THEFT 3D SHOPLIFTING, 5800 N DIVISION ST, 1/9/2019, P3
C, THEFT 3D SHOPLIFTING, 9900 N NEWPORT HWY, 1/10/2019, P3
C, THEFT 3D SHOPLIFTING, 9900 N NEWPORT HWY, 1/10/2019, P3
C, THEFT 3D SHOPLIFTING, 9600 N DIVISION ST, 1/12/2019, P3
C, THEFT 3D SHOPLIFTING, 4700 N DIVISION ST, 1/12/2019, P3
C, THEFT 3D SHOPLIFTING, 9500 N NEWPORT HWY, 1/12/2019, P3
C, THEFT-CITY FROM BUILDING, 200 E WEDGEWOOD AVE, 1/12/2019, P1
C, THEFT-CITY (Shoplifting), 4700 N DIVISION ST, 1/12/2019, P3
C, VEHICLE PROWLING 2D FROM VEHICLE N DIVISION, ST / E FRANCIS AVE, 1/6/2019, P1
A, VEHICLE PROWLING 2D, 600 E MAGNESIUM RD, 1/8/2019, P3
C, THEFT 3D FROM MOTOR VEHICLE, 5400 N MARTIN ST, 1/7/2019, P3
C, THEFT OF MOTOR VEHICLE, 1400 E BISMARK AVE, 1/12/2019, P4
C, THEFT OF MOTOR VEHICLE, 1700 E EVERETT AVE, 1/12/2019, P4
C, THEFT 3D FROM BUILDING, 1900 E JOSEPH AVE, 1/8/2019, P3
C, THEFT 3D FROM MOTOR VEHICLE, 1400 E WELLESLEY AVE, 1/8/2019, P3
C, THEFT 2D ALL OTHER, 2600 E RICH AVE, 1/9/2019, P4
C, THEFT 2D FROM MOTOR VEHICLE, 3900 N PERRY ST, 1/11/2019, P4
C, THEFT 3D FROM BUILDING, 4600 N CRESTLINE ST, 1/7/2019, P4
C, THEFT 3D FROM MOTOR VEHICLE, 1700 E COURTLAND AVE, 1/9/2019, P3
C, IBR, Purposes, Only, -, Robbery, 2100 E FRANCIS AVE, 1/7/2019, P4
C, RAPE OF A CHILD 3D, NA, 1/10/2019, P2
A, THEFT OF MOTOR VEHICLE, 4800 N MARKET ST, 1/8/2019, P2
